Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
12725,12846,apf,raaf.131,2456517.859915,-6.84,2.340542,-1,27622.0
12726,12846,apf,raag.137,2456518.899295,-5.83,2.282496,-1,28614.0
12727,12846,apf,raah.132,2456525.890052,-4.97,2.350316,-1,30629.0
12728,12846,apf,raak.131,2456534.893173,-1.27,2.314512,-1,28319.0
12729,12846,apf,raal.133,2456535.901903,0.14,2.602905,-1,28775.0
12730,12846,apf,raan.167,2456539.945796,0.94,2.732697,-1,28672.0
12731,12846,apf,raao.151,2456540.952612,-1.34,2.732113,-1,26896.0
12732,12846,apf,raaq.193,2456543.022633,3.72,2.286946,-1,28057.0
12733,12846,apf,raar.145,2456548.019252,-0.87,2.139113,-1,35103.0
12734,12846,apf,raas.129,2456548.948276,-6.33,2.374092,-1,36003.0
12735,12846,apf,raat.178,2456562.815045,-2.71,3.067012,-1,11022.0
12736,12846,apf,raat.192,2456562.877294,1.27,2.800324,-1,10713.0
12737,12846,apf,raat.203,2456562.937471,-3.85,3.22658,-1,10954.0
12738,12846,apf,raat.211,2456562.996363,2.99,3.196233,-1,10935.0
12739,12846,apf,raat.217,2456563.025311,4.34,3.153057,-1,10970.0
12740,12846,apf,raau.174,2456563.729688,-3.54,3.538392,-1,10906.0
12741,12846,apf,raau.193,2456563.821845,-6.64,3.330817,-1,10807.0
12742,12846,apf,raau.202,2456563.86929,0.32,3.270722,-1,10743.0
12743,12846,apf,raau.214,2456563.93067,-0.38,3.026815,-1,10752.0
12744,12846,apf,raau.226,2456564.004331,-0.67,3.078073,-1,10535.0
12745,12846,apf,raax.192,2456570.903919,-0.35,2.777994,-1,10603.0
12746,12846,apf,raax.205,2456570.977649,-6.41,2.873996,-1,10422.0
12747,12846,apf,raax.208,2456570.984663,-0.24,2.718916,-1,10497.0
12748,12846,apf,raay.184,2456573.806265,-2.10,2.892868,-1,10666.0
12749,12846,apf,raay.200,2456573.855665,3.05,2.973338,-1,10690.0
12750,12846,apf,raay.223,2456574.007164,-3.03,3.025678,-1,10436.0
12751,12846,apf,raay.228,2456574.031042,-1.73,2.897039,-1,10194.0
12752,12846,apf,raaz.185,2456574.933551,-7.08,3.095264,-1,13172.0
12753,12846,apf,raaz.199,2456575.01757,-8.43,3.052371,-1,12661.0
12754,12846,apf,raaz.203,2456575.039249,-8.73,4.421257,-1,5731.0
12755,12846,apf,raba.245,2456577.977723,0.56,2.338132,-1,18143.0
12756,12846,apf,raba.259,2456578.045364,-0.34,2.685691,-1,17760.0
12757,12846,apf,rabc.227,2456581.929275,0.70,2.480599,-1,18468.0
12758,12846,apf,rabc.254,2456582.032263,1.90,2.567549,-1,17880.0
12759,12846,apf,rabd.234,2456582.886368,0.22,2.718274,-1,18212.0
12760,12846,apf,rabd.235,2456582.889424,0.58,2.797942,-1,11303.0
12761,12846,apf,rabd.263,2456582.971,3.80,2.513866,-1,18204.0
12762,12846,apf,rabd.289,2456583.03805,0.27,2.83032,-1,17503.0
12763,12846,apf,rabe.209,2456583.873924,1.59,2.456003,-1,19047.0
12764,12846,apf,rabe.227,2456583.942883,-3.01,2.468481,-1,18430.0
12765,12846,apf,rabe.246,2456584.014332,-1.62,2.476126,-1,18158.0
12766,12846,apf,rabf.234,2456588.837291,-1.19,2.693996,-1,18389.0
12767,12846,apf,rabf.257,2456588.902153,5.65,2.632742,-1,18127.0
12768,12846,apf,rabg.217,2456589.859004,4.84,2.539462,-1,18416.0
12769,12846,apf,rabg.239,2456589.939305,5.50,2.434157,-1,17545.0
12770,12846,apf,rabg.259,2456590.001331,4.36,2.587447,-1,17570.0
12771,12846,apf,rabh.172,2456590.866212,0.96,2.447996,-1,15404.0
12772,12846,apf,rabh.194,2456590.959442,4.15,2.717337,-1,18062.0
12773,12846,apf,rabh.214,2456591.032336,4.19,2.717331,-1,18016.0
12774,12846,apf,rabi.189,2456591.83019,3.67,2.56648,-1,18468.0
12775,12846,apf,rabi.213,2456591.909253,-0.06,2.443186,-1,18121.0
12776,12846,apf,rabi.233,2456591.976012,3.12,2.590668,-1,18400.0
12777,12846,apf,rabk.174,2456597.852608,0.16,2.572939,-1,19037.0
12778,12846,apf,rabk.237,2456598.017376,1.76,2.498088,-1,19313.0
12779,12846,apf,rabl.160,2456606.784617,3.15,2.707842,-1,19028.0
12780,12846,apf,rabl.203,2456606.95782,0.03,2.825429,-1,18423.0
12781,12846,apf,rabm.208,2456607.836819,1.99,2.583473,-1,19460.0
12782,12846,apf,rabm.258,2456607.98986,-1.15,3.006363,-1,18315.0
12783,12846,apf,rabn.210,2456610.932605,-5.88,3.074727,-1,8465.0
12784,12846,apf,rabq.163,2456618.800051,-1.19,2.662149,-1,17601.0
12785,12846,apf,rabr.192,2456619.812697,1.71,3.058633,-1,11862.0
12786,12846,apf,rabu.161,2456624.802814,2.61,2.753932,-1,19034.0
12787,12846,apf,rabv.188,2456626.77833,0.38,2.530586,-1,18817.0
12788,12846,apf,rabv.227,2456626.922443,4.96,2.818409,-1,17933.0
12789,12846,apf,rabw.169,2456628.749651,-4.90,2.459548,-1,16852.0
12790,12846,apf,rabw.215,2456628.960288,2.10,3.337816,-1,11472.0
12791,12846,apf,rabz.189,2456632.732367,4.99,2.982879,-1,12180.0
12792,12846,apf,rabz.239,2456632.892195,5.73,2.958515,-1,11180.0
12793,12846,apf,racd.239,2456647.872017,-0.65,2.96981,-1,13387.0
12794,12846,apf,raci.176,2456667.738332,-1.30,2.709422,-1,12832.0
12795,12846,apf,racr.167,2456689.722583,0.80,2.495751,-1,22095.0
12796,12846,apf,rahj.183,2456999.753881,1.63,2.435294,-1,31668.0
12797,12846,apf,rakb.294,2457204.999918,1.66,2.831587,-1,18462.0
12798,12846,apf,rakd.292,2457207.993692,2.66,3.028186,-1,20955.0
12799,12846,apf,rake.313,2457208.994901,4.03,2.953993,-1,15834.0
12800,12846,apf,rakf.281,2457211.989366,-2.98,2.587148,-1,18378.0
12801,12846,apf,raki.205,2457217.9478,0.15,2.765904,-1,17025.0
12802,12846,apf,rakj.302,2457218.972686,0.26,2.634176,-1,16260.0
12803,12846,apf,rakl.302,2457221.9752,-0.45,2.777194,-1,18337.0
12804,12846,apf,rakm.213,2457222.93382,-1.75,2.869874,-1,17289.0
12805,12846,apf,rakn.275,2457224.941591,-5.79,2.561094,-1,21917.0
12806,12846,apf,rakq.302,2457229.934764,-0.73,2.716095,-1,18066.0
12807,12846,apf,raks.281,2457233.901429,-3.81,3.17191,-1,16559.0
12808,12846,apf,raku.273,2457238.86194,-4.68,2.847358,-1,16547.0
12809,12846,apf,rakw.179,2457243.865577,3.81,2.765624,-1,12803.0
12810,12846,apf,ralx.273,2457305.902293,-1.18,2.744234,-1,17950.0
12811,12846,apf,raly.261,2457308.869076,4.34,2.905497,-1,20957.0
12812,12846,apf,ramc.242,2457318.841486,0.14,2.644672,-1,16264.0
12813,12846,apf,ramd.237,2457321.795417,-1.50,2.390092,-1,31940.0
12814,12846,apf,ramf.250,2457325.81121,-2.60,2.938474,-1,14165.0
12815,12846,apf,rami.264,2457332.813815,-4.66,2.859532,-1,15429.0
12816,12846,apf,ramj.253,2457334.769195,-0.39,2.42942,-1,30105.0
12817,12846,apf,ramm.245,2457340.74805,-1.32,2.413682,-1,30458.0
12818,12846,apf,ramp.220,2457347.717853,-1.98,3.239051,-1,9972.0
12819,12846,apf,ramr.217,2457350.730608,-1.71,2.771492,-1,12141.0
12820,12846,apf,ramu.209,2457354.693121,0.91,3.541158,-1,4622.0
12821,12846,apf,ramu.210,2457354.696315,-1.86,4.249974,-1,4803.0
12822,12846,apf,rarm.244,2457605.903303,-2.95,2.225312,-1,30277.0
12823,12846,apf,ratn.242,2457703.839858,-1.12,2.187984,-1,30682.0
12824,12846,apf,rbal.253,2458031.888987,-0.08,2.689971,-1,14442.0
12825,12846,apf,rbbm.235,2458086.729263,3.30,3.033753,-1,12760.0
12826,12846,apf,rbbn.222,2458087.720846,3.72,2.734827,-1,16926.0
12827,12846,apf,rbms.239,2458682.889507,0.46,4.633459,-1,4531.0
