Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
21137,145958b,k,rk5.25,2450275.836736,-74.37,1.230386,-1,160626.0
21138,145958b,k,rk19.255,2450863.162743,-66.91,1.403172,-1,59388.0
21139,145958b,k,rk20.64,2450954.963403,-63.54,1.227106,-1,124555.0
21140,145958b,k,rk20.172,2450955.947164,-63.53,1.217418,-1,94331.0
21141,145958b,k,rk21.76,2450982.846019,-65.50,1.225546,-1,85636.0
21142,145958b,k,rk21.178,2450983.869988,-62.01,1.261221,-1,84448.0
21143,145958b,k,rk24.156,2451051.786042,-66.88,1.246018,-1,66724.0
21144,145958b,k,rk25.26,2451068.763009,-69.10,1.168633,-1,81859.0
21145,145958b,k,rk25.141,2451069.759734,-62.25,1.20272,-1,83300.0
21146,145958b,k,rk25.263,2451070.758021,-67.82,1.160126,-1,78516.0
21147,145958b,k,rk25.405,2451071.757037,-68.07,1.21556,-1,79103.0
21148,145958b,k,rk25.537,2451072.75184,-66.91,1.153674,-1,71085.0
21149,145958b,k,rk26.682,2451073.752072,-70.09,1.469037,-1,51916.0
21150,145958b,k,rk26.799,2451074.740694,-69.00,1.244338,-1,54072.0
21151,145958b,k,rk29.353,2451229.173935,-61.59,1.272131,-1,97316.0
21152,145958b,k,rk31.44,2451340.871933,-60.92,1.891508,-1,22361.0
21153,145958b,k,rk32.289,2451369.839201,-66.57,1.772816,-1,39529.0
21154,145958b,k,rk33.318,2451411.764294,-55.04,1.291038,-1,84039.0
21155,145958b,k,rk39.242,2451582.160718,-51.28,1.410504,-1,46443.0
21156,145958b,k,rk41.242,2451704.939896,-52.43,1.402001,-1,86002.0
21157,145958b,k,rk43.34,2451754.846273,-57.62,1.833522,-1,22107.0
21158,145958b,k,rk43.157,2451755.827419,-54.54,1.088,-1,106469.0
21159,145958b,k,rk45.14,2451792.723391,-55.24,1.539614,-1,60542.0
21160,145958b,k,rk45.101,2451793.788252,-52.98,1.339194,-1,66593.0
21161,145958b,k,rk45.225,2451795.771667,-53.16,1.300236,-1,75592.0
21162,145958b,k,rk48.82,2451972.14647,-54.88,1.2609,-1,98784.0
21163,145958b,k,rk48.158,2451973.170995,-47.71,1.23551,-1,98685.0
21164,145958b,k,rk53.168,2452062.947882,-48.32,1.596397,-1,85824.0
21165,145958b,k,rk54.236,2452095.9339,-48.12,1.273793,-1,87441.0
21166,145958b,k,rk54.1255,2452101.866493,-54.84,1.331103,-1,82581.0
21167,145958b,k,rk55.229,2452128.789225,-50.45,1.34901,-1,86349.0
21168,145958b,k,rk63.52,2452390.012095,-50.04,1.579692,-1,85687.0
21169,145958b,k,rk67.230,2452536.733623,-44.93,1.48284,-1,99295.0
21170,145958b,k,rk71.62,2452681.173565,-35.49,1.349556,-1,93381.0
21171,145958b,k,rk72.121,2452712.09235,-39.53,1.310214,-1,83493.0
21172,145958b,k,rk84.141,2453072.059329,-32.90,1.293728,-1,98671.0
