Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
22777,147379a,apf,rbmz.079,2458697.70321,-2.80,1.558485,-1,4268.0
22778,147379a,apf,rbmz.080,2458697.711798,1.59,1.486308,-1,4675.0
22779,147379a,apf,rbnc.682,2458700.706215,1.01,1.370072,-1,4962.0
22780,147379a,apf,rbnc.683,2458700.716515,-0.86,1.380702,-1,4802.0
22781,147379a,apf,rbng.582,2458704.719641,-6.20,1.589386,-1,4515.0
22782,147379a,apf,rbnj.182,2458707.736759,-6.09,1.443789,-1,4441.0
22783,147379a,apf,rbnj.183,2458707.742847,-5.38,1.501048,-1,4362.0
22784,147379a,apf,rbnm.983,2458710.737098,0.58,1.222443,-1,8537.0
22785,147379a,apf,rbnn.271,2458711.66421,-3.66,1.130279,-1,9921.0
22786,147379a,apf,rbnq.173,2458714.681195,4.61,1.110038,-1,8843.0
22787,147379a,apf,rbns.582,2458716.656347,2.81,1.389632,-1,4419.0
22788,147379a,apf,rbns.583,2458716.663766,0.85,1.372422,-1,4498.0
22789,147379a,apf,rbnv.251,2458719.67417,0.02,1.147103,-1,9299.0
22790,147379a,apf,rbnz.524,2458723.722929,1.38,1.142369,-1,9024.0
22791,147379a,apf,rboc.692,2458726.728478,8.60,1.349182,-1,4559.0
22792,147379a,apf,rboc.693,2458726.735492,2.80,1.28503,-1,4569.0
22793,147379a,apf,rboh.383,2458731.641458,4.13,1.338657,-1,4561.0
22794,147379a,apf,rboh.384,2458731.64809,7.25,1.45873,-1,4543.0
22795,147379a,apf,rbol.474,2458735.640545,8.64,1.071989,-1,9202.0
22796,147379a,apf,rbop.383,2458739.638675,7.81,1.289724,-1,4666.0
22797,147379a,apf,rbop.384,2458739.646927,8.90,1.36371,-1,4617.0
22798,147379a,apf,rbot.585,2458743.777632,9.78,1.584644,-1,4009.0
22799,147379a,apf,rbot.586,2458743.792123,4.64,1.386053,-1,4169.0
22800,147379a,apf,rbow.638,2458746.779657,9.22,1.425559,-1,4353.0
22801,147379a,apf,rbow.639,2458746.785988,6.97,1.40387,-1,4313.0
22802,147379a,apf,rboz.711,2458749.786626,2.69,1.471286,-1,5074.0
22803,147379a,apf,rboz.712,2458749.8007,1.23,1.515951,-1,5045.0
22804,147379a,apf,rbpc.840,2458752.822279,1.24,1.479826,-1,4865.0
22805,147379a,apf,rbpc.841,2458752.834478,4.22,1.492547,-1,4718.0
22806,147379a,apf,rbpl.382,2458761.6144,-1.72,1.304938,-1,5022.0
22807,147379a,apf,rbpl.383,2458761.625627,2.19,1.337909,-1,4862.0
22808,147379a,apf,rbpo.384,2458764.6149,5.21,1.086699,-1,8845.0
22809,147379a,apf,rbps.384,2458768.610887,-4.61,1.401001,-1,4155.0
22810,147379a,apf,rbps.385,2458768.617172,-2.69,1.369937,-1,4135.0
22811,147379a,apf,rbpw.069,2458772.728754,-2.03,1.175934,-1,6937.0
22812,147379a,apf,rbqf.583,2458781.602899,-5.71,1.441751,-1,4528.0
22813,147379a,apf,rbqf.584,2458781.610886,-3.58,1.308872,-1,4466.0
22814,147379a,apf,rbqo.768,2458791.03965,-6.21,1.589028,-1,3786.0
22815,147379a,apf,rbqo.769,2458791.048412,-8.45,1.523294,-1,3767.0
22816,147379a,apf,rbqv.782,2458798.022963,-6.73,1.517719,-1,4150.0
22817,147379a,apf,rbqv.783,2458798.035278,-2.71,1.555947,-1,4009.0
22818,147379a,apf,rbrc.840,2458804.991143,1.76,1.590926,-1,3967.0
22819,147379a,apf,rbrc.841,2458805.000773,0.42,1.670915,-1,3890.0
22820,147379a,apf,rbrj.652,2458812.005255,3.52,1.438417,-1,4750.0
22821,147379a,apf,rbsx.127,2458852.023313,-5.05,1.52718,-1,4397.0
22822,147379a,apf,rbsx.128,2458852.034286,-1.23,1.480352,-1,4455.0
22823,147379a,apf,rbtr.505,2458871.81522,-0.92,1.600843,-1,4116.0
22824,147379a,apf,rbtv.505,2458876.017478,-13.98,1.444932,-1,3911.0
22825,147379a,apf,rbtv.506,2458876.02815,-12.08,1.280979,-1,4721.0
22826,147379a,apf,rbuf.599,2458885.777202,0.88,1.73254,-1,3518.0
22827,147379a,apf,rbuo.401,2458894.86788,-5.09,1.112024,-1,7428.0
22828,147379a,apf,rbuu.108,2458901.001173,3.64,1.260724,-1,5522.0
22829,147379a,apf,rbux.714,2458904.062179,5.26,1.324992,-1,5332.0
22830,147379a,apf,rbvo.301,2458920.918495,8.86,1.346028,-1,6296.0
22831,147379a,apf,rbww.095,2458954.822349,-3.50,1.156993,-1,8243.0
22832,147379a,apf,rbxd.704,2458961.995284,-12.03,1.194823,-1,8259.0
22833,147379a,apf,rbxh.690,2458965.798058,-9.24,1.167739,-1,7999.0
22834,147379a,apf,rbxk.521,2458968.898537,-5.62,1.487555,-1,4845.0
