Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
30311,166,lick,rh20.22,2446959.9802,15.90,12.646463,-1,72529.0
30312,166,lick,rh21.28,2447046.881,11.00,8.949257,-1,77013.0
30313,166,lick,rh51.19,2447373.9223,33.73,7.731811,-1,57993.0
30314,166,lick,rh79.26,2447846.7966,25.36,9.128716,-1,50556.0
30315,166,lick,rh95.5,2448113.9284,14.79,11.680121,-1,94841.0
30316,166,lick,rh97.10,2448114.9676,-25.25,10.990484,-1,121130.0
30317,166,lick,rh99.16,2448199.6785,3.43,12.369572,-1,60324.0
30318,166,lick,ra11.29,2448438.9623,6.15,11.610465,-1,29023.0
30319,166,lick,ra18.12,2448645.6281,26.74,17.34058,-1,56952.0
30320,166,lick,ra39.31,2448845.8666,-5.47,8.83479,-1,51097.0
30321,166,lick,ra41.34,2448846.9572,8.96,9.085191,-1,54043.0
30322,166,lick,ra42.43,2448847.8616,-2.07,8.021127,-1,83879.0
30323,166,lick,ra42.44,2448847.8728,-2.46,7.603522,-1,77046.0
30324,166,lick,ra42.51,2448847.9354,-2.62,8.212201,-1,51364.0
30325,166,lick,ra42.52,2448847.9432,-16.22,8.387085,-1,56334.0
30326,166,lick,ra49.36,2448905.8343,7.62,9.056049,-1,41555.0
30327,166,lick,ra55.21,2448991.6589,-34.64,14.15167,-1,52961.0
30328,166,lick,ra67.38,2449171.9978,3.19,10.893361,-1,42139.0
30329,166,lick,ra71.47,2449201.0039,-32.05,10.370165,-1,52117.0
30330,166,lick,ra78.17,2449304.6919,31.82,15.796557,-1,14825.0
30331,166,lick,ra78.18,2449304.7138,28.78,15.29148,-1,15276.0
30332,166,lick,ra78.19,2449304.7353,25.41,16.574831,-1,14973.0
30333,166,lick,ra82.16,2449349.6109,19.13,14.051149,-1,133581.0
30334,166,lick,ra83.24,2449350.6821,13.51,15.272017,-1,106123.0
30335,166,lick,ra94.25,2449589.9246,16.56,11.783669,-1,24753.0
30336,166,lick,ra94.26,2449589.9464,14.26,8.883877,-1,24347.0
30337,166,lick,ra96.29,2449602.8965,29.56,11.501294,-1,24097.0
30338,166,lick,ra96.30,2449602.9405,25.98,13.485827,-1,13897.0
30339,166,lick,ra98.46,2449621.8784,13.39,10.525338,-1,101400.0
30340,166,lick,rb03.16,2449679.6612,29.87,5.37584,-1,23830.0
30341,166,lick,rb24.56,2449970.850586,-1.00,5.61733,-1,8146.0
30342,166,lick,rb24.57,2449970.873047,-4.24,5.738576,-1,8103.0
30343,166,lick,rb26.21,2450002.860352,-7.09,4.431627,-1,17446.0
30344,166,lick,rb35.51,2450072.663086,-22.58,4.646477,-1,17998.0
30345,166,lick,rb37.48,2450087.618164,6.70,3.949304,-1,32642.0
30346,166,lick,rb37.98,2450088.669922,3.57,3.881481,-1,41125.0
30347,166,lick,rb37.154,2450089.699219,2.97,3.75037,-1,42109.0
30348,166,lick,rb37.270,2450091.628906,-30.72,4.621167,-1,16997.0
30349,166,lick,rb50.82,2450326.967773,-16.84,3.893166,-1,47087.0
30350,166,lick,rb62.93,2450656.908203,1.09,4.933888,-1,13167.0
30351,166,lick,rb78.148,2451133.731445,-41.29,8.634934,-1,8486.0
30352,166,lick,rf54.52,2453020.634766,-5.54,7.776527,-1,6152.0
30353,166,lick,rf58.12,2453048.623576,55.04,6.035398,-1,9715.0
30354,166,lick,rf58.13,2453048.646273,38.28,5.829692,-1,9356.0
30355,166,lick,rf76.137,2453211.990234,-15.00,3.695849,-1,43326.0
30356,166,lick,rf76.214,2453212.961914,9.80,3.917617,-1,41519.0
30357,166,lick,rf78.76,2453216.916992,-4.60,5.441705,-1,9147.0
30358,166,lick,rf78.77,2453216.939453,7.03,5.906889,-1,9264.0
30359,166,lick,rf79.31,2453218.930664,-1.87,5.343124,-1,9494.0
30360,166,lick,rf79.32,2453218.953125,13.97,5.934457,-1,9727.0
30361,166,lick,rf81.33,2453236.942234,-23.84,5.5314,-1,11414.0
30362,166,lick,rf81.34,2453236.964942,-37.57,5.376547,-1,10635.0
30363,166,lick,rf87.78,2453260.858398,-12.11,9.300387,-1,6409.0
30364,166,lick,rf87.79,2453260.881836,-21.25,9.123692,-1,7686.0
30365,166,lick,rg55.978,2453958.928472,13.31,4.353615,-1,26959.0
