Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
59235,224383,j,rj01.225,2453238.037292,-1.62,1.165101,0.156,110450.0
59236,224383,j,rj09.244,2453571.097326,-1.60,1.021142,0.156,96194.0
59237,224383,j,rj23.1079,2453983.886979,-6.76,1.038946,0.156,88859.0
59238,224383,j,rj138.797,2455904.75783,-2.05,1.367135,0.156,46524.0
59239,224383,j,rj179.731,2456525.12032,-1.90,1.332104,0.157,46178.0
59240,224383,j,rj180.936,2456534.070463,-1.23,1.244673,0.157,46290.0
59241,224383,j,rj262.492,2457946.132228,-6.86,1.43149,0.1573,23050.0
59242,224383,j,rj277.469,2458099.681198,-2.13,1.49696,0.1563,22450.0
59243,224383,j,rj278.1063,2458117.68815,4.55,1.421674,0.1564,22922.0
59244,224383,j,rj296.811,2458332.019109,-5.49,1.78462,0.1584,23470.0
59245,224383,j,rj297.105,2458337.113697,2.62,1.477654,0.1578,23775.0
59246,224383,j,rj309.63,2458436.785798,-4.12,1.375838,-1,24116.0
59247,224383,j,rj335.372,2458662.129327,0.53,1.466755,0.1578,22757.0
