Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
73278,4614b,j,rj02.179,2453301.904444,71.32,1.278762,1.48,51142.0
73279,4614b,j,rj03.180,2453338.797083,65.65,1.081837,1.43,112520.0
73280,4614b,j,rj21.226,2453959.122917,44.48,0.949038,1.34,105717.0
73281,4614b,j,rj28.929,2454131.806019,34.99,1.313899,1.31,74895.0
73282,4614b,j,rj29.151,2454138.77044,39.55,1.096974,1.35,80164.0
73283,4614b,j,rj43.4198,2454339.068773,36.46,0.916334,1.28,60127.0
73284,4614b,j,rj44.262,2454340.033356,38.94,0.956272,1.39,61313.0
73285,4614b,j,rj47.754,2454398.926991,30.55,1.157913,1.31,82063.0
73286,4614b,j,rj70.810,2454986.120206,17.38,1.137858,1.35,51556.0
73287,4614b,j,rj70.1480,2454989.108871,15.29,1.113393,1.27,51449.0
73288,4614b,j,rj72.221,2455015.103848,16.84,0.916115,1.33,52512.0
73289,4614b,j,rj72.514,2455016.093049,20.48,0.931703,1.35,52144.0
73290,4614b,j,rj72.831,2455017.096036,22.25,1.048421,1.46,52312.0
73291,4614b,j,rj72.1094,2455019.099755,15.75,1.027293,1.29,52275.0
73292,4614b,j,rj74.351,2455043.097141,18.06,1.05526,1.32,51084.0
73293,4614b,j,rj74.714,2455045.06358,14.69,1.122298,1.3,52161.0
73294,4614b,j,rj75.167,2455049.050559,18.87,1.156938,1.33,52981.0
73295,4614b,j,rj76.145,2455074.122186,17.57,0.959462,1.32,52355.0
73296,4614b,j,rj76.753,2455077.144319,19.60,0.930256,1.28,53385.0
73297,4614b,j,rj76.974,2455078.145974,20.34,0.997109,1.3,52195.0
73298,4614b,j,rj76.1110,2455079.046835,19.87,0.948853,1.3,52849.0
73299,4614b,j,rj76.1316,2455080.037377,17.30,0.978324,1.31,52403.0
73300,4614b,j,rj76.1530,2455081.053232,17.01,1.012749,1.39,52521.0
73301,4614b,j,rj76.1740,2455082.147344,16.13,0.990432,1.32,53041.0
73302,4614b,j,rj76.1955,2455083.146993,20.03,1.032337,1.32,52364.0
73303,4614b,j,rj76.2120,2455084.084231,18.36,0.97497,1.34,52999.0
73304,4614b,j,rj76.2315,2455085.025368,14.43,1.038981,1.32,53952.0
73305,4614b,j,rj77.935,2455110.038872,7.51,1.598936,1.3,23364.0
73306,4614b,j,rj95.1175,2455405.137552,9.86,1.14173,1.49,50214.0
73307,4614b,j,rj102.171,2455471.987966,7.54,1.138966,1.4,53836.0
73308,4614b,j,rj855.154,2455516.014195,9.81,1.19997,1.445,85190.0
73309,4614b,j,rj855.155,2455516.016382,8.74,1.137822,1.45,85142.0
73310,4614b,j,rj855.156,2455516.018558,10.01,1.208426,1.438,85696.0
73311,4614b,j,rj857.109,2455517.813262,5.56,1.019822,1.467,86540.0
73312,4614b,j,rj857.110,2455517.814905,4.92,1.04118,1.471,85355.0
73313,4614b,j,rj857.111,2455517.816572,6.32,1.026713,1.457,85885.0
73314,4614b,j,rj110.134,2455544.94697,6.42,1.249007,1.44,53582.0
73315,4614b,j,rj130.80,2455786.075609,7.56,1.264506,1.63,37794.0
73316,4614b,j,rj878.154,2455825.862585,-11.18,1.135062,1.438,86111.0
73317,4614b,j,rj878.155,2455825.864414,-9.36,1.080188,1.43,84944.0
73318,4614b,j,rj879.218,2455840.036518,7.83,1.237897,1.606,83921.0
73319,4614b,j,rj879.219,2455840.038902,5.17,1.287658,1.61,85107.0
73320,4614b,j,rj882.133,2455875.82784,1.09,1.206332,1.642,83822.0
73321,4614b,j,rj882.134,2455875.829981,-1.87,1.248617,1.625,83899.0
73322,4614b,j,rj886.151,2455912.859506,-12.17,1.219408,0.0,83781.0
73323,4614b,j,rj886.152,2455912.861277,-9.44,1.115214,0.0,83519.0
73324,4614b,j,rj886.153,2455912.863024,-10.35,1.115445,0.0,83325.0
73325,4614b,j,rj893.170,2456118.08355,-3.14,0.991844,1.58,85777.0
73326,4614b,j,rj893.171,2456118.085842,-2.33,0.93762,1.597,84872.0
73327,4614b,j,rj157.137,2456164.139916,-5.66,1.048981,1.64,50660.0
73328,4614b,j,rj896.120,2456169.06907,-12.57,0.943943,1.578,84332.0
73329,4614b,j,rj896.121,2456169.071119,-12.05,0.983569,1.571,85616.0
73330,4614b,j,rj158.507,2456174.057915,-7.24,1.133838,1.5,54001.0
73331,4614b,j,rj165.40,2456318.732597,-19.70,1.18833,1.49,55153.0
73332,4614b,j,rj180.331,2456531.143148,-12.04,0.989211,1.66,55493.0
73333,4614b,j,rj909.188,2456552.008366,-19.95,1.122498,1.47,86197.0
73334,4614b,j,rj909.189,2456552.010496,-21.25,1.083921,1.477,87333.0
73335,4614b,j,rj912.139,2456676.763529,-24.38,1.095904,1.722,85770.0
73336,4614b,j,rj912.140,2456676.765218,-21.28,1.173091,1.729,87784.0
73337,4614b,j,rj190.832,2456865.139984,-35.36,1.038272,1.305,53075.0
73338,4614b,j,rj201.837,2457202.127227,-46.55,0.986858,1.51,53533.0
73339,4614b,j,rj204.578,2457232.13069,-46.95,1.067089,1.403,52634.0
73340,4614b,j,rj206.94,2457240.135783,-45.62,1.003042,1.372,55306.0
73341,4614b,j,rj233.150,2457580.135407,-49.88,0.966647,1.636,53766.0
73342,4614b,j,rj246.686,2457714.899163,-57.77,1.134836,1.365,54231.0
73343,4614b,j,rj294.140,2458306.132111,-74.77,0.944566,1.6,52423.0
73344,4614b,j,rj305.393,2458386.96667,-74.33,1.229639,1.541,53761.0
73345,4614b,j,rj316.392,2458491.776282,-91.75,1.13772,1.429,54442.0
73346,4614b,j,rj345.119,2458746.965668,-86.79,1.183856,1.501,54989.0
