Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
73347,4614b,lick,ra75.21,2449255.8038,-16.21,25.587215,-1,4279.0
73348,4614b,lick,ra94.29,2449590.0056,137.51,28.923716,-1,7409.0
73349,4614b,lick,rb01.23,2449623.7473,20.11,17.877499,-1,23829.0
73350,4614b,lick,rb21.87,2449914.995671,40.54,7.962149,-1,4416.0
73351,4614b,lick,rb37.149,2450089.62207,9.88,8.603725,-1,3108.0
73352,4614b,lick,rb48.69,2450299.948242,28.75,5.490128,-1,7892.0
73353,4614b,lick,rb48.110,2450300.970703,20.62,4.446497,-1,13851.0
73354,4614b,lick,rb50.69,2450326.844727,18.92,4.450349,-1,18196.0
73355,4614b,lick,rb51.18,2450421.716797,16.01,5.259455,-1,9340.0
73356,4614b,lick,rb52.13,2450437.654297,13.41,6.070196,-1,6871.0
73357,4614b,lick,rb53.12,2450441.613281,20.20,6.167405,-1,7433.0
73358,4614b,lick,rb60.40,2450640.96875,22.35,7.557021,-1,3810.0
73359,4614b,lick,rb61.36,2450646.006836,20.16,8.620375,-1,3270.0
73360,4614b,lick,rb62.40,2450655.964844,14.55,7.883129,-1,3492.0
73361,4614b,lick,rb63.34,2450681.961914,-3.71,8.801917,-1,3041.0
73362,4614b,lick,rb64.18,2450767.666992,-2.76,7.920837,-1,4530.0
73363,4614b,lick,rb65.21,2450793.676758,14.76,7.611754,-1,4142.0
73364,4614b,lick,rb78.63,2451131.755859,-68.54,12.086949,-1,3870.0
73365,4614b,lick,rb94.46,2451417.004883,-19.98,7.220935,-1,12283.0
73366,4614b,lick,rb97.99,2451446.019531,-17.32,7.152095,-1,11738.0
