Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
100768,531a,k,rk31.284,2451343.084502,44.14,5.727299,-1,5281.0
100769,531a,k,rk32.544,2451371.128843,17.45,4.514467,-1,11861.0
100770,531a,k,rk32.945,2451373.123438,31.12,5.031893,-1,10794.0
100771,531a,k,rk32.1116,2451374.102106,-6.91,4.011503,-1,14431.0
100772,531a,k,rk33.374,2451411.97235,-53.32,4.238025,-1,14398.0
100773,531a,k,rk35.64,2451438.876308,78.83,4.460758,-1,14419.0
100774,531a,k,rk35.172,2451439.908032,-69.62,4.623564,-1,13713.0
100775,531a,k,rk35.257,2451440.901898,3.83,4.480234,-1,11464.0
100776,531a,k,rk35.367,2451441.931597,1.28,5.820378,-1,10317.0
100777,531a,k,rk38.27,2451550.733912,-54.94,4.722213,-1,9444.0
100778,531a,k,rk47.329,2451899.793148,64.62,5.563789,-1,7252.0
100779,531a,k,rk54.699,2452099.114606,-55.37,4.007626,-1,16886.0
100780,531a,k,rk55.87,2452128.051007,-69.87,3.004026,-1,54856.0
100781,531a,k,rk55.273,2452128.969167,-2.07,5.404835,-1,9207.0
100782,531a,k,rk65.415,2452489.03169,-31.15,4.18053,-1,19211.0
100783,531a,k,rk67.690,2452538.905069,-10.70,4.31526,-1,19988.0
100784,531a,k,rk75.96,2452829.054491,30.63,4.580629,-1,15515.0
100785,531a,k,rk78.262,2452899.021227,-19.23,4.705089,-1,19603.0
100786,531a,k,rk79.141,2452924.826204,-118.00,3.646654,-1,20785.0
