Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
78935,6872a,j,rj01.464,2453239.086562,-4.87,3.048899,0.181,107469.0
78936,6872a,j,rj20.909,2453933.025914,19.15,2.643213,0.179,84789.0
78937,6872a,j,rj137.277,2455879.019694,-12.62,3.992505,0.175,44409.0
78938,6872a,j,rj222.691,2457414.810868,-3.46,3.691972,0.1794,26176.0
78939,6872a,j,rj233.314,2457581.128077,-2.67,3.395022,0.1775,22126.0
78940,6872a,j,rj240.552,2457654.151168,-3.90,3.686171,0.1797,22401.0
78941,6872a,j,rj243.116,2457679.005503,2.58,4.225224,0.1778,23048.0
78942,6872a,j,rj247.467,2457747.692473,-1.95,4.614279,0.1797,21954.0
78943,6872a,j,rj302.278,2458365.003194,9.83,3.559138,0.1783,23605.0
78944,6872a,j,rj333.528,2458647.124268,-17.89,3.95147,0.1759,21593.0
