Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
86233,88986,k,rk8.152,2450420.109456,11.79,1.368969,-1,67106.0
86234,88986,k,rk9.214,2450463.001852,10.53,1.293803,-1,210644.0
86235,88986,k,rk11.34,2450545.867859,8.89,1.24299,-1,132813.0
86236,88986,k,rk16.262,2450787.069919,23.90,3.46935,-1,7394.0
86237,88986,k,rk16.263,2450787.074109,15.10,1.470946,-1,58546.0
86238,88986,k,rk18.90,2450838.012188,11.79,1.410723,-1,157220.0
86239,88986,k,rk20.31,2450954.804942,17.60,1.382921,-1,192788.0
86240,88986,k,rk20.138,2450955.757222,16.35,1.418182,-1,113722.0
86241,88986,k,rk27.249,2451171.99838,9.90,1.271473,-1,98775.0
86242,88986,k,rk29.325,2451229.004352,-1.56,1.314476,-1,140865.0
86243,88986,k,rk31.119,2451341.822188,10.45,1.428544,-1,84642.0
86244,88986,k,rk38.109,2451551.063194,9.62,1.458167,-1,82564.0
86245,88986,k,rk49.39,2451982.007072,-2.68,1.304656,-1,98610.0
86246,88986,k,rk60.125,2452308.02544,-1.00,1.592725,-1,83617.0
86247,88986,k,rk69.151,2452601.159387,-7.39,1.488065,-1,98322.0
86248,88986,k,rk72.264,2452712.962153,-11.37,1.352325,-1,87460.0
86249,88986,k,rk80.80,2452988.069282,-9.04,1.23496,-1,124020.0
