Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
101522,g161-29,k,rk27.103,2451171.05125,13.27,3.071289,-1,5501.0
101523,g161-29,k,rk29.72,2451226.957778,9.02,2.971437,-1,5152.0
101524,g161-29,k,rk37.116,2451544.104977,6.37,2.853799,-1,6561.0
101525,g161-29,k,rk39.67,2451580.937222,-23.38,2.270576,-1,10128.0
101526,g161-29,k,rk39.204,2451581.973669,-4.08,2.538646,-1,7429.0
101527,g161-29,k,rk39.441,2451583.929896,-2.63,2.633341,-1,7540.0
101528,g161-29,k,rk46.122,2451883.126065,-3.88,2.442403,-1,7041.0
101529,g161-29,k,rk49.233,2451983.972037,-1.77,4.454488,-1,5186.0
101530,g161-29,k,rk60.94,2452307.896042,-8.56,2.489646,-1,12770.0
101531,g161-29,k,rk69.131,2452601.077361,-7.76,2.595067,-1,14153.0
101532,g161-29,k,rk74.420,2452805.750613,-7.48,3.325664,-1,7760.0
101533,g161-29,k,rk81.974,2453017.894375,-22.92,2.6995,-1,12051.0
