Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
94205,gl250b,j,rj02.605,2453303.048507,-5.83,1.113563,1.16,36875.0
94206,gl250b,j,rj05.1246,2453400.936597,-3.90,1.318944,1.13,26513.0
94207,gl250b,j,rj18.630,2453841.781574,2.03,1.179881,1.21,30889.0
94208,gl250b,j,rj28.153,2454129.861701,2.76,1.368341,1.28,20472.0
94209,gl250b,j,rj47.422,2454398.111424,1.02,1.159444,1.22,34073.0
94210,gl250b,j,rj48.898,2454430.049803,-0.37,1.37312,1.23,26336.0
94211,gl250b,j,rj61.457,2454779.036539,2.52,1.373146,1.34,26072.0
94212,gl250b,j,rj63.500,2454807.061574,0.65,1.361283,1.38,29674.0
94213,gl250b,j,rj63.1629,2454810.901597,-1.73,1.29173,1.46,29487.0
94214,gl250b,j,rj64.181,2454839.0289,-2.59,1.78997,1.46,21334.0
94215,gl250b,j,rj66.121,2454864.927068,-0.72,1.304913,1.59,33272.0
94216,gl250b,j,rj67.473,2454928.751604,-0.98,1.078996,1.39,38019.0
94217,gl250b,j,rj67.671,2454929.746424,3.08,1.301881,1.35,23565.0
94218,gl250b,j,rj67.974,2454934.768463,7.83,1.589921,1.54,13635.0
94219,gl250b,j,rj78.218,2455134.077679,-3.90,1.313683,1.74,28226.0
94220,gl250b,j,rj78.524,2455135.113018,-3.23,1.217018,1.66,33627.0
94221,gl250b,j,rj80.659,2455172.16205,-1.59,1.121022,1.29,33139.0
94222,gl250b,j,rj80.869,2455173.040248,1.44,1.23343,1.39,33237.0
94223,gl250b,j,rj80.1208,2455174.109008,0.92,1.309706,1.27,25877.0
94224,gl250b,j,rj81.153,2455187.935999,-0.35,1.463423,1.33,21210.0
94225,gl250b,j,rj81.374,2455188.968914,-4.31,1.335149,1.29,21422.0
94226,gl250b,j,rj81.672,2455190.038494,-5.58,1.322166,1.36,32300.0
94227,gl250b,j,rj81.884,2455190.930744,-5.99,1.1874,1.29,33015.0
94228,gl250b,j,rj81.1184,2455192.109212,-7.37,1.374881,1.31,33769.0
94229,gl250b,j,rj82.201,2455196.981641,-6.76,1.169326,1.33,31161.0
94230,gl250b,j,rj104.374,2455491.033766,0.81,1.0436,1.25,34027.0
94231,gl250b,j,rj863.152,2455579.866962,6.70,1.584237,1.079,13328.0
94232,gl250b,j,rj866.141,2455637.811108,1.09,1.092874,1.158,33825.0
94233,gl250b,j,rj867.128,2455638.812934,-0.68,1.165567,1.188,22783.0
94234,gl250b,j,rj133.454,2455843.13798,-1.94,1.296751,1.29,21687.0
94235,gl250b,j,rj160.119,2456203.068867,0.53,1.107145,1.25,34740.0
94236,gl250b,j,rj161.146,2456208.060277,-3.48,1.215436,1.43,37420.0
94237,gl250b,j,rj186.191,2456674.849744,-1.08,1.303857,1.108,30810.0
94238,gl250b,j,rj282.121,2458149.884918,-4.15,1.358084,1.368,25080.0
94239,gl250b,j,rj357.313,2458833.972585,0.22,1.389601,1.243,20881.0
