Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
94401,gl382,k,rk12.496,2450607.768657,-7.59,1.457622,-1,32408.0
94402,gl382,k,rk17.243,2450807.103854,-12.91,1.483001,-1,42643.0
94403,gl382,k,rk18.68,2450837.908345,-8.40,1.533284,-1,45879.0
94404,gl382,k,rk18.229,2450839.017674,-14.84,1.432037,-1,50896.0
94405,gl382,k,rk19.64,2450861.936933,-13.27,1.36786,-1,64134.0
94406,gl382,k,rk27.125,2451171.143137,-8.96,1.294323,-1,41422.0
94407,gl382,k,rk29.194,2451227.954317,-18.41,1.391273,-1,57450.0
94408,gl382,k,rk37.125,2451544.152766,-12.94,1.544268,-1,33374.0
94409,gl382,k,rk39.209,2451581.992731,-9.30,1.542499,-1,50148.0
94410,gl382,k,rk46.126,2451883.146215,-8.49,1.461452,-1,51927.0
94411,gl382,k,rk50.146,2452003.848032,-14.86,1.725004,-1,47778.0
94412,gl382,k,rk60.100,2452307.925012,-6.05,1.610477,-1,79980.0
94413,gl382,k,rk69.134,2452601.094468,6.02,1.571702,-1,95574.0
94414,gl382,k,rk69.135,2452601.101354,9.50,1.586251,-1,93824.0
94415,gl382,k,rk71.135,2452683.000046,-1.78,1.6155,-1,95978.0
94416,gl382,k,rk72.63,2452711.829225,3.07,1.49348,-1,79584.0
94417,gl382,k,rk73.164,2452777.830498,-5.68,1.605815,-1,61272.0
94418,gl382,k,rk74.221,2452804.756262,-9.26,1.633724,-1,67858.0
94419,gl382,k,rk81.987,2453017.967685,-14.43,1.796476,-1,113154.0
