Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
94739,gl412a,k,rk12.307,2450605.766632,-2.24,1.280138,-1,103181.0
94740,gl412a,k,rk18.80,2450837.969838,0.05,1.409604,-1,80374.0
94741,gl412a,k,rk18.241,2450839.093345,-4.85,1.358311,-1,104082.0
94742,gl412a,k,rk19.81,2450862.034618,1.48,1.381395,-1,97359.0
94743,gl412a,k,rk27.253,2451172.013993,-2.43,1.427321,-1,64465.0
94744,gl412a,k,rk29.227,2451228.114363,-1.46,1.528579,-1,69140.0
94745,gl412a,k,rk30.23,2451310.809653,-3.94,1.276268,-1,73905.0
94746,gl412a,k,rk38.239,2451552.062824,-6.66,1.496685,-1,68945.0
94747,gl412a,k,rk49.42,2451982.020995,1.05,1.377928,-1,63492.0
94748,gl412a,k,rk54.1231,2452101.767465,-6.07,1.645804,-1,102674.0
94749,gl412a,k,rk61.120,2452334.031563,3.88,1.719587,-1,110379.0
94750,gl412a,k,rk70.121,2452652.129861,-1.65,1.554061,-1,109089.0
94751,gl412a,k,rk71.28,2452681.002789,-1.93,1.619451,-1,108290.0
94752,gl412a,k,rk74.244,2452804.870995,1.69,1.812667,-1,90059.0
94753,gl412a,k,rk82.148,2453044.97066,-3.58,1.642114,-1,102456.0
94754,gl412a,k,rk84.130,2453072.007211,-8.99,1.887379,-1,88808.0
94755,gl412a,k,rk84.640,2453077.089028,0.24,1.6934,-1,75693.0
