Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
95126,gl48,apf,race.236,2456649.0837,3.87,2.868731,-1,3370.0
95127,gl48,apf,race.236,2456649.0837,3.87,2.868731,-1,3370.0
95128,gl48,apf,racf.224,2456662.853649,-0.38,2.241282,-1,4058.0
95129,gl48,apf,racf.224,2456662.853649,-0.38,2.241282,-1,4058.0
95130,gl48,apf,racg.163,2456663.62334,3.41,2.223356,-1,4054.0
95131,gl48,apf,racg.163,2456663.62334,3.41,2.223356,-1,4054.0
95132,gl48,apf,racg.211,2456663.806758,3.65,2.27439,-1,4194.0
95133,gl48,apf,racg.211,2456663.806758,3.65,2.27439,-1,4194.0
95134,gl48,apf,racl.175,2456674.632347,-0.81,2.310883,-1,3971.0
95135,gl48,apf,racl.175,2456674.632347,-0.81,2.310883,-1,3971.0
95136,gl48,apf,racl.222,2456674.891548,0.99,2.235482,-1,3746.0
95137,gl48,apf,racl.222,2456674.891548,0.99,2.235482,-1,3746.0
95138,gl48,apf,racm.166,2456675.655157,-0.70,2.132079,-1,3822.0
95139,gl48,apf,racm.166,2456675.655157,-0.70,2.132079,-1,3822.0
95140,gl48,apf,racn.132,2456678.75129,-2.71,2.14119,-1,3928.0
95141,gl48,apf,racn.132,2456678.75129,-2.71,2.14119,-1,3928.0
95142,gl48,apf,racn.177,2456678.961719,2.15,2.319455,-1,3747.0
95143,gl48,apf,racn.177,2456678.961719,2.15,2.319455,-1,3747.0
