Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
102090,gl528b,k,rk29.101,2451227.093935,2236.65,4.624569,-1,80455.0
102091,gl528b,k,rk30.54,2451310.962708,-272.81,1.117165,-1,204418.0
102092,gl528b,k,rk32.1027,2451373.851644,-270.86,1.08984,-1,133685.0
102093,gl528b,k,rk39.100,2451581.085521,-260.45,1.542075,-1,153378.0
102094,gl528b,k,rk39.334,2451583.043194,-249.36,1.120127,-1,160648.0
102095,gl528b,k,rk39.448,2451583.969074,-248.16,1.178064,-1,75098.0
102096,gl528b,k,rk40.135,2451679.932998,-244.89,1.27244,-1,105375.0
102097,gl528b,k,rk49.256,2451984.080764,-230.67,1.263845,-1,114765.0
102098,gl528b,k,rk53.155,2452062.888785,-226.88,1.279892,-1,96093.0
102099,gl528b,k,rk54.833,2452099.825961,-238.60,1.30341,-1,92402.0
102100,gl528b,k,rk55.233,2452128.802095,-213.30,1.327357,-1,94763.0
102101,gl528b,k,rk61.38,2452333.065347,-220.25,1.504615,-1,88328.0
102102,gl528b,k,rk64.156,2452446.813576,-191.43,1.257402,-1,117391.0
102103,gl528b,k,rk71.166,2452683.120012,-203.21,1.281811,-1,104107.0
102104,gl528b,k,rk72.91,2452711.970174,-203.34,1.332451,-1,94334.0
102105,gl528b,k,rk74.468,2452805.980289,-191.60,1.395987,-1,115813.0
102106,gl528b,k,rk84.125,2453071.989514,-174.97,1.720473,-1,28552.0
