Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
95387,gl667c,j,rj01.1010,2453240.799537,-15.02,1.625552,1.49,27829.0
95388,gl667c,j,rj07.446,2453480.035706,-13.95,1.609429,0.704,19080.0
95389,gl667c,j,rj55.1430,2454639.935,-1.76,1.784312,0.566,16239.0
95390,gl667c,j,rj58.388,2454689.849294,-4.06,1.669138,0.616,21200.0
95391,gl667c,j,rj59.371,2454718.775255,-1.98,1.502597,0.791,15152.0
95392,gl667c,j,rj67.552,2454929.123254,-0.41,1.567827,0.563,24289.0
95393,gl667c,j,rj843.161,2455339.104016,3.96,1.60646,0.6104,19894.0
95394,gl667c,j,rj849.120,2455371.850034,-9.88,1.448483,0.5713,30872.0
95395,gl667c,j,rj851.160,2455408.912802,-1.61,1.732331,0.5969,18398.0
95396,gl667c,j,rj852.127,2455409.854634,1.92,1.668583,0.6441,21365.0
95397,gl667c,j,rj853.122,2455462.742851,-0.91,1.333047,0.6266,22890.0
95398,gl667c,j,rj866.230,2455638.14535,-4.43,2.204673,0.492,6006.0
95399,gl667c,j,rj867.177,2455639.096068,-7.00,1.949263,0.4827,8902.0
95400,gl667c,j,rj870.196,2455665.035787,-5.35,1.623103,0.5908,29626.0
95401,gl667c,j,rj871.208,2455670.063475,3.36,1.398559,0.5723,31185.0
95402,gl667c,j,rj872.181,2455720.039729,4.46,1.614581,0.5833,24742.0
95403,gl667c,j,rj873.156,2455720.971496,3.76,1.814834,0.7532,14499.0
95404,gl667c,j,rj876.129,2455750.856835,2.52,2.0765,0.5625,9202.0
95405,gl667c,j,rj877.116,2455824.741219,-6.01,1.694905,0.5428,15687.0
95406,gl667c,j,rj877.117,2455824.748788,-2.57,1.604443,0.5596,17316.0
95407,gl667c,j,rj878.115,2455825.731552,-3.01,1.603936,0.5442,14455.0
95408,gl667c,j,rj878.116,2455825.738913,-5.56,1.524566,0.5456,16424.0
95409,gl667c,j,rj880.112,2455840.717452,-4.53,1.785532,0.5506,14285.0
95410,gl667c,j,rj880.113,2455840.725067,-5.58,2.115061,0.5554,11272.0
95411,gl667c,j,rj133.571,2455843.727253,-1.79,1.810085,0.627,12918.0
95412,gl667c,j,rj892.132,2456116.872083,7.95,1.865426,0.5529,13384.0
95413,gl667c,j,rj893.125,2456117.868685,5.17,1.683251,0.5321,19854.0
95414,gl667c,j,rj897.117,2456169.772475,3.23,1.689859,0.4453,16967.0
95415,gl667c,j,rj904.141,2456433.00101,7.03,1.456637,0.5289,30072.0
95416,gl667c,j,rj905.169,2456433.916842,6.01,1.758338,0.5214,19750.0
95417,gl667c,j,rj906.113,2456548.717833,6.48,1.380639,0.5612,27983.0
95418,gl667c,j,rj907.113,2456549.733418,3.03,1.277386,0.5705,28111.0
95419,gl667c,j,rj909.116,2456551.754068,-3.33,1.566433,0.6169,18217.0
95420,gl667c,j,rj189.1068,2456847.762935,12.10,2.762563,0.6173,4355.0
95421,gl667c,j,rj297.74,2458336.814284,1.77,1.606248,0.6084,17494.0
