Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
96094,gl699,lick,rh17.35,2446957.8884,-21.14,32.489758,-1,3148.0
96095,gl699,lick,ra39.23,2448845.7537,-27.50,24.268732,-1,3558.0
96096,gl699,lick,ra50.18,2448906.638,6.10,20.126078,-1,3598.0
96097,gl699,lick,ra63.35,2449114.9993,-3.49,32.154156,-1,3766.0
96098,gl699,lick,ra68.27,2449172.767,-17.12,22.367538,-1,7878.0
96099,gl699,lick,ra70.45,2449174.8394,-11.79,24.34871,-1,7884.0
96100,gl699,lick,ra71.29,2449200.7659,-42.19,26.506504,-1,5681.0
96101,gl699,lick,ra89.47,2449469.9887,-8.51,24.074255,-1,6502.0
96102,gl699,lick,ra99.17,2449622.676,-29.10,20.557089,-1,4809.0
96103,gl699,lick,rb01.14,2449623.6432,-12.56,18.032057,-1,8428.0
96104,gl699,lick,rb61.24,2450645.800781,22.22,8.764438,-1,3978.0
96105,gl699,lick,rb62.23,2450655.787109,-9.78,8.646561,-1,3490.0
96106,gl699,lick,rb62.24,2450655.80957,-4.08,7.649938,-1,3499.0
96107,gl699,lick,rb62.79,2450656.786133,-21.75,8.706701,-1,4002.0
96108,gl699,lick,rb62.80,2450656.808594,-7.06,8.063943,-1,4063.0
96109,gl699,lick,rb63.13,2450681.700195,5.70,9.855717,-1,3540.0
96110,gl699,lick,rb63.14,2450681.722656,-6.51,9.277877,-1,3180.0
96111,gl699,lick,rg55.941,2453958.675741,0.13,9.024509,-1,4329.0
