Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
96124,gl745a,j,rj07.170,2453479.096771,-0.38,1.414906,0.268,16010.0
96125,gl745a,j,rj20.869,2453932.879016,1.86,1.521167,0.296,17697.0
96126,gl745a,j,rj43.3147,2454337.958125,-0.65,1.279941,0.29,18166.0
96127,gl745a,j,rj55.528,2454635.929039,2.49,1.299961,0.263,19907.0
96128,gl745a,j,rj56.459,2454667.972431,-2.79,1.474833,0.259,19163.0
96129,gl745a,j,rj56.1649,2454673.948507,-1.55,1.330988,0.266,22795.0
96130,gl745a,j,rj58.452,2454690.038368,-5.71,1.668726,0.267,11601.0
96131,gl745a,j,rj801.154,2454702.930543,0.42,1.311116,0.2645,20515.0
96132,gl745a,j,rj803.144,2454704.910519,2.86,1.309872,0.2615,20111.0
96133,gl745a,j,rj59.2236,2454724.930301,-0.35,1.462288,0.255,14483.0
96134,gl745a,j,rj61.91,2454777.773773,-5.61,1.435241,0.284,17093.0
96135,gl745a,j,rj96.999,2455415.038975,-4.62,1.563808,0.257,15077.0
96136,gl745a,j,rj97.1885,2455434.987669,0.84,1.201719,0.27,17338.0
96137,gl745a,j,rj97.2162,2455435.977864,-2.05,1.321804,0.25,13197.0
96138,gl745a,j,rj100.1712,2455469.805789,-4.79,1.293382,0.281,17593.0
96139,gl745a,j,rj856.112,2455516.743128,1.09,1.655479,0.2679,14965.0
96140,gl745a,j,rj856.113,2455516.750488,0.51,1.435341,0.2708,12639.0
96141,gl745a,j,rj134.188,2455850.758189,0.28,1.3588,0.271,19573.0
96142,gl745a,j,rj291.86,2458284.931053,1.98,1.283844,0.2671,19581.0
