Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
96341,gl83.1,j,rj01.757,2453240.08941,8.12,2.446375,16.6,7729.0
96342,gl83.1,j,rj19.633,2453927.115937,27.93,2.658022,13.9,3436.0
96343,gl83.1,j,rj23.229,2453982.008866,29.92,2.187596,15.4,4835.0
96344,gl83.1,j,rj45.200,2454343.994051,-21.29,2.254905,13.9,4689.0
96345,gl83.1,j,rj47.373,2454397.950139,10.47,2.561788,19.0,3949.0
96346,gl83.1,j,rj820.202,2455022.103097,1.41,2.191734,12.97,4746.0
96347,gl83.1,j,rj822.206,2455024.116887,-0.35,2.415383,13.43,4700.0
96348,gl83.1,j,rj825.190,2455050.062275,-1.53,2.04369,0.0,5591.0
96349,gl83.1,j,rj827.202,2455052.068137,-1.06,2.265293,15.18,4346.0
96350,gl83.1,j,rj832.171,2455166.911916,-0.17,3.019666,11.99,4116.0
96351,gl83.1,j,rj832.172,2455166.919311,-1.57,3.076336,12.17,4185.0
96352,gl83.1,j,rj834.155,2455168.857663,-2.49,2.702276,15.53,4021.0
96353,gl83.1,j,rj834.156,2455168.865081,3.19,2.708322,16.37,3551.0
96354,gl83.1,j,rj835.167,2455200.889638,-20.29,2.659642,14.7,3631.0
96355,gl83.1,j,rj836.127,2455201.800615,-11.68,2.240593,18.82,4829.0
96356,gl83.1,j,rj836.128,2455201.808068,-11.01,2.271738,18.41,4890.0
96357,gl83.1,j,rj837.129,2455202.799442,-16.92,2.079628,13.61,5486.0
96358,gl83.1,j,rj838.107,2455257.720552,-20.82,2.817776,14.66,3715.0
96359,gl83.1,j,rj838.108,2455257.727913,-30.09,2.482376,15.25,3986.0
96360,gl83.1,j,rj97.747,2455429.140997,1.83,2.464732,16.1,3761.0
96361,gl83.1,j,rj853.224,2455463.077425,5.43,2.242924,13.37,5061.0
96362,gl83.1,j,rj853.225,2455463.084972,13.23,1.990336,13.86,5032.0
96363,gl83.1,j,rj856.178,2455517.017101,17.36,2.56058,17.12,4236.0
96364,gl83.1,j,rj856.179,2455517.024658,13.81,2.47882,16.27,4517.0
96365,gl83.1,j,rj857.146,2455517.990269,20.18,2.23439,14.87,5306.0
96366,gl83.1,j,rj859.153,2455548.920123,8.68,2.456397,11.97,4626.0
96367,gl83.1,j,rj859.154,2455548.927565,15.24,2.504795,11.71,4437.0
96368,gl83.1,j,rj860.145,2455549.868633,28.62,2.617271,14.02,3387.0
96369,gl83.1,j,rj863.120,2455579.748065,13.32,2.258018,17.25,4239.0
96370,gl83.1,j,rj863.121,2455579.755715,18.18,2.523743,16.34,3817.0
96371,gl83.1,j,rj878.190,2455826.00332,-23.18,2.844686,15.37,3878.0
96372,gl83.1,j,rj138.596,2455903.867004,-3.26,2.074171,13.1,8676.0
96373,gl83.1,j,rj884.137,2455910.820322,-7.90,2.235197,14.71,4773.0
96374,gl83.1,j,rj886.110,2455912.700868,-16.58,2.274713,0.0,4915.0
96375,gl83.1,j,rj887.133,2455970.786588,-25.90,2.605647,15.6,3952.0
96376,gl83.1,j,rj156.1055,2456149.124278,3.65,2.508217,14.0,3940.0
96377,gl83.1,j,rj247.88,2457745.860663,0.85,2.548303,15.59,5329.0
96378,gl83.1,j,rj302.102,2458364.079502,-21.18,2.128791,14.69,6981.0
96379,gl83.1,j,rj344.213,2458744.077617,4.29,2.078685,14.71,7777.0
96380,gl83.1,j,rj348.96,2458777.006264,-11.44,1.858827,14.25,8968.0
