Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
96398,gl87,j,rj01.1103,2453241.067049,0.47,1.131259,0.6,59028.0
96399,gl87,j,rj21.506,2453961.11985,-3.35,1.176033,0.531,34110.0
96400,gl87,j,rj28.538,2454130.812674,-4.86,1.655892,0.545,12409.0
96401,gl87,j,rj28.916,2454131.739688,0.55,1.667166,0.566,12521.0
96402,gl87,j,rj45.201,2454344.000799,-1.98,1.171467,0.682,38421.0
96403,gl87,j,rj47.144,2454396.835231,1.29,1.226455,0.663,36711.0
96404,gl87,j,rj47.376,2454397.966169,-4.78,1.205644,0.723,35270.0
96405,gl87,j,rj48.884,2454429.984688,-3.22,1.171658,0.542,26385.0
96406,gl87,j,rj48.1236,2454430.819572,-6.22,1.217474,0.535,26093.0
96407,gl87,j,rj49.540,2454454.853287,-2.19,1.390132,0.663,28485.0
96408,gl87,j,rj49.957,2454455.864479,-0.73,1.317445,0.651,30566.0
96409,gl87,j,rj49.1344,2454456.847604,-2.39,1.482778,0.659,19439.0
96410,gl87,j,rj49.1912,2454458.818623,-2.44,1.380371,0.652,31683.0
96411,gl87,j,rj49.2244,2454460.800127,-0.06,1.616418,0.641,18680.0
96412,gl87,j,rj49.2635,2454461.814954,-0.54,1.546272,0.65,13963.0
96413,gl87,j,rj58.165,2454689.028032,-4.96,1.170344,0.559,37443.0
96414,gl87,j,rj59.146,2454717.975694,-5.17,1.374663,0.75,32941.0
96415,gl87,j,rj59.465,2454719.02419,-3.56,1.249162,0.627,26068.0
96416,gl87,j,rj59.793,2454720.046759,-3.23,1.243268,0.673,32119.0
96417,gl87,j,rj59.1075,2454721.007118,-0.62,1.157566,0.666,39632.0
96418,gl87,j,rj59.1385,2454722.047141,-3.29,1.352261,0.634,22914.0
96419,gl87,j,rj59.1663,2454722.990498,-1.30,1.198763,0.656,31991.0
96420,gl87,j,rj59.1949,2454723.982014,0.90,1.099706,0.65,34640.0
96421,gl87,j,rj59.2262,2454724.993877,2.31,1.121344,0.654,36852.0
96422,gl87,j,rj60.127,2454725.901169,1.43,1.451392,0.627,24393.0
96423,gl87,j,rj60.563,2454727.025486,-2.54,1.068906,0.653,25654.0
96424,gl87,j,rj60.564,2454727.031238,0.87,1.266373,0.736,20671.0
96425,gl87,j,rj60.797,2454727.968299,0.15,1.205528,0.612,37561.0
96426,gl87,j,rj61.147,2454777.977766,-2.27,1.26043,0.639,34424.0
96427,gl87,j,rj63.111,2454805.822593,-6.10,1.474468,0.63,17025.0
96428,gl87,j,rj63.424,2454806.84941,-2.38,2.231573,0.628,25222.0
96429,gl87,j,rj63.721,2454807.856169,0.70,1.163046,0.607,31287.0
96430,gl87,j,rj63.1074,2454808.987674,-0.29,1.373125,0.617,23966.0
96431,gl87,j,rj64.104,2454838.828137,0.89,1.428906,0.571,27256.0
96432,gl87,j,rj66.677,2454867.801519,-4.28,2.527298,0.621,4831.0
96433,gl87,j,rj77.908,2455109.969447,-2.76,1.238853,0.618,33700.0
96434,gl87,j,rj82.714,2455198.845521,-0.73,1.217529,0.547,32602.0
96435,gl87,j,rj839.108,2455258.74094,-6.42,1.468429,0.5627,19721.0
96436,gl87,j,rj96.434,2455412.122645,-0.76,1.046196,0.671,36398.0
96437,gl87,j,rj97.1932,2455435.120885,-0.95,1.100968,0.568,36930.0
96438,gl87,j,rj98.211,2455456.083342,-1.73,1.152549,0.564,29240.0
96439,gl87,j,rj102.161,2455471.971835,-0.26,1.165443,0.664,36893.0
96440,gl87,j,rj102.193,2455472.045194,0.69,1.20114,0.656,35833.0
96441,gl87,j,rj136.99,2455871.016393,2.31,1.226818,0.519,29550.0
96442,gl87,j,rj138.595,2455903.857828,2.22,0.991018,0.602,38723.0
96443,gl87,j,rj158.119,2456172.139424,-5.06,1.310379,0.581,30016.0
96444,gl87,j,rj179.139,2456522.122076,-0.12,1.133065,0.573,41155.0
96445,gl87,j,rj179.346,2456523.127663,0.88,1.287159,0.592,32082.0
96446,gl87,j,rj179.543,2456524.127311,-0.38,1.292233,0.579,36997.0
96447,gl87,j,rj179.948,2456526.131456,-3.03,1.17895,0.604,40853.0
96448,gl87,j,rj180.138,2456530.030802,-1.10,1.973513,0.55,9341.0
96449,gl87,j,rj180.314,2456531.108623,1.41,1.154511,0.581,37319.0
96450,gl87,j,rj180.528,2456532.1072,-1.42,1.098446,0.639,36002.0
96451,gl87,j,rj180.725,2456533.09118,-1.30,1.135774,0.556,35917.0
96452,gl87,j,rj180.928,2456534.04503,-0.10,1.231394,0.549,36407.0
96453,gl87,j,rj181.158,2456548.136375,-3.02,1.271125,0.51,29048.0
96454,gl87,j,rj191.295,2456874.120805,-2.63,1.239083,0.5404,34643.0
96455,gl87,j,rj192.320,2456881.13078,-3.49,1.328957,0.6582,37096.0
96456,gl87,j,rj192.728,2456883.125118,-4.05,1.147098,0.5669,39691.0
96457,gl87,j,rj193.117,2456889.112589,-3.08,1.168448,0.5174,29455.0
96458,gl87,j,rj193.324,2456890.123279,-2.59,1.248417,0.5321,35704.0
96459,gl87,j,rj193.771,2456892.118174,-3.74,1.136799,0.5033,53795.0
96460,gl87,j,rj193.1521,2456896.121809,-1.14,1.188124,0.522,35079.0
96461,gl87,j,rj194.143,2456907.112174,-7.02,1.25257,0.5047,34902.0
96462,gl87,j,rj194.341,2456908.133358,-5.74,1.192175,0.4727,40464.0
96463,gl87,j,rj302.101,2458364.070391,-4.46,1.24241,0.5801,27432.0
