Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
98004,hip24284,j,rj02.594,2453303.010451,13.28,1.382376,0.648,18640.0
98005,hip24284,j,rj04.866,2453369.82375,4.16,1.56016,0.757,18895.0
98006,hip24284,j,rj15.1962,2453752.888646,-1.89,1.944603,0.675,9441.0
98007,hip24284,j,rj47.779,2454399.040938,5.07,1.670192,0.631,12650.0
98008,hip24284,j,rj48.874,2454429.94787,-4.66,1.725359,0.591,16362.0
98009,hip24284,j,rj49.549,2454454.884803,1.23,1.390751,0.786,16864.0
98010,hip24284,j,rj49.961,2454455.877708,2.48,1.541793,0.694,16264.0
98011,hip24284,j,rj52.516,2454545.777072,0.20,1.301268,0.738,17183.0
98012,hip24284,j,rj59.182,2454718.064259,-4.34,1.566476,0.625,15048.0
98013,hip24284,j,rj59.490,2454719.0839,2.65,1.211028,0.623,20481.0
98014,hip24284,j,rj59.826,2454720.124595,-5.97,1.326778,0.616,16952.0
98015,hip24284,j,rj59.2316,2454725.118692,-3.42,1.418771,0.615,16780.0
98016,hip24284,j,rj63.763,2454807.97625,-5.26,1.477288,0.616,17757.0
98017,hip24284,j,rj808.178,2454819.925801,-2.92,1.371159,0.6556,20040.0
98018,hip24284,j,rj808.179,2454819.933393,-0.08,1.422396,0.6666,19715.0
98019,hip24284,j,rj78.195,2455134.024019,-9.80,1.474376,0.575,16370.0
98020,hip24284,j,rj78.767,2455135.96469,-2.49,1.323815,0.601,18477.0
98021,hip24284,j,rj80.615,2455171.925998,0.46,1.65307,0.56,14592.0
98022,hip24284,j,rj82.184,2455196.929626,6.60,1.460313,0.637,17219.0
98023,hip24284,j,rj838.152,2455257.836971,-7.82,1.490985,0.6222,18052.0
98024,hip24284,j,rj838.153,2455257.84447,-7.46,1.660349,0.65,18102.0
98025,hip24284,j,rj97.1773,2455434.122828,2.80,1.224833,0.728,20786.0
98026,hip24284,j,rj98.224,2455456.114091,-7.86,1.348241,0.658,15145.0
98027,hip24284,j,rj859.200,2455549.030509,3.18,1.52854,0.6483,15017.0
98028,hip24284,j,rj859.201,2455549.037974,-0.22,1.466,0.6445,14402.0
98029,hip24284,j,rj115.129,2455611.938472,-0.53,1.625499,0.655,10929.0
98030,hip24284,j,rj867.107,2455638.726815,-6.32,1.503953,0.6029,11338.0
98031,hip24284,j,rj867.108,2455638.73421,-8.51,1.658915,0.5997,11173.0
98032,hip24284,j,rj130.2552,2455799.129633,-1.30,1.441528,0.73,21545.0
98033,hip24284,j,rj137.90,2455877.970683,3.21,1.30669,0.733,20655.0
98034,hip24284,j,rj886.135,2455912.833131,-1.06,1.334851,0.0,22693.0
98035,hip24284,j,rj886.136,2455912.840666,-0.57,1.312393,0.0,25040.0
98036,hip24284,j,rj157.898,2456168.127038,5.26,1.192169,0.676,20367.0
98037,hip24284,j,rj161.341,2456209.07366,4.54,1.324117,0.708,20639.0
98038,hip24284,j,rj185.790,2456639.794097,-5.23,2.157518,0.6701,6224.0
98039,hip24284,j,rj194.1325,2456913.119609,-0.26,1.270458,0.6477,19536.0
98040,hip24284,j,rj197.321,2457061.844843,-4.13,1.591169,0.7345,16296.0
98041,hip24284,j,rj305.126,2458386.082986,-3.70,1.451549,0.6666,17645.0
98042,hip24284,j,rj351.599,2458796.998807,-5.24,1.525483,0.6921,15492.0
