Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
101811,hip52942a,j,rj05.185,2453397.990162,-395.98,2.035172,0.157,72235.0
101812,hip52942a,j,rj07.764,2453480.854606,-376.25,1.898192,0.1579,59620.0
101813,hip52942a,j,rj08.130,2453546.776516,-374.24,2.183718,0.157,55494.0
101814,hip52942a,j,rj09.109,2453570.742176,-374.84,2.72418,0.1579,26088.0
101815,hip52942a,j,rj13.269,2453693.145995,-374.69,2.139498,0.157,77743.0
101816,hip52942a,j,rj15.1297,2453749.934144,-386.19,2.500764,0.158,27833.0
101817,hip52942a,j,rj18.192,2453837.88066,-364.69,2.125986,0.157,34812.0
101818,hip52942a,j,rj18.193,2453837.888102,-360.77,3.505994,0.158,10903.0
101819,hip52942a,j,rj28.607,2454131.032257,-356.93,2.542447,0.159,37644.0
101820,hip52942a,j,rj67.1011,2454934.888263,-300.26,3.569113,0.159,9693.0
101821,hip52942a,j,rj72.706,2455016.755667,-288.98,2.752078,0.157,21898.0
101822,hip52942a,j,rj81.679,2455190.05538,-277.52,2.087408,0.157,43332.0
101823,hip52942a,j,rj81.1482,2455193.160928,-274.62,2.208545,0.156,43514.0
101824,hip52942a,j,rj91.121,2455342.863854,-264.07,2.575822,0.157,22312.0
101825,hip52942a,j,rj106.328,2455522.143581,-234.21,2.545287,0.157,44221.0
101826,hip52942a,j,rj124.286,2455734.779256,-196.61,2.333832,0.157,22474.0
101827,hip52942a,j,rj138.678,2455904.138912,-178.15,2.414068,0.157,44907.0
101828,hip52942a,j,rj150.693,2456076.768929,-153.39,2.655419,0.159,22732.0
101829,hip52942a,j,rj185.853,2456640.02376,40.13,3.499035,0.157,10292.0
101830,hip52942a,j,rj202.1770,2457215.742866,414.09,3.717838,0.1592,10384.0
101831,hip52942a,j,rj250.295,2457775.910939,5262.97,2.346859,0.1581,46527.0
101832,hip52942a,j,rj308.351,2458427.119229,-88.42,3.205462,0.1613,11992.0
101833,hip52942a,j,rj316.453,2458491.949222,-145.99,2.654107,0.1592,23072.0
