Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
100050,hip54532,k,rk38.244,2451552.09566,2.33,2.221338,-1,12996.0
100051,hip54532,k,rk39.313,2451582.929005,13.93,2.579729,-1,11837.0
100052,hip54532,k,rk40.115,2451679.848021,7.88,2.179485,-1,12332.0
100053,hip54532,k,rk48.233,2451973.962002,15.35,2.213238,-1,15672.0
100054,hip54532,k,rk51.261,2452007.927002,-7.61,2.59779,-1,16218.0
100055,hip54532,k,rk60.110,2452307.954606,-4.32,2.562459,-1,25000.0
100056,hip54532,k,rk70.109,2452652.051574,7.66,2.552095,-1,20902.0
100057,hip54532,k,rk72.66,2452711.842037,-10.63,2.422806,-1,20565.0
100058,hip54532,k,rk72.243,2452712.858044,-9.35,2.338215,-1,21350.0
100059,hip54532,k,rk81.804,2453017.171551,6.67,2.570627,-1,23544.0
