Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
103205,lhs462,k,rk41.248,2451704.969074,1.54,3.04584,-1,4776.0
103206,lhs462,k,rk51.301,2452008.097998,-5.19,4.067985,-1,4918.0
103207,lhs462,k,rk54.661,2452098.957975,-5.27,2.955462,-1,7157.0
103208,lhs462,k,rk56.251,2452162.814005,-1.40,3.917951,-1,5055.0
103209,lhs462,k,rk63.161,2452391.08265,-12.21,3.589066,-1,6388.0
103210,lhs462,k,rk64.181,2452446.949375,-9.51,5.03681,-1,5208.0
103211,lhs462,k,rk65.31,2452486.788171,-16.96,3.394582,-1,8252.0
103212,lhs462,k,rk65.250,2452487.864803,-4.05,3.96071,-1,7103.0
103213,lhs462,k,rk67.760,2452539.836667,-1.00,3.674937,-1,7040.0
103214,lhs462,k,rk74.257,2452804.9411,-5.06,3.647715,-1,8080.0
103215,lhs462,k,rk76.436,2452850.855278,-8.67,3.887886,-1,6460.0
103216,lhs462,k,rk86.78,2453180.01478,0.28,3.16679,-1,7877.0
