Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
99837,s122446,j,rj01.1017,2453240.833044,-6.79,1.160098,1.03,100374.0
99838,s122446,j,rj07.461,2453480.085313,-4.52,1.043764,1.07,58286.0
99839,s122446,j,rj08.1560,2453550.935602,-1.77,1.028569,1.08,73103.0
99840,s122446,j,rj11.158,2453602.871817,4.21,1.099812,1.2,76587.0
99841,s122446,j,rj19.582,2453926.941655,-2.16,1.155293,1.14,50011.0
99842,s122446,j,rj23.1468,2453984.808079,2.19,1.033207,1.33,70165.0
99843,s122446,j,rj55.100,2454633.894016,-1.90,1.250636,1.17,50880.0
99844,s122446,j,rj55.524,2454635.911829,2.27,1.06584,1.28,51865.0
99845,s122446,j,rj55.747,2454637.04581,0.76,1.168048,1.21,49272.0
99846,s122446,j,rj55.934,2454637.924074,4.28,1.119359,1.21,52225.0
99847,s122446,j,rj55.1229,2454638.96581,3.06,1.154382,1.28,52489.0
99848,s122446,j,rj55.1438,2454639.961319,-0.07,1.17254,1.39,51426.0
99849,s122446,j,rj55.1605,2454640.947176,-0.19,1.357942,1.31,28528.0
99850,s122446,j,rj55.1809,2454641.929259,0.85,1.154063,1.32,51203.0
99851,s122446,j,rj56.438,2454667.877836,2.79,1.248347,1.19,75339.0
99852,s122446,j,rj56.1340,2454672.897199,-1.35,1.043098,1.3,81345.0
99853,s122446,j,rj56.1341,2454672.904641,-0.16,1.107749,1.3,79741.0
99854,s122446,j,rj56.1646,2454673.935671,-0.64,1.281662,1.3,83186.0
99855,s122446,j,rj58.93,2454688.836678,-4.26,1.124128,1.23,51112.0
99856,s122446,j,rj58.404,2454689.891725,-5.42,1.158802,1.3,52320.0
99857,s122446,j,rj801.141,2454702.887016,-4.79,1.256027,1.269,47229.0
99858,s122446,j,rj802.131,2454703.847678,0.81,1.082622,1.287,60265.0
99859,s122446,j,rj802.132,2454703.855629,-0.05,1.119703,1.294,62849.0
99860,s122446,j,rj803.135,2454704.867919,0.49,1.098641,1.297,57408.0
99861,s122446,j,rj803.136,2454704.875499,-2.71,1.221526,1.283,50805.0
99862,s122446,j,rj59.1573,2454722.753079,-5.33,1.206915,1.23,51010.0
99863,s122446,j,rj820.153,2455021.975703,0.86,1.105049,1.201,61592.0
99864,s122446,j,rj820.154,2455021.983342,2.91,1.191562,1.219,64050.0
99865,s122446,j,rj821.144,2455022.934822,-0.73,1.178643,1.188,42883.0
99866,s122446,j,rj821.145,2455022.943283,-1.48,1.319542,1.177,30328.0
99867,s122446,j,rj823.156,2455024.982241,-2.96,1.092979,1.174,82560.0
99868,s122446,j,rj823.157,2455024.98959,-5.35,1.008493,1.172,81533.0
99869,s122446,j,rj825.143,2455049.902836,-4.75,1.067551,0.0,72088.0
99870,s122446,j,rj825.146,2455049.916758,-6.09,1.113284,0.0,67074.0
99871,s122446,j,rj826.132,2455050.869077,-4.42,0.993049,1.234,67875.0
99872,s122446,j,rj826.133,2455050.87535,-4.48,0.979482,1.245,63478.0
99873,s122446,j,rj827.149,2455051.922719,-3.75,1.032162,1.25,66035.0
99874,s122446,j,rj827.150,2455051.929049,-5.29,1.063839,1.245,63196.0
99875,s122446,j,rj828.158,2455052.934418,-5.36,1.085865,1.199,67830.0
99876,s122446,j,rj828.159,2455052.941883,-6.03,1.164278,1.209,55305.0
99877,s122446,j,rj839.190,2455259.132717,6.09,1.073714,1.32,77999.0
99878,s122446,j,rj845.163,2455341.103741,-0.25,1.60169,1.273,28522.0
99879,s122446,j,rj847.200,2455370.078399,0.61,1.135483,1.414,58261.0
99880,s122446,j,rj847.201,2455370.085794,0.64,1.19872,1.401,55840.0
99881,s122446,j,rj850.7,2455407.985745,-0.75,1.367848,1.418,45246.0
99882,s122446,j,rj850.8,2455407.993024,-0.51,1.284059,1.418,46179.0
99883,s122446,j,rj852.148,2455409.929732,0.24,1.087935,1.341,71712.0
99884,s122446,j,rj852.149,2455409.937173,3.19,1.246835,1.345,68548.0
99885,s122446,j,rj853.135,2455462.781282,4.55,1.090861,1.348,60380.0
99886,s122446,j,rj853.136,2455462.788724,3.50,1.11263,1.359,65614.0
99887,s122446,j,rj116.1003,2455637.127383,7.38,1.189058,1.46,50075.0
99888,s122446,j,rj137.404,2455879.717317,3.96,1.426038,1.58,32891.0
99889,s122446,j,rj232.71,2457577.796364,1.59,1.38327,1.191,27629.0
99890,s122446,j,rj348.60,2458776.709204,-4.63,0.995102,1.239,50386.0
