Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
99891,s130811,k,rk9.87,2450461.850718,-0.14,1.329879,-1,51024.0
99892,s130811,k,rk15.220,2450716.116991,4.26,1.318239,-1,81201.0
99893,s130811,k,rk17.31,2450805.782257,2.26,1.253298,-1,49201.0
99894,s130811,k,rk18.53,2450837.852604,8.19,1.360696,-1,54502.0
99895,s130811,k,rk18.183,2450838.796134,9.83,1.242553,-1,57903.0
99896,s130811,k,rk19.17,2450861.719745,8.17,1.105558,-1,65831.0
99897,s130811,k,rk19.127,2450862.712465,7.46,1.367281,-1,40571.0
99898,s130811,k,rk24.105,2451051.068843,8.47,1.264761,-1,67649.0
99899,s130811,k,rk25.86,2451069.018032,4.61,1.225767,-1,70421.0
99900,s130811,k,rk25.643,2451073.09037,3.93,1.408331,-1,51581.0
99901,s130811,k,rk27.192,2451171.811516,6.71,1.309625,-1,73507.0
99902,s130811,k,rk33.276,2451411.096979,8.06,1.407245,-1,45321.0
99903,s130811,k,rk38.55,2451550.831481,-2.89,1.48862,-1,59547.0
99904,s130811,k,rk46.59,2451882.844039,1.92,1.447617,-1,60073.0
99905,s130811,k,rk59.46,2452235.802234,-2.99,1.481312,-1,56584.0
99906,s130811,k,rk66.316,2452516.109606,-7.73,1.571821,-1,95933.0
99907,s130811,k,rk68.671,2452575.957697,8.83,2.035282,-1,34445.0
99908,s130811,k,rk78.101,2452897.990891,-0.78,1.247495,-1,118654.0
