Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
102020,111484a,k,rk21.162,2450983.778484,353.51,2.153229,-1,56404.0
102021,111484a,k,rk28.18,2451200.083079,329.74,2.351757,-1,67235.0
102022,111484a,k,rk30.45,2451310.916146,359.70,2.594153,-1,86217.0
102023,111484a,k,rk32.446,2451370.80235,353.66,3.64516,-1,24061.0
102024,111484a,k,rk38.253,2451552.14978,308.36,2.505644,-1,68771.0
102025,111484a,k,rk38.378,2451553.110069,320.53,2.867992,-1,46196.0
102026,111484a,k,rk39.655,2451586.017222,276.61,2.409874,-1,76195.0
102027,111484a,k,rk41.225,2451704.868067,295.18,2.278509,-1,69766.0
102028,111484a,k,rk48.263,2451974.116065,272.38,2.891026,-1,43894.0
102029,111484a,k,rk48.387,2451975.131933,259.00,2.478892,-1,61853.0
102030,111484a,k,rk49.53,2451982.078704,272.23,2.67993,-1,56921.0
102031,111484a,k,rk51.270,2452007.964259,257.14,2.554112,-1,77966.0
102032,111484a,k,rk54.220,2452095.75941,257.02,2.331336,-1,83470.0
102033,111484a,k,rk54.423,2452097.761563,256.82,2.361355,-1,82866.0
102034,111484a,k,rk64.38,2452445.794491,203.76,2.224359,-1,102386.0
102035,111484a,k,rk71.55,2452681.150856,186.10,2.303251,-1,89235.0
102036,111484a,k,rk72.277,2452713.023044,217.03,2.776167,-1,87351.0
102037,111484a,k,rk75.39,2452828.816042,209.17,2.432464,-1,100173.0
102038,111484a,k,rk84.110,2453071.922245,163.31,2.62291,-1,96159.0
