Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
6289,115404a,j,rj01.1000,2453240.761898,-59.49,1.192772,0.48,123635.0
6290,115404a,j,rj05.652,2453399.094792,-38.33,1.045943,0.454,99518.0
6291,115404a,j,rj07.1065,2453483.917234,-51.74,1.054908,0.475,96126.0
6292,115404a,j,rj18.665,2453841.911771,-54.43,1.183908,0.473,81736.0
6293,115404a,j,rj85.171,2455255.888777,-20.74,1.086289,0.461,49651.0
6294,115404a,j,rj844.162,2455339.891354,-14.59,1.189927,0.4746,79357.0
6295,115404a,j,rj146.509,2455993.014256,-10.71,1.299892,0.458,46556.0
6296,115404a,j,rj146.510,2455993.018075,-13.57,1.315002,0.459,47030.0
6297,115404a,j,rj146.511,2455993.021559,-10.54,1.276821,0.462,46917.0
6298,115404a,j,rj153.1096,2456114.798615,-11.49,1.450252,0.478,25826.0
6299,115404a,j,rj189.2464,2456855.746127,8.32,1.3144,0.4846,24633.0
6300,115404a,j,rj211.263,2457265.715103,6.46,1.382963,0.4823,36069.0
6301,115404a,j,rj222.535,2457414.054407,16.38,1.239764,0.4847,30146.0
6302,115404a,j,rj222.740,2457415.06639,4.97,1.347067,0.4761,30214.0
6303,115404a,j,rj224.164,2457423.132109,17.68,1.249062,0.4739,29332.0
6304,115404a,j,rj233.663,2457582.739654,14.11,1.311522,0.4726,25695.0
6305,115404a,j,rj249.325,2457765.084668,17.50,1.358272,0.473,25345.0
6306,115404a,j,rj249.527,2457766.162312,14.62,1.390438,0.4801,27291.0
6307,115404a,j,rj250.318,2457776.088276,31.50,1.351616,0.4756,25816.0
6308,115404a,j,rj251.299,2457789.009923,18.42,1.300664,0.4882,25726.0
6309,115404a,j,rj251.505,2457790.036633,6.15,1.28015,0.4906,25712.0
6310,115404a,j,rj251.703,2457791.035736,-5.12,1.399511,0.4916,24891.0
6311,115404a,j,rj251.967,2457793.059588,2.56,1.417685,0.469,25892.0
6312,115404a,j,rj251.1180,2457795.073193,15.91,1.331818,0.4742,26667.0
6313,115404a,j,rj269.68,2457993.737277,29.72,1.305212,0.4639,49946.0
6314,115404a,j,rj270.75,2457999.727671,26.20,1.546054,0.4921,22251.0
6315,115404a,j,rj332.166,2458633.737893,32.82,1.42605,0.4627,26091.0
