Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
13929,132142,j,rj01.365,2453238.798056,0.08,1.01849,0.179,115042.0
13930,132142,j,rj06.702,2453427.032616,4.09,0.979067,0.179,95804.0
13931,132142,j,rj06.703,2453427.035301,3.93,1.020783,0.179,94796.0
13932,132142,j,rj08.563,2453547.859468,-2.02,0.848186,0.179,158164.0
13933,132142,j,rj08.564,2453547.863449,-0.48,0.840457,0.179,151488.0
13934,132142,j,rj17.169,2453807.029375,-0.57,1.118666,0.179,70196.0
13935,132142,j,rj17.170,2453807.035961,0.32,1.50045,0.179,24484.0
13936,132142,j,rj21.829,2453961.798796,-3.54,0.999337,0.18,92065.0
13937,132142,j,rj21.830,2453961.801817,-2.26,0.909035,0.18,91790.0
13938,132142,j,rj55.321,2454634.921794,-0.95,1.048604,0.179,44988.0
13939,132142,j,rj59.664,2454719.722488,2.08,1.261436,0.179,45494.0
13940,132142,j,rj66.408,2454866.124025,-0.44,1.459195,0.177,22585.0
13941,132142,j,rj66.409,2454866.13009,-0.71,1.373751,0.178,22427.0
13942,132142,j,rj67.718,2454929.922897,20.36,3.023177,0.177,8754.0
13943,132142,j,rj69.202,2454964.070061,-3.38,1.054335,0.18,45225.0
13944,132142,j,rj70.193,2454983.967791,-0.38,1.095644,0.179,44892.0
13945,132142,j,rj70.730,2454985.901919,-2.23,1.111634,0.179,44949.0
13946,132142,j,rj70.988,2454986.83745,0.08,1.017115,0.179,45214.0
13947,132142,j,rj70.1231,2454987.97177,-0.69,1.087074,0.18,45516.0
13948,132142,j,rj70.1420,2454988.882267,-0.79,1.052316,0.178,45228.0
13949,132142,j,rj72.123,2455014.856254,-2.44,1.112787,0.179,46075.0
13950,132142,j,rj72.421,2455015.862392,-3.24,1.144019,0.179,46527.0
13951,132142,j,rj72.806,2455016.978896,-2.22,1.014719,0.178,46645.0
13952,132142,j,rj74.72,2455041.822752,-0.15,1.070294,0.179,45684.0
13953,132142,j,rj74.498,2455043.885293,-1.37,1.218651,0.178,46432.0
13954,132142,j,rj75.102,2455048.833383,-2.44,1.22209,0.179,46879.0
13955,132142,j,rj89.112,2455311.826679,-0.02,1.298697,0.164,44881.0
13956,132142,j,rj89.353,2455312.907294,-2.96,1.191857,0.179,47634.0
13957,132142,j,rj91.309,2455343.861553,-3.76,1.052851,0.178,47505.0
13958,132142,j,rj91.509,2455344.889768,-2.03,1.052073,0.178,47826.0
13959,132142,j,rj116.980,2455637.068337,4.33,1.171991,0.179,47495.0
13960,132142,j,rj866.193,2455637.956471,0.75,1.140164,0.1803,75224.0
13961,132142,j,rj120.881,2455706.779228,-3.71,1.039241,0.179,47049.0
13962,132142,j,rj148.129,2456018.927492,2.89,1.225474,0.179,47741.0
13963,132142,j,rj158.882,2456175.724626,-1.71,1.188995,0.175,45597.0
13964,132142,j,rj159.71,2456192.711159,1.91,1.209647,0.179,47821.0
13965,132142,j,rj159.469,2456194.708546,-1.91,1.271835,0.178,46745.0
13966,132142,j,rj159.883,2456196.704536,0.74,1.295731,0.177,46841.0
13967,132142,j,rj165.134,2456319.047769,0.68,1.259823,0.177,48498.0
13968,132142,j,rj172.1082,2456476.771054,-5.18,1.199234,0.18,47644.0
13969,132142,j,rj173.571,2456485.742382,-1.79,1.01184,0.177,46964.0
13970,132142,j,rj176.65,2456506.730182,-2.97,1.003645,0.179,46859.0
13971,132142,j,rj177.269,2456513.747084,-3.82,1.070517,0.18,47502.0
13972,132142,j,rj194.1467,2456913.714459,3.58,1.207341,0.1789,47417.0
13973,132142,j,rj238.83,2457620.855636,-0.92,1.156605,0.1797,48561.0
13974,132142,j,rj259.475,2457934.76573,-3.23,1.123573,0.1802,49835.0
13975,132142,j,rj284.106,2458161.178689,3.67,1.246162,0.1785,47361.0
13976,132142,j,rj305.364,2458386.701369,6.59,1.262594,0.1785,48211.0
13977,132142,j,rj317.172,2458509.105223,1.96,1.132579,0.1793,50111.0
13978,132142,j,rj317.407,2458510.088386,1.93,1.234322,0.1789,48258.0
13979,132142,j,rj319.173,2458533.147784,2.47,1.236164,0.1814,49282.0
13980,132142,j,rj333.867,2458648.781464,-2.75,0.99539,0.1798,47546.0
13981,132142,j,rj333.868,2458648.782981,-4.50,1.129983,0.1792,47979.0
13982,132142,j,rj333.869,2458648.784462,-1.24,1.027436,0.18,48293.0
13983,132142,j,rj365.551,2458906.171402,2.18,1.281546,0.1789,48256.0
