Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
14712,135101a,apf,raea.231,2456790.01579,0.24,3.42979,-1,9301.0
14713,135101a,apf,raee.215,2456800.960086,5.42,2.993197,-1,10753.0
14714,135101a,apf,rahn.239,2457016.030972,-5.13,2.899537,-1,11721.0
14715,135101a,apf,raho.244,2457027.110094,3.00,2.511159,-1,18135.0
14716,135101a,apf,rahp.235,2457028.990675,-4.53,2.451984,-1,15815.0
14717,135101a,apf,rahs.216,2457036.100493,0.16,4.05465,-1,3638.0
14718,135101a,apf,rahs.217,2457036.1051,-1.08,4.181248,-1,3578.0
14719,135101a,apf,rahx.231,2457046.950312,-4.60,3.349658,-1,7134.0
14720,135101a,apf,rahx.232,2457046.958218,-2.34,3.143977,-1,8318.0
14721,135101a,apf,rahx.233,2457046.965556,-4.42,3.110854,-1,7479.0
14722,135101a,apf,rahx.255,2457047.061062,-4.68,2.710346,-1,10015.0
14723,135101a,apf,rahx.256,2457047.067683,-6.77,2.581561,-1,11334.0
14724,135101a,apf,rahx.257,2457047.074165,-6.72,2.793265,-1,11471.0
14725,135101a,apf,raic.244,2457055.086568,-5.43,2.232561,-1,18011.0
14726,135101a,apf,raio.265,2457125.918706,-2.06,3.365747,-1,6294.0
14727,135101a,apf,raio.266,2457125.920385,-2.78,3.302673,-1,6064.0
14728,135101a,apf,raio.267,2457125.922086,-2.23,3.008747,-1,6228.0
14729,135101a,apf,raip.241,2457127.853762,-1.65,2.410965,-1,13077.0
14730,135101a,apf,raip.244,2457127.905904,-5.38,2.5662,-1,13499.0
14731,135101a,apf,rair.262,2457133.033553,-1.05,2.774251,-1,10755.0
14732,135101a,apf,rait.214,2457135.884977,1.96,3.239388,-1,7497.0
14733,135101a,apf,rait.215,2457135.88691,-4.77,3.579536,-1,6625.0
14734,135101a,apf,rait.216,2457135.888646,-0.82,3.574394,-1,6038.0
14735,135101a,apf,raiv.214,2457138.83955,-6.63,2.443993,-1,13160.0
14736,135101a,apf,raix.259,2457142.895826,-3.66,3.458402,-1,6456.0
14737,135101a,apf,raix.260,2457142.89747,-0.98,3.069875,-1,6342.0
14738,135101a,apf,raix.261,2457142.899056,-3.24,3.383676,-1,6547.0
14739,135101a,apf,raiz.259,2457145.885753,-2.93,3.151692,-1,6639.0
14740,135101a,apf,raiz.260,2457145.887327,-4.36,2.826916,-1,6951.0
14741,135101a,apf,raiz.261,2457145.888867,-11.20,3.194943,-1,6728.0
14742,135101a,apf,rajc.238,2457153.874758,-1.65,3.748042,-1,5685.0
14743,135101a,apf,rajc.239,2457153.876517,4.49,3.650842,-1,5791.0
14744,135101a,apf,rajc.240,2457153.878462,2.71,3.649015,-1,5478.0
14745,135101a,apf,raji.216,2457165.827864,2.24,3.383416,-1,6061.0
14746,135101a,apf,raji.217,2457165.829554,5.72,3.480543,-1,6156.0
14747,135101a,apf,raji.218,2457165.83129,1.47,3.370339,-1,6123.0
14748,135101a,apf,rajj.232,2457168.78541,2.05,2.796033,-1,11137.0
14749,135101a,apf,rajj.233,2457168.787377,-0.62,2.789585,-1,11081.0
14750,135101a,apf,rajj.234,2457168.789322,1.47,2.583754,-1,11232.0
14751,135101a,apf,raug.343,2457742.103258,3.96,2.513788,-1,18433.0
14752,135101a,apf,ravz.255,2457823.955687,-4.10,2.493128,-1,16738.0
14753,135101a,apf,rawm.249,2457847.864311,1.32,2.776365,-1,15396.0
14754,135101a,apf,rawq.268,2457854.035382,-7.95,2.57077,-1,15246.0
14755,135101a,apf,rawt.251,2457859.005002,-3.91,2.938434,-1,10659.0
14756,135101a,apf,raxe.215,2457875.782815,-3.99,2.838687,-1,13228.0
14757,135101a,apf,raxh.207,2457881.763911,-5.45,2.784996,-1,12087.0
14758,135101a,apf,raxr.188,2457900.776459,8.99,2.734208,-1,13222.0
14759,135101a,apf,raxt.211,2457903.742877,11.82,2.637511,-1,15344.0
14760,135101a,apf,rbct.217,2458161.046387,5.80,2.419772,-1,16496.0
14761,135101a,apf,rbcv.256,2458165.938949,6.51,2.353696,-1,16848.0
14762,135101a,apf,rbdp.255,2458204.891215,6.97,2.774377,-1,12181.0
14763,135101a,apf,rbki.235,2458558.014904,2.72,2.463525,-1,18373.0
