Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
14764,13612b,k,rk7.200,2450367.081713,-9.25,1.152186,-1,160703.0
14765,13612b,k,rk15.125,2450715.089699,-9.03,1.251644,-1,147105.0
14766,13612b,k,rk16.233,2450786.815417,-6.59,2.962218,-1,8818.0
14767,13612b,k,rk18.158,2450838.718137,-15.55,2.047171,-1,16295.0
14768,13612b,k,rk22.216,2451012.097095,-15.45,1.919238,-1,19188.0
14769,13612b,k,rk25.478,2451072.020787,-0.05,1.285966,-1,73445.0
14770,13612b,k,rk25.596,2451072.956331,-10.88,1.240764,-1,81145.0
14771,13612b,k,rk27.334,2451172.760463,-6.53,1.378098,-1,52403.0
14772,13612b,k,rk29.18,2451226.721493,-4.55,1.14327,-1,120146.0
14773,13612b,k,rk29.143,2451227.722234,-2.86,1.090923,-1,128116.0
14774,13612b,k,rk29.264,2451228.710347,-9.02,1.079098,-1,162168.0
14775,13612b,k,rk32.1120,2451374.11316,-7.33,1.292854,-1,65004.0
14776,13612b,k,rk33.430,2451412.094792,-9.87,1.383378,-1,78344.0
14777,13612b,k,rk38.42,2451550.78706,-5.88,1.230555,-1,83139.0
14778,13612b,k,rk47.358,2451899.922558,-5.08,1.627783,-1,25331.0
14779,13612b,k,rk55.583,2452134.05213,-10.95,1.412666,-1,103100.0
14780,13612b,k,rk59.541,2452242.810012,-5.96,1.33316,-1,104167.0
14781,13612b,k,rk65.436,2452489.099815,-13.38,1.252849,-1,93422.0
14782,13612b,k,rk68.261,2452573.915301,-12.54,1.335394,-1,95958.0
14783,13612b,k,rk69.84,2452600.929942,-9.44,1.268359,-1,99807.0
14784,13612b,k,rk77.31,2452854.056887,-8.32,1.323571,-1,95936.0
14785,13612b,k,rk80.41,2452987.824769,-15.86,2.296736,-1,31084.0
