Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
22640,146362b,k,rk11.67,2450546.11735,-90.55,1.4833,-1,252447.0
22641,146362b,k,rk12.325,2450605.916539,-73.58,1.442333,-1,220131.0
22642,146362b,k,rk19.99,2450862.143924,-87.58,1.310897,-1,163190.0
22643,146362b,k,rk20.188,2450956.044838,-86.68,1.400909,-1,183404.0
22644,146362b,k,rk22.35,2451009.887523,-79.42,1.471637,-1,95704.0
22645,146362b,k,rk22.400,2451013.860394,-80.61,1.397772,-1,107135.0
22646,146362b,k,rk29.111,2451227.147083,-55.56,1.461944,-1,180047.0
22647,146362b,k,rk29.346,2451229.137535,-60.51,1.37079,-1,174803.0
22648,146362b,k,rk30.243,2451312.97853,-67.68,1.580436,-1,143943.0
22649,146362b,k,rk31.236,2451342.903762,-67.09,1.416952,-1,89532.0
22650,146362b,k,rk32.297,2451369.86213,-61.04,1.546752,-1,83662.0
22651,146362b,k,rk33.323,2451411.780671,-67.41,1.590917,-1,75865.0
22652,146362b,k,rk40.141,2451679.960602,-64.97,1.575008,-1,93115.0
22653,146362b,k,rk50.39,2452003.060162,-63.06,1.912878,-1,51899.0
22654,146362b,k,rk54.651,2452098.907396,-48.67,1.657371,-1,85018.0
22655,146362b,k,rk63.68,2452390.061632,-38.10,2.255676,-1,85672.0
22656,146362b,k,rk67.420,2452537.717188,-81.56,1.454672,-1,98780.0
22657,146362b,k,rk72.290,2452713.069167,-69.00,1.560903,-1,89580.0
22658,146362b,k,rk73.94,2452776.988345,-61.06,1.711408,-1,103385.0
22659,146362b,k,rk75.651,2452833.876516,-40.51,1.620232,-1,97883.0
22660,146362b,k,rk86.65,2453179.959664,-38.66,1.586878,-1,99354.0
