Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
22661,146362b,j,rj06.1162,2453428.150729,-54.94,1.087119,0.226,93169.0
22662,146362b,j,rj18.228,2453838.06669,-39.44,1.319192,0.215,76642.0
22663,146362b,j,rj18.229,2453838.068472,-41.30,1.285303,0.214,77172.0
22664,146362b,j,rj18.230,2453838.07,-41.70,1.259035,0.215,76468.0
22665,146362b,j,rj20.874,2453932.892025,-19.93,1.086992,0.244,88025.0
22666,146362b,j,rj20.875,2453932.893252,-21.58,1.116233,0.243,88679.0
22667,146362b,j,rj20.876,2453932.894387,-21.84,1.114809,0.244,89625.0
22668,146362b,j,rj21.433,2453960.863993,-15.68,1.359512,0.233,90068.0
22669,146362b,j,rj21.434,2453960.865197,-14.14,1.141015,0.232,91213.0
22670,146362b,j,rj21.435,2453960.866366,-13.44,1.133903,0.233,90898.0
22671,146362b,j,rj21.831,2453961.804433,-11.81,1.178153,0.233,89753.0
22672,146362b,j,rj21.832,2453961.805544,-12.23,1.218648,0.232,90104.0
22673,146362b,j,rj21.833,2453961.806655,-12.92,1.088659,0.232,90213.0
22674,146362b,j,rj52.975,2454547.105961,-23.91,1.344365,0.241,71336.0
22675,146362b,j,rj55.716,2454636.92463,-12.21,1.461212,0.254,43755.0
22676,146362b,j,rj58.398,2454689.876933,-10.13,1.429492,0.252,43471.0
22677,146362b,j,rj59.59,2454717.713449,8.93,1.250446,0.255,44275.0
22678,146362b,j,rj59.357,2454718.715231,4.12,1.228882,0.255,42838.0
22679,146362b,j,rj59.662,2454719.718727,-11.69,1.202104,0.25,44244.0
22680,146362b,j,rj59.963,2454720.717245,-24.51,1.323925,0.247,44036.0
22681,146362b,j,rj59.1261,2454721.716539,-19.57,1.198817,0.245,44233.0
22682,146362b,j,rj59.1558,2454722.711169,-18.24,1.256695,0.245,43691.0
22683,146362b,j,rj59.1857,2454723.712697,-14.42,1.24374,0.246,45472.0
22684,146362b,j,rj59.2167,2454724.716979,-15.98,1.301814,0.245,44200.0
22685,146362b,j,rj60.66,2454725.738958,-15.90,1.24332,0.245,44792.0
22686,146362b,j,rj60.495,2454726.788819,-9.93,1.134365,0.245,43257.0
22687,146362b,j,rj60.740,2454727.804109,-3.96,1.204872,0.245,44914.0
22688,146362b,j,rj64.231,2454839.169664,-3.88,1.457369,0.247,45396.0
22689,146362b,j,rj66.202,2454865.151617,-11.95,1.371774,0.238,42990.0
22690,146362b,j,rj67.291,2454927.940986,-7.65,1.743012,0.233,28214.0
22691,146362b,j,rj70.173,2454983.908177,-21.95,1.370128,0.221,46058.0
22692,146362b,j,rj70.445,2454984.950808,-13.17,1.358509,0.224,44915.0
22693,146362b,j,rj70.735,2454985.91058,-18.61,1.364072,0.224,44450.0
22694,146362b,j,rj70.1212,2454987.909935,-12.95,1.481799,0.226,45996.0
22695,146362b,j,rj70.1422,2454988.889577,-7.99,1.40026,0.228,45200.0
22696,146362b,j,rj72.425,2455015.869853,-17.59,1.26641,0.229,45633.0
22697,146362b,j,rj83.1017,2455232.101913,-0.34,1.414042,0.252,47304.0
22698,146362b,j,rj104.65,2455489.699466,-11.84,1.470987,0.251,45124.0
22699,146362b,j,rj873.148,2455720.951113,-18.87,1.373006,0.2308,73134.0
22700,146362b,j,rj873.149,2455720.952757,-19.40,1.283929,0.2308,72904.0
22701,146362b,j,rj873.150,2455720.954366,-19.64,1.328428,0.2316,72914.0
22702,146362b,j,rj873.151,2455720.955893,-18.82,1.314424,0.2313,72762.0
22703,146362b,j,rj874.134,2455721.918728,-16.99,1.322232,0.2306,74334.0
22704,146362b,j,rj121.117,2455722.848391,-11.08,1.29931,0.23,45819.0
22705,146362b,j,rj131.268,2455807.719387,11.43,1.193373,0.247,45641.0
22706,146362b,j,rj131.481,2455808.771379,15.83,1.379824,0.254,46800.0
22707,146362b,j,rj877.130,2455824.808026,12.74,1.157894,0.2511,74485.0
22708,146362b,j,rj877.131,2455824.809634,11.58,1.109415,0.2512,74552.0
22709,146362b,j,rj877.132,2455824.811382,13.66,1.166439,0.2501,74673.0
22710,146362b,j,rj877.133,2455824.813176,12.07,1.131307,0.2495,75365.0
22711,146362b,j,rj880.125,2455840.770981,6.55,1.186783,0.2434,74180.0
22712,146362b,j,rj880.126,2455840.772358,6.08,1.268154,0.2432,75004.0
22713,146362b,j,rj880.127,2455840.773677,7.19,1.233175,0.2427,75279.0
22714,146362b,j,rj880.128,2455840.775066,4.83,1.189656,0.243,75886.0
22715,146362b,j,rj887.212,2455971.111654,8.42,1.119652,0.2346,73108.0
22716,146362b,j,rj887.213,2455971.112881,6.43,1.278768,0.2354,72339.0
22717,146362b,j,rj887.214,2455971.114096,9.34,1.177482,0.2353,74187.0
22718,146362b,j,rj887.215,2455971.115207,7.73,1.271197,0.2345,72743.0
22719,146362b,j,rj148.137,2456018.945883,0.25,1.520371,0.235,45826.0
22720,146362b,j,rj889.193,2456024.997835,6.62,1.318754,0.2363,72155.0
22721,146362b,j,rj889.194,2456024.9992,5.03,1.344133,0.2365,72470.0
22722,146362b,j,rj889.195,2456025.000485,6.34,1.305633,0.2362,72991.0
22723,146362b,j,rj889.196,2456025.001782,4.41,1.414828,0.2365,72413.0
22724,146362b,j,rj158.1267,2456178.712227,-1.33,1.251428,0.232,45284.0
22725,146362b,j,rj165.519,2456320.176845,-13.21,1.365677,0.242,46476.0
22726,146362b,j,rj166.126,2456326.179904,4.34,1.349263,0.346,42384.0
22727,146362b,j,rj166.622,2456328.184316,3.26,1.382179,0.244,47171.0
22728,146362b,j,rj172.861,2456475.740193,5.48,1.230952,0.259,48043.0
22729,146362b,j,rj189.865,2456846.746125,9.14,1.218034,0.2492,45493.0
22730,146362b,j,rj196.337,2457059.167353,30.00,1.323317,0.2637,47148.0
22731,146362b,j,rj208.264,2457245.731671,-0.41,1.323307,0.2468,45091.0
22732,146362b,j,rj225.115,2457440.181411,16.02,1.329254,0.2436,53438.0
22733,146362b,j,rj242.272,2457672.69542,31.83,1.333604,0.258,45485.0
22734,146362b,j,rj261.261,2457940.74417,42.24,1.331419,0.2521,45088.0
22735,146362b,j,rj299.489,2458346.835923,27.48,1.365691,0.2593,47383.0
22736,146362b,j,rj317.196,2458509.152462,62.14,1.384372,0.26,48116.0
22737,146362b,j,rj333.477,2458646.807749,44.73,1.263582,0.2394,49446.0
22738,146362b,j,rj333.915,2458648.872377,37.27,1.363231,0.2347,49270.0
22739,146362b,j,rj333.916,2458648.873187,40.61,1.30921,0.2356,48172.0
22740,146362b,j,rj333.917,2458648.873986,39.43,1.347822,0.2355,48024.0
22741,146362b,j,rj333.918,2458648.874773,38.06,1.350729,0.2343,48020.0
22742,146362b,j,rj333.919,2458648.875583,35.70,1.295102,0.235,47763.0
22743,146362b,j,rj333.920,2458648.876382,37.52,1.364573,0.2353,47564.0
22744,146362b,j,rj351.559,2458796.67865,39.37,1.599372,0.2378,45403.0
