Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
22847,147379b,j,rj06.1838,2453430.054306,-0.70,1.427012,1.31,15779.0
22848,147379b,j,rj18.714,2453842.050058,-5.35,1.310723,1.41,19264.0
22849,147379b,j,rj55.1454,2454640.005961,3.74,1.55136,1.48,9946.0
22850,147379b,j,rj67.331,2454928.132287,-1.87,1.685797,1.4,9878.0
22851,147379b,j,rj70.729,2454985.896657,1.56,0.9542,1.36,20686.0
22852,147379b,j,rj839.172,2455259.031788,-3.43,1.458344,1.324,14626.0
22853,147379b,j,rj839.173,2455259.040029,-3.57,1.634492,1.321,15481.0
22854,147379b,j,rj849.148,2455371.972152,2.22,0.930333,1.352,20237.0
22855,147379b,j,rj849.149,2455371.979675,1.41,1.046039,1.362,19557.0
22856,147379b,j,rj95.893,2455403.8416,-1.21,1.50039,1.29,10705.0
22857,147379b,j,rj870.200,2455665.061205,-5.00,1.263444,1.598,23126.0
22858,147379b,j,rj120.701,2455705.845286,3.70,0.914427,1.59,20535.0
22859,147379b,j,rj123.73,2455730.97222,5.97,1.03678,1.47,15847.0
22860,147379b,j,rj124.124,2455733.881385,7.36,1.121048,1.4,14941.0
22861,147379b,j,rj134.180,2455850.725376,-0.06,1.377114,1.42,17595.0
22862,147379b,j,rj146.326,2455992.029046,-0.48,1.673952,1.55,9699.0
22863,147379b,j,rj148.141,2456018.959158,1.73,1.624025,1.64,11209.0
22864,147379b,j,rj892.151,2456116.991627,-3.04,1.549977,1.392,8908.0
22865,147379b,j,rj892.152,2456116.998653,-3.59,1.494772,1.339,8023.0
22866,147379b,j,rj893.141,2456117.941509,-0.20,1.470341,1.405,9124.0
22867,147379b,j,rj893.142,2456117.949229,-0.81,1.507071,1.368,9871.0
22868,147379b,j,rj165.158,2456319.149272,-2.80,1.671111,1.42,11726.0
22869,147379b,j,rj902.219,2456330.16433,2.97,1.37368,1.502,20799.0
22870,147379b,j,rj905.184,2456433.985187,1.73,1.148452,1.37,20769.0
22871,147379b,j,rj905.185,2456433.992802,-1.34,0.966349,1.433,22517.0
22872,147379b,j,rj172.888,2456475.779999,1.25,0.99139,1.35,23072.0
22873,147379b,j,rj292.991,2458295.879344,-1.84,1.131215,1.317,15155.0
