Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
51500,21019a,j,rj01.759,2453240.095301,15.20,1.185883,0.151,115173.0
51501,21019a,j,rj05.914,2453399.722523,11.86,1.127633,0.151,96003.0
51502,21019a,j,rj23.663,2453983.074491,14.11,0.995464,0.151,93892.0
51503,21019a,j,rj131.117,2455807.032,-1.72,1.173186,0.15,48015.0
51504,21019a,j,rj182.143,2456584.958037,-3.35,1.50832,0.151,44593.0
51505,21019a,j,rj249.65,2457763.692057,3.60,1.493796,0.1518,25481.0
51506,21019a,j,rj253.70,2457828.71609,-1.87,1.745038,-1,25176.0
51507,21019a,j,rj267.117,2457984.141474,-10.53,1.193327,0.1493,46633.0
51508,21019a,j,rj270.124,2458000.002116,-12.05,1.547293,0.153,24050.0
51509,21019a,j,rj300.124,2458350.136423,0.89,1.594394,0.1517,25488.0
51510,21019a,j,rj305.417,2458387.050663,-17.18,1.552498,0.1528,24754.0
51511,21019a,j,rj306.326,2458396.940457,-3.90,1.874606,0.1529,24974.0
51512,21019a,j,rj317.386,2458509.75956,-14.78,1.557945,0.1534,24950.0
51513,21019a,j,rj363.474,2458880.756866,-11.85,1.550342,0.1526,23502.0
