Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
97628,hip114914,k,rk64.94,2452446.077789,-15.51,1.560457,-1,106514.0
97629,hip114914,k,rk65.292,2452488.053715,-13.32,1.588882,-1,86489.0
97630,hip114914,k,rk65.402,2452488.994479,-15.14,1.589191,-1,90810.0
97631,hip114914,k,rk66.61,2452514.881181,-14.02,1.901834,-1,97217.0
97632,hip114914,k,rk66.258,2452515.879051,-13.30,1.85723,-1,85670.0
97633,hip114914,k,rk67.56,2452535.822188,-17.40,1.675253,-1,86341.0
97634,hip114914,k,rk67.275,2452536.890336,-5.72,1.985174,-1,85034.0
97635,hip114914,k,rk67.462,2452537.917616,-17.12,2.069388,-1,85966.0
97636,hip114914,k,rk69.236,2452601.730451,-9.05,1.699341,-1,99931.0
97637,hip114914,k,rk70.49,2452651.797095,0.12,2.615747,-1,23970.0
97638,hip114914,k,rk74.304,2452805.115,-14.90,1.646575,-1,96574.0
97639,hip114914,k,rk76.474,2452851.08088,-14.24,1.579722,-1,105961.0
97640,hip114914,k,rk79.135,2452924.77963,-6.72,1.764769,-1,102851.0
97641,hip114914,k,rk88.306,2453197.034653,-7.95,1.721747,-1,85207.0
