Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
56990,220339,j,rj08.2037,2453552.058252,5.99,1.009472,0.272,100084.0
56991,220339,j,rj08.2038,2453552.060984,3.13,1.072229,0.273,99518.0
56992,220339,j,rj19.1046,2453928.075023,2.08,0.889496,0.252,95085.0
56993,220339,j,rj19.1047,2453928.077546,3.15,0.994942,0.254,94817.0
56994,220339,j,rj23.177,2453981.881493,-3.76,0.987715,0.252,94311.0
56995,220339,j,rj23.178,2453981.883773,-5.22,1.043514,0.252,95042.0
56996,220339,j,rj26.144,2454083.78397,-0.12,1.157932,0.256,73885.0
56997,220339,j,rj26.145,2454083.789352,0.40,1.136523,0.255,73434.0
56998,220339,j,rj45.186,2454343.952222,2.50,1.104868,0.242,73526.0
56999,220339,j,rj47.357,2454397.884144,-6.23,1.11042,0.243,72927.0
57000,220339,j,rj55.367,2454635.05912,3.34,1.112728,0.235,46368.0
57001,220339,j,rj58.143,2454688.989884,-5.03,1.067487,0.228,46536.0
57002,220339,j,rj58.456,2454690.056065,-4.23,1.131536,0.228,46151.0
57003,220339,j,rj59.112,2454717.894005,-5.83,1.162588,0.219,46496.0
57004,220339,j,rj59.436,2454718.95588,-3.16,1.041788,0.221,46471.0
57005,220339,j,rj59.747,2454719.959178,-4.62,1.085276,0.223,46094.0
57006,220339,j,rj59.1042,2454720.929803,-2.79,1.09866,0.225,46525.0
57007,220339,j,rj59.1354,2454721.938507,-4.32,1.23156,0.226,46056.0
57008,220339,j,rj59.1602,2454722.845324,-1.92,1.18289,0.226,47151.0
57009,220339,j,rj59.1935,2454723.962674,0.78,1.145896,0.229,46042.0
57010,220339,j,rj59.2230,2454724.912407,2.18,1.100056,0.227,44878.0
57011,220339,j,rj60.116,2454725.877836,2.57,1.271795,0.227,46392.0
57012,220339,j,rj60.543,2454726.98625,2.15,1.173165,0.232,46017.0
57013,220339,j,rj60.775,2454727.921192,-0.48,1.103569,0.226,46259.0
57014,220339,j,rj62.103,2454790.772674,-2.35,1.126933,0.228,47422.0
57015,220339,j,rj63.93,2454805.772766,-3.50,1.243716,0.226,46032.0
57016,220339,j,rj63.696,2454807.801169,-2.84,1.284909,0.224,46030.0
57017,220339,j,rj63.1016,2454808.839931,-1.12,1.160983,0.223,46460.0
57018,220339,j,rj64.81,2454838.775132,-0.12,1.103723,0.228,46698.0
57019,220339,j,rj70.230,2454984.09649,-3.24,1.223149,0.226,46286.0
57020,220339,j,rj70.509,2454985.115987,-0.53,1.159565,0.226,46840.0
57021,220339,j,rj70.805,2454986.116964,-1.23,1.149661,0.227,46545.0
57022,220339,j,rj70.1061,2454987.123589,-4.17,1.060162,0.227,47190.0
57023,220339,j,rj70.1262,2454988.121337,-2.27,1.189052,0.229,46852.0
57024,220339,j,rj70.1473,2454989.082229,-3.31,1.029898,0.226,47280.0
57025,220339,j,rj72.192,2455015.02486,-4.20,1.027675,0.225,46926.0
57026,220339,j,rj72.507,2455016.081481,-3.47,1.09982,0.226,47524.0
57027,220339,j,rj72.1087,2455019.083735,-3.85,1.107032,0.23,48039.0
57028,220339,j,rj78.447,2455134.936834,-6.11,1.352415,0.219,48424.0
57029,220339,j,rj80.812,2455172.866822,-0.18,1.171521,0.219,48320.0
57030,220339,j,rj97.157,2455426.070946,-2.00,1.08972,0.226,49118.0
57031,220339,j,rj97.719,2455429.061373,-3.23,1.105167,0.231,48767.0
57032,220339,j,rj128.523,2455770.982305,4.01,1.203456,0.256,47638.0
57033,220339,j,rj156.1382,2456151.137169,-6.52,1.152285,0.256,47619.0
57034,220339,j,rj180.175,2456530.13261,5.81,1.226818,0.238,50077.0
57035,220339,j,rj912.114,2456676.704621,-3.39,0.994469,0.2344,78655.0
57036,220339,j,rj912.115,2456676.707097,-7.32,1.153607,0.2341,78497.0
57037,220339,j,rj190.85,2456861.009365,-1.79,1.185183,0.2335,48681.0
57038,220339,j,rj204.977,2457234.128759,-3.85,1.258184,0.2277,48031.0
57039,220339,j,rj206.180,2457241.128528,-2.18,1.120854,0.2293,48296.0
57040,220339,j,rj234.1008,2457598.102127,0.96,1.127246,0.2741,50395.0
57041,220339,j,rj247.69,2457745.684269,-1.09,1.223983,0.2668,48036.0
57042,220339,j,rj248.262,2457760.696265,-5.64,1.175219,0.2552,49506.0
57043,220339,j,rj248.371,2457761.697301,-1.84,1.092836,0.2548,49009.0
57044,220339,j,rj256.386,2457909.130483,-1.05,1.144195,0.3051,46864.0
57045,220339,j,rj262.189,2457944.128434,0.09,1.097577,0.2759,47934.0
57046,220339,j,rj278.873,2458116.701564,1.15,1.220447,0.2833,49279.0
57047,220339,j,rj300.95,2458350.064915,-2.74,1.14954,0.2531,50827.0
57048,220339,j,rj305.1497,2458393.012934,-4.73,1.120057,0.2678,50741.0
57049,220339,j,rj316.365,2458491.697184,4.81,1.185548,0.2656,49718.0
57050,220339,j,rj333.527,2458647.124243,-2.13,1.053634,0.2515,48815.0
