Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
61573,26151,k,rk27.64,2451170.8839,5.20,1.117281,-1,82769.0
61574,26151,k,rk29.276,2451228.758576,7.64,1.013338,-1,78280.0
61575,26151,k,rk37.67,2451543.894687,6.63,1.442542,-1,44218.0
61576,26151,k,rk38.183,2451551.836644,7.82,1.207562,-1,66869.0
61577,26151,k,rk39.277,2451582.734225,2.98,1.065248,-1,93174.0
61578,26151,k,rk46.62,2451882.862141,9.76,1.004566,-1,80365.0
61579,26151,k,rk55.601,2452134.12544,7.28,1.260385,-1,96676.0
61580,26151,k,rk59.562,2452242.912523,-4.36,1.139334,-1,105736.0
61581,26151,k,rk66.313,2452516.092662,-8.52,1.217557,-1,100419.0
61582,26151,k,rk69.88,2452600.946007,-3.75,1.341018,-1,102151.0
61583,26151,k,rk78.118,2452898.070544,-4.22,1.246288,-1,108077.0
