Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
98043,hip30112,j,rj67.672,2454929.752582,3.06,1.313705,1.4,21573.0
98044,hip30112,j,rj79.74,2455163.921502,0.94,1.297302,1.48,31651.0
98045,hip30112,j,rj80.1204,2455174.084662,-5.26,1.268134,1.5,30726.0
98046,hip30112,j,rj81.152,2455187.9299,-11.78,1.284893,1.49,30512.0
98047,hip30112,j,rj81.883,2455190.918376,-8.65,1.173366,1.47,48367.0
98048,hip30112,j,rj82.207,2455197.016255,-15.80,1.117085,1.4,41703.0
98049,hip30112,j,rj83.374,2455229.935035,-3.39,1.172955,1.46,45986.0
98050,hip30112,j,rj86.204,2455260.947396,-15.20,1.703374,1.34,12340.0
98051,hip30112,j,rj86.370,2455261.894559,-13.42,1.330633,1.46,26285.0
98052,hip30112,j,rj100.1151,2455468.047001,1.65,1.170518,1.4,46170.0
98053,hip30112,j,rj111.77,2455556.057774,3.74,1.12448,1.48,39719.0
98054,hip30112,j,rj111.269,2455556.949743,6.46,1.037807,1.46,45334.0
98055,hip30112,j,rj113.156,2455584.949751,-4.45,1.145789,1.36,41686.0
98056,hip30112,j,rj114.262,2455606.959324,-5.38,1.204471,1.35,32252.0
98057,hip30112,j,rj116.920,2455636.829224,-1.58,1.113972,1.43,33094.0
98058,hip30112,j,rj133.453,2455843.132235,-7.86,1.248691,1.52,30243.0
98059,hip30112,j,rj138.658,2455904.083303,1.70,1.217827,1.52,30854.0
98060,hip30112,j,rj141.147,2455931.997375,7.89,1.059238,1.45,41758.0
98061,hip30112,j,rj142.163,2455945.019549,5.29,1.153545,1.47,38292.0
98062,hip30112,j,rj143.145,2455960.942333,3.62,1.282436,1.51,30800.0
98063,hip30112,j,rj144.201,2455967.856209,4.92,1.212415,1.44,36116.0
98064,hip30112,j,rj146.486,2455992.786771,5.62,1.182594,1.5,41022.0
98065,hip30112,j,rj148.98,2456018.786139,6.31,1.325643,1.55,23775.0
98066,hip30112,j,rj149.129,2456027.821982,3.52,1.080349,1.55,35751.0
98067,hip30112,j,rj186.189,2456674.842223,2.55,1.394556,1.437,26315.0
98068,hip30112,j,rj282.119,2458149.871044,-0.24,1.340425,1.243,26040.0
