Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
66190,34411,lick,rh24.15,2447048.9512,8.29,9.535518,-1,99127.0
66191,34411,lick,rh32.19,2447194.7479,-8.93,15.09706,-1,15923.0
66192,34411,lick,rh32.20,2447194.7537,-5.74,12.412266,-1,28611.0
66193,34411,lick,rh32.21,2447194.7578,-1.55,14.341038,-1,20430.0
66194,34411,lick,rh36.14,2447224.6292,2.78,9.723124,-1,22365.0
66195,34411,lick,rh36.15,2447224.6347,-0.80,9.550684,-1,32897.0
66196,34411,lick,rh36.16,2447224.6403,3.51,10.160699,-1,39316.0
66197,34411,lick,rh64.15,2447577.7842,4.20,7.845153,-1,60323.0
66198,34411,lick,rh64.16,2447577.7906,-1.36,7.435767,-1,103076.0
66199,34411,lick,rh79.42,2447847.0303,-2.89,8.653851,-1,67389.0
66200,34411,lick,rh81.12,2447918.759,18.55,12.607731,-1,20287.0
66201,34411,lick,rh84.17,2447964.6666,12.00,11.462237,-1,22441.0
66202,34411,lick,rh84.18,2447964.6778,1.67,9.175657,-1,35223.0
66203,34411,lick,ra01.10,2448199.9865,13.40,9.20592,-1,70283.0
66204,34411,lick,ra01.11,2448199.9933,24.61,9.407351,-1,82464.0
66205,34411,lick,ra01.12,2448199.9997,18.59,8.966809,-1,82649.0
66206,34411,lick,ra03.11,2448200.9635,1.80,10.434885,-1,108337.0
66207,34411,lick,ra03.12,2448200.9698,1.31,9.109314,-1,90820.0
66208,34411,lick,ra03.13,2448200.9767,9.34,9.669684,-1,102258.0
66209,34411,lick,ra03.19,2448201.0086,12.51,9.510914,-1,57636.0
66210,34411,lick,ra03.20,2448201.0147,8.13,9.395104,-1,65401.0
66211,34411,lick,ra03.21,2448201.0216,2.18,9.071132,-1,65828.0
66212,34411,lick,ra19.13,2448646.746,21.81,10.453955,-1,20616.0
66213,34411,lick,ra19.14,2448646.7609,3.36,8.385518,-1,105959.0
66214,34411,lick,ra19.15,2448646.7769,-11.40,8.309143,-1,53673.0
