Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
70098,38a,k,rk43.243,2451757.114456,-22.99,1.118944,-1,55259.0
70099,38a,k,rk47.331,2451899.800856,-24.43,1.599606,-1,56152.0
70100,38a,k,rk54.353,2452097.010775,-32.22,1.843502,-1,34725.0
70101,38a,k,rk56.171,2452161.915683,-34.51,1.713295,-1,91108.0
70102,38a,k,rk64.98,2452446.101505,-26.62,1.380568,-1,109306.0
70103,38a,k,rk65.96,2452487.080799,-12.49,1.409148,-1,100336.0
70104,38a,k,rk65.266,2452487.953681,-16.78,1.287292,-1,101982.0
70105,38a,k,rk65.399,2452488.982373,-14.09,1.334646,-1,108229.0
70106,38a,k,rk67.470,2452537.94735,-19.72,1.571295,-1,100018.0
70107,38a,k,rk68.448,2452574.847465,-18.06,1.929279,-1,66494.0
70108,38a,k,rk75.103,2452829.087465,-12.91,1.426413,-1,119719.0
70109,38a,k,rk77.121,2452855.076424,-10.20,1.611972,-1,36999.0
