Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
70348,40397,apf,racd.209,2456647.748774,31.12,3.342054,-1,8922.0
70349,40397,apf,racd.231,2456647.851517,25.75,3.070098,-1,11253.0
70350,40397,apf,racd.261,2456647.977269,35.22,2.976365,-1,11776.0
70351,40397,apf,racf.184,2456662.739653,32.90,2.637818,-1,10747.0
70352,40397,apf,racf.206,2456662.797024,26.04,2.763866,-1,10389.0
70353,40397,apf,raci.189,2456667.791669,36.05,2.881935,-1,12897.0
70354,40397,apf,raci.216,2456667.902904,35.81,2.776086,-1,12880.0
70355,40397,apf,raco.201,2456679.864275,31.37,3.191858,-1,7785.0
70356,40397,apf,racr.174,2456689.764311,33.40,2.768111,-1,13985.0
70357,40397,apf,racr.199,2456689.881248,31.82,2.580007,-1,12785.0
70358,40397,apf,rago.213,2456924.977088,14.48,2.162162,-1,28404.0
70359,40397,apf,ragx.230,2456949.950287,8.82,2.334696,-1,28400.0
70360,40397,apf,rahb.183,2456972.959283,10.69,2.163407,-1,31861.0
70361,40397,apf,rahg.243,2456985.8801,16.39,2.375656,-1,10651.0
70362,40397,apf,rahg.244,2456985.890552,13.74,2.824912,-1,9006.0
70363,40397,apf,rahg.245,2456985.901768,17.55,2.558511,-1,10868.0
70364,40397,apf,rahg.263,2456986.012444,15.96,2.885719,-1,7412.0
70365,40397,apf,rahg.264,2456986.023011,20.17,2.499706,-1,9905.0
70366,40397,apf,rahg.265,2456986.033521,24.87,2.987702,-1,8817.0
70367,40397,apf,rahp.224,2457028.886506,14.44,2.616812,-1,21202.0
70368,40397,apf,rahz.198,2457049.756738,16.84,3.583583,-1,5133.0
70369,40397,apf,raia.192,2457050.666226,13.97,2.577063,-1,15352.0
70370,40397,apf,raia.193,2457050.684408,13.80,2.705189,-1,15845.0
70371,40397,apf,raie.207,2457058.733873,13.21,2.171132,-1,22835.0
70372,40397,apf,ralc.270,2457257.01977,2.28,2.559817,-1,22358.0
70373,40397,apf,rald.331,2457259.028417,3.13,2.382154,-1,23961.0
70374,40397,apf,rale.344,2457261.027437,3.82,2.811343,-1,15412.0
70375,40397,apf,ralf.305,2457263.033996,4.89,2.790007,-1,14247.0
70376,40397,apf,ralg.313,2457265.992554,7.45,2.345909,-1,16194.0
70377,40397,apf,ralh.301,2457268.035151,9.76,2.88904,-1,10121.0
70378,40397,apf,rali.288,2457269.967359,12.98,2.577541,-1,13207.0
70379,40397,apf,ralj.298,2457272.034337,4.95,2.512988,-1,14499.0
70380,40397,apf,ralk.305,2457274.973497,7.23,2.834156,-1,10861.0
70381,40397,apf,ralq.307,2457287.003426,7.83,2.69728,-1,14659.0
70382,40397,apf,ralx.322,2457306.009924,2.53,2.480201,-1,15177.0
70383,40397,apf,raly.322,2457309.012904,3.02,2.477708,-1,19974.0
70384,40397,apf,ramc.280,2457318.991643,6.40,2.218305,-1,22951.0
70385,40397,apf,ramd.287,2457321.975083,-1.69,2.419358,-1,16300.0
70386,40397,apf,ramf.305,2457325.985809,-1.64,2.490903,-1,10761.0
70387,40397,apf,ramh.223,2457331.012756,9.62,2.815051,-1,10560.0
70388,40397,apf,rami.314,2457332.954211,1.67,2.64098,-1,13479.0
70389,40397,apf,ramj.308,2457334.918337,-1.56,2.62814,-1,24723.0
70390,40397,apf,raml.239,2457337.851218,9.75,3.28815,-1,5270.0
70391,40397,apf,raml.240,2457337.854332,1.97,4.011252,-1,4939.0
70392,40397,apf,raml.266,2457337.940251,1.20,3.23103,-1,6490.0
70393,40397,apf,raml.267,2457337.943191,0.06,3.398422,-1,5953.0
70394,40397,apf,raml.288,2457338.063534,7.40,3.847997,-1,3906.0
70395,40397,apf,raml.289,2457338.067099,11.38,3.935804,-1,4155.0
70396,40397,apf,ramm.303,2457340.906249,1.06,2.201277,-1,27522.0
70397,40397,apf,ramo.218,2457344.919834,4.37,3.406459,-1,7510.0
70398,40397,apf,ramo.260,2457345.080629,15.19,4.391764,-1,3746.0
70399,40397,apf,ramp.280,2457347.896328,10.39,2.124531,-1,16585.0
70400,40397,apf,ramp.281,2457347.904291,4.33,2.348115,-1,14895.0
70401,40397,apf,ramq.276,2457348.884311,5.08,2.37432,-1,14267.0
70402,40397,apf,ramu.243,2457354.805459,7.86,3.832355,-1,4626.0
70403,40397,apf,ramu.244,2457354.808642,9.68,3.515999,-1,5211.0
70404,40397,apf,ramu.274,2457354.935603,3.35,3.353576,-1,5767.0
70405,40397,apf,ramu.275,2457354.938543,1.10,3.49355,-1,6213.0
70406,40397,apf,ramv.129,2457356.910345,-0.17,2.899261,-1,10074.0
70407,40397,apf,ramw.256,2457358.875232,3.33,3.027,-1,13413.0
70408,40397,apf,ramx.238,2457361.859342,1.95,2.46064,-1,17272.0
70409,40397,apf,ramy.194,2457362.879911,3.37,3.78945,-1,5438.0
70410,40397,apf,ramy.195,2457362.882862,4.47,3.593536,-1,5714.0
70411,40397,apf,ranr.230,2457415.709628,-0.12,2.41493,-1,21384.0
70412,40397,apf,ranu.248,2457424.733571,-3.30,2.135211,-1,25499.0
70413,40397,apf,ranv.232,2457426.68813,0.09,2.705738,-1,12015.0
70414,40397,apf,ranw.238,2457427.704578,-7.45,2.920674,-1,12273.0
70415,40397,apf,raod.225,2457443.685712,-4.23,2.587082,-1,15478.0
70416,40397,apf,raoo.202,2457463.677854,-6.12,3.694632,-1,5364.0
70417,40397,apf,raoo.203,2457463.681245,-2.71,3.906189,-1,4455.0
70418,40397,apf,raot.220,2457471.740583,-3.42,3.16769,-1,11281.0
70419,40397,apf,raoz.202,2457482.722548,-5.75,3.746257,-1,4484.0
70420,40397,apf,rasf.222,2457633.994144,-7.55,2.504527,-1,13701.0
70421,40397,apf,rasg.247,2457636.000618,-5.29,3.215783,-1,6347.0
70422,40397,apf,rask.273,2457642.016659,-6.39,2.615987,-1,15540.0
70423,40397,apf,rasl.247,2457643.999341,-11.09,2.339151,-1,16742.0
70424,40397,apf,rasn.244,2457647.964718,-4.76,2.944993,-1,8634.0
70425,40397,apf,raso.246,2457648.963381,-1.81,3.171511,-1,8186.0
70426,40397,apf,rasp.250,2457649.936441,-4.11,2.626141,-1,14798.0
70427,40397,apf,rast.250,2457674.864827,-8.07,2.848867,-1,12718.0
70428,40397,apf,rast.287,2457674.99632,-16.54,2.414208,-1,14790.0
70429,40397,apf,rasz.260,2457683.064632,-9.77,2.480548,-1,13056.0
70430,40397,apf,rath.264,2457696.959166,-11.10,2.683557,-1,15496.0
70431,40397,apf,ratk.266,2457700.988305,-7.96,2.533805,-1,19366.0
70432,40397,apf,ratl.254,2457701.92314,-8.30,2.673437,-1,16032.0
70433,40397,apf,ratm.283,2457702.913429,-6.94,2.592923,-1,16566.0
70434,40397,apf,ratn.284,2457704.00995,-3.95,2.647093,-1,15413.0
70435,40397,apf,rato.280,2457705.902161,-7.22,2.480668,-1,15743.0
70436,40397,apf,ratp.290,2457707.874522,-8.50,2.476903,-1,15798.0
70437,40397,apf,ratu.308,2457717.939432,-2.95,2.170432,-1,20571.0
70438,40397,apf,raub.241,2457728.953529,-9.34,3.047649,-1,10284.0
70439,40397,apf,rauh.277,2457743.861656,-6.26,2.848674,-1,12053.0
70440,40397,apf,rauk.251,2457749.826335,-1.76,3.150973,-1,7465.0
70441,40397,apf,raul.257,2457751.795283,-4.26,2.620205,-1,13151.0
70442,40397,apf,ravb.201,2457780.759663,-5.20,2.841658,-1,11436.0
70443,40397,apf,ravc.214,2457783.697832,-6.84,3.281038,-1,6579.0
70444,40397,apf,ravc.218,2457783.71098,-5.48,2.803947,-1,11648.0
70445,40397,apf,ravj.202,2457796.714607,-10.12,3.303168,-1,8945.0
70446,40397,apf,ravy.213,2457821.702976,-11.70,2.820183,-1,11158.0
70447,40397,apf,ravz.206,2457823.703346,-15.10,2.916015,-1,13046.0
70448,40397,apf,rawh.184,2457838.677982,-3.30,3.125537,-1,6901.0
70449,40397,apf,rawm.195,2457847.666429,-10.70,2.961248,-1,10565.0
70450,40397,apf,razr.308,2457993.020621,-23.64,2.832667,-1,12667.0
70451,40397,apf,razt.277,2457997.028187,-23.62,2.679412,-1,12213.0
70452,40397,apf,rbbo.295,2458088.850078,-21.79,2.662358,-1,14441.0
70453,40397,apf,rbbq.187,2458092.867768,-15.58,3.302023,-1,6810.0
70454,40397,apf,rbbr.240,2458093.974681,-25.55,2.870249,-1,10317.0
70455,40397,apf,rbbs.244,2458094.851969,-20.42,2.82484,-1,9375.0
70456,40397,apf,rbbx.239,2458109.853021,-17.70,2.553151,-1,11084.0
70457,40397,apf,rbcc.305,2458115.744314,-18.21,2.885838,-1,9666.0
70458,40397,apf,rbce.219,2458119.799698,-10.53,3.994918,-1,9991.0
70459,40397,apf,rbck.235,2458131.727199,-21.22,2.783887,-1,11086.0
70460,40397,apf,rbco.173,2458150.731224,-19.54,2.444912,-1,13650.0
70461,40397,apf,rbcq.152,2458155.7064,-21.47,2.984112,-1,10796.0
70462,40397,apf,rbcr.211,2458156.69718,-17.42,3.133495,-1,8688.0
70463,40397,apf,rbcs.218,2458159.770618,-25.13,2.743558,-1,11404.0
70464,40397,apf,rbcv.206,2458165.69157,-22.17,2.607203,-1,10443.0
70465,40397,apf,rbcw.205,2458166.650502,-26.01,2.85339,-1,10478.0
70466,40397,apf,rbdq.203,2458205.685722,-23.55,3.223401,-1,10457.0
70467,40397,apf,rbgs.292,2458369.99664,-31.86,2.723895,-1,11636.0
70468,40397,apf,rbgx.280,2458379.031862,-37.62,2.783183,-1,12983.0
70469,40397,apf,rbgy.286,2458380.008498,-37.04,2.392186,-1,13897.0
70470,40397,apf,rbhb.273,2458387.977271,-29.67,2.974657,-1,10557.0
70471,40397,apf,rbhc.266,2458389.978383,-34.11,2.665508,-1,12959.0
70472,40397,apf,rbis.192,2458475.81906,-35.74,3.184749,-1,8865.0
70473,40397,apf,rbix.224,2458488.723536,-31.18,3.053824,-1,7881.0
70474,40397,apf,rbjg.229,2458509.804162,-40.13,2.883502,-1,9325.0
