Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
81397,75732,apf,raay.235,2456574.049368,39.79,1.920194,-1,10155.0
81398,75732,apf,raba.242,2456577.964103,43.06,2.026137,-1,11243.0
81399,75732,apf,raba.243,2456577.965585,43.47,1.91737,-1,11278.0
81400,75732,apf,raba.244,2456577.967067,40.71,1.963576,-1,11228.0
81401,75732,apf,raba.262,2456578.049968,42.05,1.767991,-1,11841.0
81402,75732,apf,raba.263,2456578.051299,38.67,1.989219,-1,11743.0
81403,75732,apf,raba.264,2456578.05263,33.46,1.859519,-1,11736.0
81404,75732,apf,rabc.251,2456582.018768,-45.82,2.03203,-1,10098.0
81405,75732,apf,rabc.252,2456582.020088,-51.84,1.866783,-1,10117.0
81406,75732,apf,rabc.253,2456582.021349,-51.65,1.944613,-1,10207.0
81407,75732,apf,rabd.265,2456582.972852,-63.05,1.984694,-1,9877.0
81408,75732,apf,rabd.266,2456582.974195,-61.59,2.003745,-1,9751.0
81409,75732,apf,rabd.267,2456582.975491,-63.08,2.189156,-1,9960.0
81410,75732,apf,rabe.228,2456583.939947,-69.95,1.960111,-1,9800.0
81411,75732,apf,rabe.229,2456583.941429,-69.79,2.020919,-1,9836.0
81412,75732,apf,rabe.230,2456583.942945,-73.60,1.965778,-1,9727.0
81413,75732,apf,rabf.254,2456588.889697,52.55,2.152837,-1,9014.0
81414,75732,apf,rabf.255,2456588.891109,56.60,2.173454,-1,9178.0
81415,75732,apf,rabf.256,2456588.892487,52.96,2.008426,-1,9085.0
81416,75732,apf,rabg.244,2456589.945807,70.66,1.949897,-1,9516.0
81417,75732,apf,rabg.245,2456589.947022,73.04,2.044087,-1,9534.0
81418,75732,apf,rabg.246,2456589.948238,77.97,2.06956,-1,9548.0
81419,75732,apf,rabg.271,2456590.03724,77.15,2.067138,-1,10178.0
81420,75732,apf,rabg.272,2456590.038409,77.14,1.897174,-1,10074.0
81421,75732,apf,rabg.273,2456590.039566,79.60,1.995916,-1,10021.0
81422,75732,apf,rabh.207,2456591.009592,82.09,1.87453,-1,10111.0
81423,75732,apf,rabh.208,2456591.01083,85.12,2.014165,-1,10089.0
81424,75732,apf,rabh.209,2456591.012104,86.15,1.925317,-1,9791.0
81425,75732,apf,rabi.218,2456591.91732,68.18,2.102591,-1,9716.0
81426,75732,apf,rabi.219,2456591.918639,62.36,2.035384,-1,9520.0
81427,75732,apf,rabi.220,2456591.919936,65.12,1.961635,-1,9741.0
81428,75732,apf,rabk.210,2456597.939926,-73.72,1.835491,-1,9993.0
81429,75732,apf,rabk.211,2456597.941419,-73.55,1.940953,-1,10055.0
81430,75732,apf,rabk.212,2456597.942924,-73.30,2.080916,-1,10011.0
81431,75732,apf,rabl.187,2456606.867026,47.04,2.143444,-1,9193.0
81432,75732,apf,rabl.188,2456606.868647,45.18,1.82213,-1,9696.0
81433,75732,apf,rabl.189,2456606.870464,48.56,2.031136,-1,9833.0
81434,75732,apf,rabl.239,2456607.066606,49.81,2.026785,-1,10383.0
81435,75732,apf,rabl.240,2456607.06811,54.86,1.925088,-1,9809.0
81436,75732,apf,rabl.241,2456607.069349,51.85,1.829386,-1,9693.0
81437,75732,apf,rabm.234,2456607.910773,33.77,2.001316,-1,9460.0
81438,75732,apf,rabm.235,2456607.912104,32.25,2.077953,-1,9570.0
81439,75732,apf,rabm.236,2456607.913424,31.67,2.1055,-1,9676.0
81440,75732,apf,rabm.288,2456608.080199,17.43,1.757677,-1,10148.0
81441,75732,apf,rabm.289,2456608.081461,19.93,1.871607,-1,9669.0
81442,75732,apf,rabm.290,2456608.082803,24.12,2.013641,-1,9631.0
81443,75732,apf,rabn.219,2456610.989112,-64.90,1.740505,-1,9646.0
81444,75732,apf,rabn.220,2456610.990559,-67.02,1.928478,-1,9666.0
81445,75732,apf,rabn.221,2456610.99196,-59.46,2.036638,-1,9410.0
81446,75732,apf,rabq.183,2456619.033254,56.42,1.834712,-1,16469.0
81447,75732,apf,rabr.197,2456619.878852,53.13,2.426952,-1,6995.0
81448,75732,apf,rabr.203,2456620.030995,56.25,1.936952,-1,11925.0
81449,75732,apf,rabs.201,2456622.871596,17.79,2.258869,-1,7934.0
81450,75732,apf,rabs.202,2456622.8753,17.10,2.191851,-1,9367.0
81451,75732,apf,rabs.203,2456622.877846,14.76,2.064025,-1,9442.0
81452,75732,apf,rabu.185,2456624.916682,-32.58,1.903854,-1,9379.0
81453,75732,apf,rabu.186,2456624.918604,-29.68,1.946213,-1,9352.0
81454,75732,apf,rabu.187,2456624.920571,-37.13,1.876431,-1,9435.0
81455,75732,apf,rabv.203,2456626.831615,-64.88,2.228191,-1,9232.0
81456,75732,apf,rabv.204,2456626.833027,-64.74,2.153439,-1,9277.0
81457,75732,apf,rabv.205,2456626.834463,-66.64,2.092358,-1,9269.0
81458,75732,apf,rabv.251,2456626.990332,-60.34,2.030857,-1,9560.0
81459,75732,apf,rabv.252,2456626.991536,-63.13,1.956196,-1,9410.0
81460,75732,apf,rabv.253,2456626.992717,-56.74,2.045588,-1,9390.0
81461,75732,apf,rabw.189,2456628.841877,-62.71,1.846285,-1,11818.0
81462,75732,apf,rabw.190,2456628.844967,-60.30,1.875991,-1,12639.0
81463,75732,apf,rabw.191,2456628.848278,-59.14,1.828127,-1,11562.0
81464,75732,apf,rabw.230,2456629.020364,-51.67,2.002753,-1,10722.0
81465,75732,apf,rabw.231,2456629.022413,-43.07,1.824046,-1,10114.0
81466,75732,apf,rabw.232,2456629.024126,-48.94,1.810162,-1,9992.0
81467,75732,apf,raby.185,2456631.795163,15.28,2.370573,-1,17346.0
