Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
101659,89391,k,rk9.121,2450462.050139,-42.69,1.340481,-1,135547.0
101660,89391,k,rk11.111,2450546.850613,-45.61,1.372197,-1,155590.0
101661,89391,k,rk17.240,2450807.090868,-52.14,2.492835,-1,11539.0
101662,89391,k,rk18.377,2450840.080579,-50.50,2.175996,-1,17317.0
101663,89391,k,rk19.68,2450861.961806,-41.59,2.103694,-1,16333.0
101664,89391,k,rk21.11,2450981.746701,-40.32,1.310121,-1,117028.0
101665,89391,k,rk27.256,2451172.0325,-37.10,1.198151,-1,105050.0
101666,89391,k,rk29.197,2451227.967315,-43.06,2.246653,-1,14892.0
101667,89391,k,rk30.15,2451310.767685,-45.46,1.9049,-1,20464.0
101668,89391,k,rk31.21,2451340.751169,-33.75,2.396994,-1,13017.0
101669,89391,k,rk31.207,2451342.782245,-33.20,2.464926,-1,12092.0
101670,89391,k,rk37.122,2451544.141192,-28.60,2.003345,-1,14430.0
101671,89391,k,rk38.104,2451551.032512,-41.49,1.925655,-1,20538.0
101672,89391,k,rk38.243,2451552.091146,-32.02,1.925082,-1,22862.0
101673,89391,k,rk38.366,2451553.036701,-26.53,1.952908,-1,18316.0
101674,89391,k,rk39.71,2451580.953067,-30.54,1.995298,-1,23591.0
101675,89391,k,rk47.146,2451898.138356,-39.32,1.465502,-1,81059.0
101676,89391,k,rk50.142,2452003.834167,-27.61,2.771876,-1,16232.0
101677,89391,k,rk60.106,2452307.943958,-14.30,1.965812,-1,34023.0
101678,89391,k,rk61.25,2452332.985984,-15.58,3.039596,-1,11124.0
101679,89391,k,rk69.139,2452601.112824,-12.97,1.519564,-1,104680.0
101680,89391,k,rk70.100,2452652.004595,-22.31,1.491974,-1,114980.0
101681,89391,k,rk71.128,2452682.975023,-19.90,1.569883,-1,98909.0
101682,89391,k,rk81.190,2453015.084479,-20.98,1.822127,-1,34484.0
101683,89391,k,rk81.484,2453016.111447,-19.05,1.348918,-1,108900.0
101684,89391,k,rk81.775,2453017.089549,-17.95,1.588478,-1,34202.0
101685,89391,k,rk82.255,2453045.892384,-17.78,1.680469,-1,106842.0
