Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
90837,97101,lick,ra21.36,2448649.0067,-40.47,11.129091,-1,10313.0
90838,97101,lick,ra69.16,2449173.699,6.04,13.874795,-1,14155.0
90839,97101,lick,ra82.66,2449349.9565,-25.62,11.888024,-1,24942.0
90840,97101,lick,ra83.66,2449351.0105,-17.45,12.112684,-1,18519.0
90841,97101,lick,ra85.84,2449374.9918,-21.37,9.599819,-1,20943.0
90842,97101,lick,ra89.22,2449469.7707,-11.74,11.792727,-1,16135.0
90843,97101,lick,rb10.45,2449769.9745,-17.12,6.178492,-1,6373.0
90844,97101,lick,rb42.124,2450181.78418,-6.53,6.092405,-1,5035.0
90845,97101,lick,rb52.47,2450438.041992,32.77,5.402494,-1,6576.0
90846,97101,lick,rb65.51,2450793.986328,4.61,5.505092,-1,6093.0
90847,97101,lick,rb80.117,2451155.077148,-1.54,7.229469,-1,9049.0
90848,97101,lick,rb87.182,2451304.713867,-6.81,5.869542,-1,22846.0
90849,97101,lick,ri38.408,2454865.971667,-16.95,6.595839,-1,9031.0
