Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
797,103932,k,rk9.137,2450462.146736,-3.03,1.546772,-1,101511.0
798,103932,k,rk12.397,2450606.783345,5.53,1.498047,-1,207040.0
799,103932,k,rk18.105,2450838.06213,-2.66,1.544366,-1,114437.0
800,103932,k,rk19.198,2450862.958356,-2.04,1.559828,-1,104899.0
801,103932,k,rk20.148,2450955.808762,3.72,1.537639,-1,125801.0
802,103932,k,rk27.278,2451172.119086,5.39,1.506035,-1,126173.0
803,103932,k,rk29.217,2451228.065093,-5.41,1.545921,-1,164808.0
804,103932,k,rk30.33,2451310.85169,-10.16,1.58858,-1,129793.0
805,103932,k,rk38.124,2451551.141238,-7.60,1.488146,-1,65282.0
806,103932,k,rk39.79,2451580.974109,-14.16,1.765129,-1,98824.0
807,103932,k,rk40.118,2451679.858067,-3.24,1.781331,-1,109016.0
808,103932,k,rk48.249,2451974.035833,-11.50,1.807653,-1,114035.0
809,103932,k,rk53.334,2452064.819016,-11.40,1.772411,-1,107949.0
810,103932,k,rk61.41,2452333.076817,-13.07,2.061643,-1,92667.0
811,103932,k,rk70.129,2452652.170243,-6.83,1.933593,-1,119637.0
812,103932,k,rk70.235,2452653.133009,-1.07,1.829547,-1,107933.0
813,103932,k,rk70.328,2452654.094861,-8.08,2.116014,-1,116219.0
814,103932,k,rk74.29,2452803.828588,-10.94,1.87029,-1,110455.0
815,103932,k,rk81.1006,2453018.053542,4.51,1.654542,-1,121339.0
