Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
14786,13612b,j,rj01.754,2453240.07706,-2.18,0.962207,0.166,112814.0
14787,13612b,j,rj22.333,2453969.111991,10.03,1.059559,0.164,90553.0
14788,13612b,j,rj178.172,2456519.133547,-3.03,1.309324,0.164,23883.0
14789,13612b,j,rj247.476,2457747.712822,-2.78,1.277448,0.1736,23772.0
14790,13612b,j,rj249.68,2457763.695443,0.59,1.145989,0.1753,24349.0
14791,13612b,j,rj253.265,2457829.710729,-4.89,1.442779,0.173,22470.0
14792,13612b,j,rj278.67,2458111.702655,-7.21,1.504393,0.1727,23773.0
14793,13612b,j,rj296.523,2458330.117116,0.42,1.490715,0.1776,24056.0
14794,13612b,j,rj300.127,2458350.142786,-0.24,1.279558,0.1746,23640.0
14795,13612b,j,rj306.128,2458396.05133,-3.92,1.543814,0.1782,24395.0
14796,13612b,j,rj317.393,2458509.774428,-4.73,1.426407,0.1744,24267.0
14797,13612b,j,rj348.117,2458777.080295,-5.84,1.338915,0.1725,24157.0
