Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
21017,145958a,k,rk5.24,2450275.832118,89.90,1.331756,-1,187981.0
21018,145958a,k,rk12.332,2450605.967014,63.86,1.218714,-1,111095.0
21019,145958a,k,rk19.254,2450863.16066,63.80,1.466969,-1,52810.0
21020,145958a,k,rk20.63,2450954.960347,65.70,1.228964,-1,70579.0
21021,145958a,k,rk20.171,2450955.94397,66.03,1.16958,-1,98662.0
21022,145958a,k,rk21.77,2450982.849306,64.50,1.315884,-1,82426.0
21023,145958a,k,rk24.155,2451051.783032,58.22,1.296926,-1,50778.0
21024,145958a,k,rk25.25,2451068.760463,57.75,1.16321,-1,76083.0
21025,145958a,k,rk25.142,2451069.762315,51.72,1.353569,-1,80954.0
21026,145958a,k,rk25.262,2451070.755671,61.11,1.353228,-1,79385.0
21027,145958a,k,rk25.404,2451071.754653,64.38,1.271384,-1,69211.0
21028,145958a,k,rk25.536,2451072.749514,58.26,1.292609,-1,70829.0
21029,145958a,k,rk26.681,2451073.749167,55.65,1.167349,-1,64785.0
21030,145958a,k,rk26.798,2451074.737442,54.34,1.151138,-1,89690.0
21031,145958a,k,rk29.232,2451228.150093,59.80,1.32494,-1,79814.0
21032,145958a,k,rk29.345,2451229.134248,54.74,1.281987,-1,67725.0
21033,145958a,k,rk31.43,2451340.867963,49.91,1.589919,-1,22758.0
21034,145958a,k,rk32.25,2451367.806933,46.47,1.228804,-1,75441.0
21035,145958a,k,rk33.317,2451411.76125,44.66,1.253911,-1,76256.0
21036,145958a,k,rk39.241,2451582.1586,58.25,1.513769,-1,40382.0
21037,145958a,k,rk41.241,2451704.937049,48.87,1.317793,-1,85532.0
21038,145958a,k,rk43.158,2451755.83309,49.57,1.127104,-1,107234.0
21039,145958a,k,rk45.15,2451792.725509,52.43,1.392422,-1,58813.0
21040,145958a,k,rk45.102,2451793.791308,49.56,1.207754,-1,65760.0
21041,145958a,k,rk48.83,2451972.150984,46.72,1.248624,-1,96480.0
21042,145958a,k,rk53.167,2452062.945567,42.18,1.393733,-1,86686.0
21043,145958a,k,rk54.231,2452095.832766,13.77,2.783083,-1,16289.0
21044,145958a,k,rk54.232,2452095.84566,19.10,5.425759,-1,9321.0
21045,145958a,k,rk54.233,2452095.857685,34.60,3.386359,-1,13537.0
21046,145958a,k,rk54.234,2452095.883206,-79.68,29.897137,-1,3048.0
21047,145958a,k,rk54.235,2452095.928264,39.21,1.360358,-1,86461.0
21048,145958a,k,rk54.1256,2452101.868681,39.17,1.314133,-1,82345.0
21049,145958a,k,rk63.51,2452390.009433,26.20,1.486603,-1,87656.0
21050,145958a,k,rk67.229,2452536.731331,36.67,1.234235,-1,98750.0
21051,145958a,k,rk71.61,2452681.170868,34.92,1.35162,-1,94073.0
21052,145958a,k,rk72.120,2452712.090174,22.50,1.264946,-1,84985.0
21053,145958a,k,rk84.140,2453072.056551,32.58,1.288792,-1,99894.0
