Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
22758,147379a,j,rj06.1839,2453430.061493,2.85,0.905857,1.54,106582.0
22759,147379a,j,rj08.1132,2453549.843148,2.20,0.715119,1.48,110253.0
22760,147379a,j,rj11.933,2453604.81434,5.44,0.875141,1.63,116369.0
22761,147379a,j,rj18.231,2453838.075567,-7.76,0.961699,2.34,24186.0
22762,147379a,j,rj20.877,2453932.898796,-3.08,0.720412,1.53,104815.0
22763,147379a,j,rj55.727,2454636.960208,-8.51,0.854638,1.46,50932.0
22764,147379a,j,rj95.892,2455403.835385,-8.11,0.885642,1.52,54960.0
22765,147379a,j,rj867.190,2455639.158178,8.04,0.889789,1.544,87632.0
22766,147379a,j,rj870.199,2455665.055269,-11.40,0.791156,1.418,88756.0
22767,147379a,j,rj148.142,2456018.965247,-0.39,0.976812,1.65,51034.0
22768,147379a,j,rj889.213,2456025.069812,0.68,1.036049,1.452,32774.0
22769,147379a,j,rj893.139,2456117.92717,-1.88,0.758345,1.504,87572.0
22770,147379a,j,rj893.140,2456117.933837,-2.22,0.793284,1.501,87068.0
22771,147379a,j,rj902.217,2456330.153971,3.73,0.928849,1.611,88126.0
22772,147379a,j,rj902.218,2456330.158126,0.87,0.91607,1.595,88314.0
22773,147379a,j,rj905.182,2456433.974784,3.57,0.773968,1.597,87405.0
22774,147379a,j,rj905.183,2456433.978835,4.86,0.77232,1.594,88211.0
22775,147379a,j,rj189.696,2456845.891409,0.30,0.784006,1.368,54511.0
22776,147379a,j,rj305.1466,2458392.706455,9.67,1.296102,1.414,27799.0
