Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
33781,174080,lick,rb94.11,2451416.657227,0.05,5.093781,-1,22065.0
33782,174080,lick,rb94.71,2451417.677734,-6.59,5.50797,-1,13461.0
33783,174080,lick,rd12.21,2451750.768555,-22.60,5.561996,-1,21501.0
33784,174080,lick,rd13.15,2451774.714844,-0.32,5.676194,-1,15080.0
33785,174080,lick,rd49.70,2452076.868164,2.51,5.39049,-1,16343.0
33786,174080,lick,rd59.277,2452161.67022,-11.91,5.25125,-1,15547.0
33787,174080,lick,rf09.15,2452508.685547,7.82,4.694964,-1,8937.0
33788,174080,lick,rf09.16,2452508.701172,11.49,4.023883,-1,25522.0
33789,174080,lick,rf11.75,2452512.679688,-5.73,3.37533,-1,23393.0
33790,174080,lick,rf11.76,2452512.700195,-0.50,3.244988,-1,24747.0
33791,174080,lick,rf11.143,2452513.680664,-4.02,4.449942,-1,12460.0
33792,174080,lick,rf11.144,2452513.707031,-2.51,3.291147,-1,22480.0
33793,174080,lick,rf42.188,2452896.683594,-21.72,5.01191,-1,12466.0
33794,174080,lick,ri30.197,2454649.908252,9.07,4.365762,-1,17622.0
33795,174080,lick,ri33.166,2454695.883623,2.05,3.977194,-1,25638.0
33796,174080,lick,ri33.167,2454695.8989,2.84,3.916945,-1,22676.0
33797,174080,lick,ri34.25,2454722.742396,15.53,4.112494,-1,16852.0
