Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
34890,180617,j,rj08.197,2453546.938704,5.39,1.082239,1.07,88253.0
34891,180617,j,rj08.830,2453549.002789,-0.89,1.143921,1.1,86179.0
34892,180617,j,rj08.1161,2453549.926238,2.76,1.074121,1.15,84044.0
34893,180617,j,rj08.1585,2453550.991192,1.16,1.067623,1.12,84276.0
34894,180617,j,rj08.1977,2453551.927616,-2.03,1.081082,1.13,76558.0
34895,180617,j,rj09.205,2453570.988356,-3.20,1.103396,1.15,76589.0
34896,180617,j,rj11.162,2453602.889178,1.56,1.072356,1.17,89741.0
34897,180617,j,rj11.583,2453603.915162,1.84,1.164644,1.18,84323.0
34898,180617,j,rj11.924,2453604.791667,-0.00,1.15099,1.16,73037.0
34899,180617,j,rj19.258,2453926.055532,-2.71,1.178056,1.0,60343.0
34900,180617,j,rj19.591,2453926.98228,-3.46,1.202183,1.03,66996.0
34901,180617,j,rj19.995,2453927.920868,-2.26,1.046823,1.03,76564.0
34902,180617,j,rj23.1029,2453983.766285,1.38,1.090766,1.07,86232.0
34903,180617,j,rj32.213,2454247.059109,0.73,1.096819,1.19,82725.0
34904,180617,j,rj33.199,2454255.944688,7.81,1.15006,1.19,60755.0
34905,180617,j,rj33.200,2454255.950046,10.38,1.198326,1.21,60721.0
34906,180617,j,rj35.249,2454277.87213,4.29,1.170032,1.05,53899.0
34907,180617,j,rj35.457,2454278.925347,2.09,1.257537,1.05,54704.0
34908,180617,j,rj35.866,2454279.95772,1.75,1.306675,1.02,30659.0
34909,180617,j,rj36.170,2454286.022905,1.74,1.280891,1.04,32683.0
34910,180617,j,rj38.168,2454294.920451,6.71,1.106956,1.18,81297.0
34911,180617,j,rj41.198,2454304.990405,2.85,1.264612,1.22,76507.0
34912,180617,j,rj41.600,2454305.996273,0.39,1.244164,1.23,74476.0
34913,180617,j,rj41.982,2454306.962801,-1.34,1.229979,1.16,72221.0
34914,180617,j,rj41.1418,2454308.03235,-2.36,1.257214,1.18,60677.0
34915,180617,j,rj41.1792,2454308.988831,-0.77,1.34318,1.39,47292.0
34916,180617,j,rj41.2197,2454309.990023,-2.79,1.16703,1.16,69864.0
34917,180617,j,rj41.2595,2454310.980428,1.17,0.955565,1.16,81260.0
34918,180617,j,rj41.2996,2454311.975486,4.07,1.03809,1.13,82152.0
34919,180617,j,rj41.3397,2454312.971088,2.12,1.221237,1.12,78143.0
34920,180617,j,rj41.3795,2454313.967037,-0.40,1.086761,1.08,79808.0
34921,180617,j,rj41.4199,2454315.01603,-2.94,1.185512,1.08,57377.0
