Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
36414,183263,apf,raaa.42,2456504.803375,25.57,2.423562,-1,29028.0
36415,183263,apf,raab.69,2456505.858365,30.24,2.62934,-1,19770.0
36416,183263,apf,raac.9,2456506.745835,32.11,2.449806,-1,25494.0
36417,183263,apf,raad.116,2456515.799782,43.11,2.447311,-1,28958.0
36418,183263,apf,raae.116,2456516.842685,44.31,2.292018,-1,29802.0
36419,183263,apf,raaf.110,2456517.738926,48.22,2.391731,-1,29225.0
36420,183263,apf,raag.112,2456518.755751,52.67,2.64545,-1,21808.0
36421,183263,apf,raah.109,2456525.720351,65.81,2.467119,-1,29655.0
36422,183263,apf,raai.107,2456526.725963,66.26,2.475594,-1,29427.0
36423,183263,apf,raaj.106,2456530.775353,72.15,2.353548,-1,29747.0
36424,183263,apf,raak.106,2456534.740274,79.80,2.373713,-1,26443.0
36425,183263,apf,raal.108,2456535.717092,83.59,2.202955,-1,29270.0
36426,183263,apf,raao.108,2456540.713662,94.42,2.507816,-1,27410.0
36427,183263,apf,raap.108,2456541.694583,94.96,2.590446,-1,28837.0
36428,183263,apf,raaq.155,2456542.699703,92.11,2.529196,-1,27517.0
36429,183263,apf,raar.107,2456547.738505,111.75,2.75689,-1,28422.0
36430,183263,apf,raas.106,2456548.710612,104.11,2.64161,-1,20333.0
36431,183263,apf,raat.162,2456562.736583,105.20,3.00249,-1,10974.0
36432,183263,apf,raau.154,2456563.63695,109.46,2.860501,-1,10914.0
36433,183263,apf,raaw.156,2456569.682944,117.42,6.285964,-1,10195.0
36434,183263,apf,raaw.159,2456569.750346,111.51,5.802877,-1,10058.0
36435,183263,apf,raax.169,2456570.766996,99.55,3.192991,-1,11074.0
36436,183263,apf,raay.160,2456573.698253,114.83,3.387067,-1,8402.0
36437,183263,apf,rabg.160,2456589.643593,122.28,4.680319,-1,3439.0
36438,183263,apf,rabi.147,2456591.678036,126.26,2.632651,-1,16772.0
36439,183263,apf,rabi.154,2456591.699319,125.20,2.77383,-1,16847.0
36440,183263,apf,radh.226,2456741.002991,105.66,3.429289,-1,7587.0
36441,183263,apf,radi.228,2456741.987665,107.25,3.762162,-1,6511.0
36442,183263,apf,radk.223,2456751.023362,114.11,4.118082,-1,4485.0
36443,183263,apf,radn.252,2456757.989717,95.76,3.425015,-1,9661.0
36444,183263,apf,radw.213,2456780.897054,87.55,3.295617,-1,6995.0
36445,183263,apf,radw.231,2456781.023789,90.34,4.559613,-1,7678.0
36446,183263,apf,rady.222,2456784.946386,85.73,3.346366,-1,10329.0
36447,183263,apf,raea.212,2456789.898755,84.41,3.361242,-1,9174.0
36448,183263,apf,raea.227,2456789.978645,88.82,3.110098,-1,10619.0
36449,183263,apf,raeb.241,2456792.967866,87.29,3.369083,-1,10215.0
36450,183263,apf,raec.204,2456793.918458,89.38,3.413363,-1,10231.0
36451,183263,apf,raec.228,2456794.01071,90.57,3.600618,-1,10338.0
36452,183263,apf,raek.223,2456812.981424,83.16,2.779075,-1,15447.0
36453,183263,apf,raek.224,2456812.995962,74.34,2.98258,-1,15730.0
36454,183263,apf,raex.213,2456839.889231,66.45,3.087766,-1,15706.0
36455,183263,apf,raex.214,2456839.902634,67.94,2.937184,-1,15621.0
36456,183263,apf,rafg.226,2456858.851151,61.63,4.217931,-1,6012.0
36457,183263,apf,rafg.227,2456858.869959,63.20,3.713079,-1,9192.0
36458,183263,apf,rafk.189,2456867.797176,60.17,3.081551,-1,15391.0
36459,183263,apf,rafk.190,2456867.809815,53.97,4.462609,-1,4800.0
36460,183263,apf,rafn.165,2456874.75195,45.88,3.249591,-1,13800.0
36461,183263,apf,rafn.166,2456874.773523,42.07,3.178172,-1,12983.0
36462,183263,apf,rafp.192,2456878.779023,38.91,2.691718,-1,16948.0
36463,183263,apf,rafp.193,2456878.800052,37.52,2.635283,-1,16583.0
36464,183263,apf,rafq.201,2456880.761771,35.99,2.915374,-1,16282.0
36465,183263,apf,rafq.202,2456880.782233,39.62,2.939266,-1,15706.0
36466,183263,apf,rafs.203,2456884.740237,38.33,2.879741,-1,15291.0
36467,183263,apf,rafs.204,2456884.756556,41.11,2.766616,-1,15307.0
36468,183263,apf,raft.219,2456886.785004,37.86,2.562126,-1,15347.0
36469,183263,apf,raft.220,2456886.800698,30.70,2.700889,-1,15100.0
36470,183263,apf,rafv.178,2456890.720884,37.15,2.763107,-1,15437.0
36471,183263,apf,rafv.179,2456890.741207,38.81,2.771008,-1,15670.0
36472,183263,apf,rafw.188,2456891.709055,37.26,2.605686,-1,15084.0
36473,183263,apf,rafw.189,2456891.72476,38.59,3.049119,-1,15149.0
36474,183263,apf,rafx.215,2456892.742847,37.94,2.69665,-1,15515.0
36475,183263,apf,rafx.216,2456892.76251,37.71,2.880952,-1,15381.0
36476,183263,apf,rafy.206,2456894.718037,36.62,2.731591,-1,15814.0
36477,183263,apf,rafy.207,2456894.735189,39.58,2.747798,-1,15264.0
36478,183263,apf,rafz.205,2456895.735114,33.63,2.857284,-1,15659.0
36479,183263,apf,rafz.206,2456895.752845,31.50,2.675795,-1,15599.0
36480,183263,apf,ragd.207,2456900.764778,37.34,2.71758,-1,15674.0
36481,183263,apf,ragd.208,2456900.786362,34.78,2.72862,-1,15139.0
36482,183263,apf,rage.193,2456903.726973,34.08,2.619526,-1,13999.0
36483,183263,apf,ragk.179,2456915.685339,27.51,3.034897,-1,16700.0
36484,183263,apf,ragl.204,2456917.681027,28.33,2.875261,-1,16152.0
36485,183263,apf,rags.191,2456935.696746,8.58,3.001279,-1,12152.0
36486,183263,apf,ragt.167,2456937.620288,9.43,2.847276,-1,16665.0
36487,183263,apf,ragt.168,2456937.641189,7.30,2.541093,-1,15530.0
36488,183263,apf,ragv.101,2456941.636925,4.28,2.767427,-1,13923.0
36489,183263,apf,ragv.102,2456941.657779,7.92,2.965211,-1,11382.0
36490,183263,apf,ragx.202,2456949.746353,-8.67,3.309474,-1,11159.0
36491,183263,apf,ragx.203,2456949.766918,-2.94,3.363576,-1,10454.0
36492,183263,apf,raha.145,2456970.688228,-12.95,3.307616,-1,9157.0
36493,183263,apf,raha.146,2456970.709719,-11.97,3.646626,-1,8989.0
36494,183263,apf,raii.290,2457115.947339,-55.50,2.478643,-1,18191.0
36495,183263,apf,rail.253,2457121.956957,-46.78,2.455309,-1,30829.0
36496,183263,apf,raim.230,2457123.955785,-46.39,2.517086,-1,16567.0
36497,183263,apf,rain.274,2457124.974715,-46.51,2.429706,-1,23778.0
36498,183263,apf,raio.279,2457125.946476,-36.78,2.624979,-1,22859.0
36499,183263,apf,raiq.271,2457130.959372,-30.43,2.647094,-1,14563.0
36500,183263,apf,rair.236,2457132.9618,-23.87,2.28558,-1,29241.0
36501,183263,apf,rait.223,2457135.950088,-20.95,2.552218,-1,20593.0
36502,183263,apf,raiw.238,2457140.943809,-8.27,2.573484,-1,29519.0
36503,183263,apf,raiy.262,2457143.949488,-4.29,2.390606,-1,24142.0
36504,183263,apf,rajb.254,2457152.008428,3.81,2.697671,-1,23676.0
36505,183263,apf,raje.240,2457158.998121,20.12,2.4488,-1,20763.0
36506,183263,apf,rajj.275,2457168.896586,28.06,2.521139,-1,31666.0
36507,183263,apf,rajk.259,2457170.890826,38.58,2.69477,-1,20112.0
36508,183263,apf,rajl.234,2457174.895787,38.05,2.511814,-1,16824.0
36509,183263,apf,rajn.276,2457178.941939,41.23,2.583897,-1,27042.0
36510,183263,apf,rajo.247,2457179.954657,39.33,2.588741,-1,25223.0
36511,183263,apf,rajp.253,2457181.852665,48.84,2.789304,-1,23430.0
36512,183263,apf,rajp.275,2457181.94348,46.15,2.74871,-1,25940.0
36513,183263,apf,rajr.216,2457185.926287,52.01,2.815487,-1,18045.0
36514,183263,apf,rajs.244,2457187.914077,53.73,2.522751,-1,30282.0
36515,183263,apf,rajt.273,2457188.947944,56.28,2.435941,-1,30193.0
36516,183263,apf,raju.279,2457189.933034,55.95,2.338123,-1,28054.0
36517,183263,apf,rajv.272,2457191.924762,51.73,2.246648,-1,31987.0
36518,183263,apf,rajx.261,2457195.906038,55.57,2.250108,-1,31459.0
36519,183263,apf,rajy.262,2457196.920889,55.36,2.225452,-1,31271.0
36520,183263,apf,rakb.254,2457204.897258,52.04,2.582625,-1,30393.0
36521,183263,apf,rakd.240,2457207.855401,58.84,2.741822,-1,31672.0
36522,183263,apf,rake.258,2457208.853221,60.47,2.944973,-1,21046.0
36523,183263,apf,rakf.228,2457211.865967,59.16,2.680589,-1,32420.0
36524,183263,apf,rakj.251,2457218.846345,63.97,2.191067,-1,26258.0
36525,183263,apf,rakn.248,2457224.835408,71.39,2.692198,-1,24371.0
36526,183263,apf,rakp.217,2457227.772623,71.74,2.422927,-1,25976.0
36527,183263,apf,rakq.243,2457229.813285,71.02,2.500554,-1,27129.0
36528,183263,apf,raks.241,2457233.813078,66.99,2.56477,-1,24769.0
36529,183263,apf,rakt.240,2457235.783944,69.67,2.554872,-1,24122.0
36530,183263,apf,raku.231,2457238.790441,72.25,2.505979,-1,26074.0
36531,183263,apf,raky.234,2457247.779429,65.61,2.629189,-1,23784.0
36532,183263,apf,rakz.215,2457249.763441,69.69,2.557626,-1,21431.0
36533,183263,apf,ralb.121,2457255.72468,66.98,2.773942,-1,15592.0
36534,183263,apf,ralc.160,2457256.707446,73.04,2.624252,-1,27506.0
36535,183263,apf,rale.216,2457260.708613,65.16,2.955503,-1,13192.0
36536,183263,apf,ralf.180,2457262.705867,69.23,2.658388,-1,24362.0
36537,183263,apf,ralg.209,2457265.702505,75.66,2.852238,-1,12347.0
36538,183263,apf,ralh.213,2457267.693117,71.43,2.415875,-1,29288.0
36539,183263,apf,rali.216,2457269.680229,70.55,2.526316,-1,22019.0
36540,183263,apf,ralk.218,2457274.737959,67.69,2.609162,-1,22481.0
36541,183263,apf,rall.217,2457276.728171,71.92,2.630607,-1,19802.0
36542,183263,apf,ralp.208,2457283.715228,62.84,2.611838,-1,21199.0
36543,183263,apf,ralr.170,2457290.721032,61.15,2.716542,-1,23447.0
36544,183263,apf,ralx.202,2457305.684852,58.72,2.41905,-1,27653.0
36545,183263,apf,raly.203,2457308.67595,57.73,2.3244,-1,33010.0
36546,183263,apf,ramc.199,2457318.666071,55.83,2.129168,-1,32122.0
36547,183263,apf,ramd.207,2457321.659355,53.25,2.471066,-1,26220.0
36548,183263,apf,ramf.210,2457325.642464,51.62,2.283684,-1,27591.0
36549,183263,apf,rami.206,2457332.633672,48.28,2.94958,-1,20729.0
36550,183263,apf,ramj.213,2457334.63499,54.35,2.397134,-1,31083.0
36551,183263,apf,ramm.201,2457340.643561,51.80,2.359048,-1,33213.0
36552,183263,apf,ramo.199,2457344.657386,49.41,2.752266,-1,16021.0
36553,183263,apf,raru.316,2457616.80543,-92.95,2.498264,-1,26067.0
36554,183263,apf,rasz.198,2457682.702056,-138.85,2.474704,-1,25255.0
36555,183263,apf,rata.190,2457684.714128,-136.26,3.445346,-1,8392.0
36556,183263,apf,ratn.201,2457703.668297,-145.89,2.7067,-1,32016.0
36557,183263,apf,ratx.209,2457722.628318,-134.93,2.648064,-1,17489.0
36558,183263,apf,rawb.283,2457827.041899,-6.33,2.43541,-1,30461.0
36559,183263,apf,rawc.258,2457830.02425,-6.29,2.568499,-1,31389.0
36560,183263,apf,rawx.234,2457865.869956,7.15,3.162072,-1,14028.0
36561,183263,apf,raxw.253,2457909.942637,0.89,2.383705,-1,26007.0
36562,183263,apf,rayd.196,2457918.932226,8.32,2.774591,-1,30955.0
36563,183263,apf,rayf.232,2457921.93951,15.66,2.650533,-1,32121.0
36564,183263,apf,rayk.238,2457931.888588,4.70,2.55526,-1,31417.0
36565,183263,apf,rayl.242,2457933.88193,1.99,2.529667,-1,31135.0
36566,183263,apf,raym.238,2457937.86156,-4.72,3.066771,-1,14026.0
36567,183263,apf,rayy.205,2457959.771231,1.95,3.884057,-1,5649.0
36568,183263,apf,raze.216,2457966.837788,-6.62,2.698851,-1,30109.0
36569,183263,apf,razl.229,2457981.836874,-10.40,2.5205,-1,31688.0
36570,183263,apf,razo.217,2457987.756923,-18.83,2.5649,-1,31103.0
36571,183263,apf,razs.223,2457995.770944,-10.70,2.684872,-1,17420.0
36572,183263,apf,razt.228,2457996.793837,-18.34,2.450288,-1,31720.0
36573,183263,apf,rbaj.206,2458025.712304,-22.93,2.62583,-1,30188.0
36574,183263,apf,rbev.239,2458270.949462,-164.32,2.260587,-1,30829.0
36575,183263,apf,rbff.248,2458291.933304,-172.98,2.399204,-1,28375.0
36576,183263,apf,rbfq.243,2458314.885791,-186.66,2.988358,-1,29121.0
36577,183263,apf,rbfr.227,2458318.806003,-181.83,2.263368,-1,29415.0
36578,183263,apf,rbft.177,2458320.811402,-184.30,2.67875,-1,28865.0
36579,183263,apf,rbfv.213,2458323.851937,-180.74,2.373052,-1,29417.0
36580,183263,apf,rbfw.346,2458326.871742,-185.76,2.655932,-1,25070.0
36581,183263,apf,rbga.219,2458332.807946,-183.60,2.482124,-1,28173.0
36582,183263,apf,rbga.219,2458332.807946,-183.60,2.482124,-1,28173.0
36583,183263,apf,rbgh.214,2458342.794445,-181.95,2.643628,-1,25440.0
36584,183263,apf,rbgj.198,2458348.756399,-179.48,2.498027,-1,27531.0
36585,183263,apf,rbgl.211,2458352.763428,-166.88,2.441326,-1,24694.0
36586,183263,apf,rbgm.197,2458356.76361,-159.47,2.38207,-1,26070.0
36587,183263,apf,rbgn.214,2458357.718825,-156.13,2.496473,-1,26722.0
36588,183263,apf,rbgp.206,2458359.682954,-155.48,2.46245,-1,28323.0
36589,183263,apf,rbgr.209,2458368.709478,-142.10,2.519935,-1,28500.0
36590,183263,apf,rbgw.206,2458376.726472,-129.78,2.465034,-1,25795.0
36591,183263,apf,rbgy.225,2458379.722132,-123.27,2.355493,-1,26914.0
36592,183263,apf,rbhb.205,2458387.705137,-111.03,2.318094,-1,25542.0
36593,183263,apf,rbhc.204,2458389.715346,-107.53,2.376679,-1,25993.0
36594,183263,apf,rbhh.190,2458390.715681,-105.60,3.296953,-1,8698.0
36595,183263,apf,rbhm.204,2458405.738073,-74.57,2.510864,-1,24971.0
36596,183263,apf,rbhp.201,2458414.702657,-66.50,2.469519,-1,26306.0
36597,183263,apf,rbhr.199,2458418.64969,-61.02,2.510621,-1,26638.0
36598,183263,apf,rbhs.212,2458419.725189,-63.09,3.463134,-1,8622.0
36599,183263,apf,rbhv.203,2458427.677968,-48.24,3.86831,-1,6648.0
36600,183263,apf,rbhv.204,2458427.688731,-45.02,4.274806,-1,5007.0
36601,183263,apf,rbkx.237,2458586.904365,-26.62,3.62876,-1,6303.0
36602,183263,apf,rbkx.238,2458586.912085,-21.87,3.825511,-1,6105.0
36603,183263,apf,rbky.236,2458587.905527,-26.73,4.023791,-1,6263.0
36604,183263,apf,rbky.236,2458587.905527,-26.73,4.023791,-1,6263.0
36605,183263,apf,rbky.237,2458587.912657,-32.84,3.705819,-1,6391.0
36606,183263,apf,rbky.237,2458587.912657,-32.84,3.705819,-1,6391.0
36607,183263,apf,rbld.235,2458601.87872,-40.92,3.320803,-1,7308.0
36608,183263,apf,rbld.235,2458601.87872,-40.92,3.320803,-1,7308.0
36609,183263,apf,rbld.236,2458601.886175,-43.20,3.400404,-1,7125.0
36610,183263,apf,rbld.236,2458601.886175,-43.20,3.400404,-1,7125.0
36611,183263,apf,rble.252,2458605.948677,-40.02,3.115198,-1,8068.0
36612,183263,apf,rble.252,2458605.948677,-40.02,3.115198,-1,8068.0
36613,183263,apf,rble.253,2458605.956247,-39.44,3.397768,-1,7511.0
36614,183263,apf,rble.253,2458605.956247,-39.44,3.397768,-1,7511.0
36615,183263,apf,rblg.253,2458608.008835,-41.47,3.187005,-1,11430.0
36616,183263,apf,rblg.254,2458608.016324,-36.79,3.076268,-1,11439.0
36617,183263,apf,rblh.254,2458611.949454,-34.59,3.416518,-1,9010.0
36618,183263,apf,rblh.255,2458611.956896,-33.30,3.345418,-1,9613.0
36619,183263,apf,rblj.239,2458617.928044,-36.95,3.071961,-1,9647.0
36620,183263,apf,rblj.240,2458617.935568,-42.07,3.404486,-1,10362.0
36621,183263,apf,rbll.233,2458621.955486,-49.36,2.889516,-1,9486.0
36622,183263,apf,rbll.234,2458621.962975,-40.85,3.627695,-1,8950.0
36623,183263,apf,rblq.206,2458631.941742,-40.26,3.431576,-1,8565.0
36624,183263,apf,rblq.207,2458631.94937,-34.33,3.703299,-1,8424.0
36625,183263,apf,rblt.228,2458637.953617,-48.09,3.118953,-1,10091.0
36626,183263,apf,rblt.229,2458637.961071,-44.23,3.308705,-1,10285.0
36627,183263,apf,rblx.201,2458647.800321,-43.41,3.708167,-1,8315.0
36628,183263,apf,rblx.202,2458647.807532,-42.29,4.0124,-1,8122.0
36629,183263,apf,rblz.226,2458648.929598,-39.23,3.555765,-1,8397.0
36630,183263,apf,rblz.227,2458648.937087,-41.05,3.260089,-1,8689.0
36631,183263,apf,rbmc.188,2458651.729908,-29.79,4.630454,-1,4918.0
36632,183263,apf,rbmc.189,2458651.736945,-37.39,4.274637,-1,5061.0
36633,183263,apf,rbmd.190,2458655.73692,-42.40,4.278685,-1,5711.0
36634,183263,apf,rbmd.191,2458655.744444,-49.09,3.663458,-1,5819.0
36635,183263,apf,rbmh.184,2458660.716385,-51.03,4.082132,-1,4417.0
36636,183263,apf,rbmh.185,2458660.723689,-42.32,4.454184,-1,4459.0
