Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
78945,6872b,k,rk54.276,2452096.120185,3774.88,3.224328,-1,73882.0
78946,6872b,k,rk54.361,2452097.076308,3780.39,3.299586,-1,35878.0
78947,6872b,k,rk55.95,2452128.091181,3755.68,3.461411,-1,78834.0
78948,6872b,k,rk55.279,2452129.029977,3773.36,3.446666,-1,82853.0
78949,6872b,k,rk58.133,2452219.027141,3702.06,3.81026,-1,89631.0
78950,6872b,k,rk59.23,2452235.706296,3692.87,3.341146,-1,91149.0
78951,6872b,k,rk66.93,2452515.066597,3521.94,2.676669,-1,95752.0
78952,6872b,k,rk66.266,2452515.915174,3529.93,2.491466,-1,84749.0
78953,6872b,k,rk67.89,2452535.927465,3551.89,2.78915,-1,83697.0
78954,6872b,k,rk67.283,2452536.932917,3541.44,2.838296,-1,85301.0
78955,6872b,k,rk67.474,2452537.970926,3539.67,3.128758,-1,84614.0
78956,6872b,k,rk68.48,2452572.827523,3497.59,3.135353,-1,63569.0
78957,6872b,k,rk68.272,2452573.975741,3483.85,2.647831,-1,95082.0
78958,6872b,k,rk68.455,2452574.891088,3497.13,2.638089,-1,96101.0
78959,6872b,k,rk68.639,2452575.795081,3512.73,2.998646,-1,93979.0
78960,6872b,k,rk69.58,2452600.83875,3468.16,2.676239,-1,98210.0
78961,6872b,k,rk69.232,2452601.715625,3490.12,2.972306,-1,98701.0
78962,6872b,k,rk69.447,2452602.781528,3474.56,2.984527,-1,107215.0
78963,6872b,k,rk80.244,2452988.832836,3235.93,3.299693,-1,107401.0
