Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
101834,bd-103166,k,rk27.266,2451172.079988,32.21,1.696964,-1,24390.0
101835,bd-103166,k,rk29.83,2451227.0089,66.73,1.825473,-1,24617.0
101836,bd-103166,k,rk30.210,2451312.796111,-44.61,1.611207,-1,33783.0
101837,bd-103166,k,rk31.24,2451340.769363,-48.00,1.790567,-1,22076.0
101838,bd-103166,k,rk31.123,2451341.851007,46.95,2.777532,-1,7451.0
101839,bd-103166,k,rk31.211,2451342.804525,53.75,1.906368,-1,16572.0
101840,bd-103166,k,rk38.106,2451551.047419,42.59,2.293302,-1,10921.0
101841,bd-103166,k,rk38.367,2451553.044942,-46.32,2.008431,-1,17955.0
101842,bd-103166,k,rk39.86,2451581.011042,-41.01,1.556369,-1,29328.0
101843,bd-103166,k,rk39.211,2451582.004097,-12.25,1.359733,-1,21575.0
101844,bd-103166,k,rk39.238,2451582.14353,0.90,1.931652,-1,17789.0
101845,bd-103166,k,rk39.318,2451582.963275,64.31,1.807013,-1,21018.0
101846,bd-103166,k,rk39.442,2451583.936991,6.57,1.808974,-1,20549.0
101847,bd-103166,k,rk39.483,2451584.133669,-17.66,1.642151,-1,22162.0
101848,bd-103166,k,rk39.557,2451585.150602,-36.04,2.887586,-1,7624.0
101849,bd-103166,k,rk39.642,2451585.941493,39.70,1.77531,-1,19125.0
101850,bd-103166,k,rk39.677,2451586.131921,66.79,1.89921,-1,19790.0
101851,bd-103166,k,rk40.17,2451678.861713,-59.50,1.791472,-1,21997.0
101852,bd-103166,k,rk41.206,2451704.801076,64.24,1.566594,-1,23250.0
101853,bd-103166,k,rk41.405,2451705.800914,24.97,1.949051,-1,17430.0
101854,bd-103166,k,rk41.612,2451706.842488,-53.11,2.193392,-1,12355.0
101855,bd-103166,k,rk46.128,2451883.155683,64.37,1.679532,-1,23380.0
101856,bd-103166,k,rk47.400,2451900.138854,60.07,1.560509,-1,25505.0
101857,bd-103166,k,rk48.244,2451974.017106,54.97,2.02851,-1,19541.0
101858,bd-103166,k,rk53.333,2452064.810694,56.37,1.755034,-1,27818.0
101859,bd-103166,k,rk54.27,2452094.750255,-5.37,1.902971,-1,27571.0
101860,bd-103166,k,rk62.26,2452362.977176,-23.93,1.975072,-1,25954.0
101861,bd-103166,k,rk70.225,2452653.076678,40.37,2.278502,-1,20908.0
101862,bd-103166,k,rk74.422,2452805.764005,-43.18,1.881952,-1,31537.0
101863,bd-103166,k,rk81.994,2453018.009815,-36.19,1.645365,-1,52075.0
