Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
101969,g60-06,k,rk27.284,2451172.145972,-17.46,2.42775,-1,11189.0
101970,g60-06,k,rk29.323,2451228.994838,-17.45,2.506647,-1,10252.0
101971,g60-06,k,rk30.222,2451312.866748,-0.69,2.628816,-1,12025.0
101972,g60-06,k,rk32.438,2451370.767986,-3.82,2.708945,-1,9110.0
101973,g60-06,k,rk38.374,2451553.085336,-5.75,3.361357,-1,6397.0
101974,g60-06,k,rk39.649,2451585.979734,-0.91,2.695135,-1,10234.0
101975,g60-06,k,rk41.215,2451704.833472,-6.70,2.766886,-1,10213.0
101976,g60-06,k,rk49.51,2451982.066516,-7.91,3.394673,-1,7231.0
101977,g60-06,k,rk51.268,2452007.953831,-11.17,3.355335,-1,10536.0
101978,g60-06,k,rk61.276,2452334.990764,-11.16,3.312605,-1,13799.0
101979,g60-06,k,rk70.339,2452654.138912,-13.68,2.69141,-1,14985.0
101980,g60-06,k,rk74.42,2452803.88735,-14.17,2.828971,-1,11729.0
101981,g60-06,k,rk81.1015,2453018.096782,-12.64,2.336646,-1,20985.0
