Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
93973,gl109,k,rk33.146,2451410.100799,-3.22,2.030281,-1,18104.0
93974,gl109,k,rk37.45,2451543.816887,4.95,1.545169,-1,17986.0
93975,gl109,k,rk38.304,2451552.796435,3.33,2.044245,-1,11085.0
93976,gl109,k,rk39.291,2451582.803125,4.01,1.981342,-1,13390.0
93977,gl109,k,rk46.207,2451883.929583,6.41,1.962663,-1,14345.0
93978,gl109,k,rk58.139,2452219.05169,5.72,2.647853,-1,14804.0
93979,gl109,k,rk61.230,2452334.797535,11.87,2.165139,-1,20552.0
93980,gl109,k,rk67.293,2452536.96397,5.25,2.286979,-1,26773.0
93981,gl109,k,rk68.665,2452575.926817,6.10,2.321739,-1,12011.0
93982,gl109,k,rk77.45,2452854.119873,-7.01,1.965854,-1,22282.0
