Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
95162,gl486,j,rj05.1284,2453401.110544,7.04,1.707729,0.642,7495.0
95163,gl486,j,rj18.209,2453837.959745,-11.71,2.322195,0.641,6917.0
95164,gl486,j,rj52.172,2454545.015127,-9.46,1.823256,0.643,5330.0
95165,gl486,j,rj52.571,2454546.019155,-3.33,1.567771,4.27,9827.0
95166,gl486,j,rj840.184,2455260.061576,0.94,1.565733,0.71,11315.0
95167,gl486,j,rj849.132,2455371.861803,-0.18,1.768823,0.6141,8950.0
95168,gl486,j,rj852.117,2455409.779579,2.09,1.776953,0.6561,9539.0
95169,gl486,j,rj863.168,2455579.989919,0.51,2.037973,0.6694,5363.0
95170,gl486,j,rj863.169,2455579.997396,5.16,1.897815,0.6587,5694.0
95171,gl486,j,rj282.315,2458150.974412,-3.31,1.825908,0.6369,7947.0
95172,gl486,j,rj319.154,2458533.043722,3.64,1.534639,0.6743,10266.0
