Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
95300,gl569a,k,rk53.153,2452062.875706,12.92,2.477928,-1,31404.0
95301,gl569a,k,rk55.225,2452128.773056,-5.53,2.608684,-1,28974.0
95302,gl569a,k,rk61.307,2452335.137708,17.96,2.606796,-1,34028.0
95303,gl569a,k,rk65.353,2452488.78434,6.95,2.542459,-1,40375.0
95304,gl569a,k,rk71.162,2452683.105313,14.63,2.504488,-1,40064.0
95305,gl569a,k,rk73.88,2452776.968472,8.92,2.501847,-1,38194.0
95306,gl569a,k,rk73.176,2452777.89434,9.83,2.904937,-1,15294.0
95307,gl569a,k,rk74.45,2452803.902905,-1.00,2.443295,-1,36848.0
95308,gl569a,k,rk74.264,2452804.967975,11.50,2.622328,-1,36748.0
95309,gl569a,k,rk74.460,2452805.931539,12.24,2.586028,-1,37363.0
95310,gl569a,k,rk85.75,2453153.931991,3.74,2.837136,-1,36369.0
