Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
96143,gl745b,k,rk21.105,2450983.004306,3.46,2.119452,-1,16388.0
96144,gl745b,k,rk22.415,2451013.920671,0.61,2.485078,-1,13044.0
96145,gl745b,k,rk31.142,2451341.96684,-0.58,2.592649,-1,16335.0
96146,gl745b,k,rk32.196,2451368.969352,6.89,2.689336,-1,13742.0
96147,gl745b,k,rk33.324,2451411.78706,-2.66,2.330195,-1,13862.0
96148,gl745b,k,rk41.454,2451706.035949,-1.49,2.256304,-1,12713.0
96149,gl745b,k,rk53.51,2452061.998623,-0.83,3.295267,-1,7999.0
96150,gl745b,k,rk54.1267,2452101.910301,-0.47,2.539778,-1,18133.0
96151,gl745b,k,rk56.143,2452161.778206,6.14,2.358557,-1,18553.0
96152,gl745b,k,rk64.182,2452446.957106,-0.95,2.837143,-1,15503.0
96153,gl745b,k,rk67.432,2452537.767535,2.89,2.166329,-1,25472.0
96154,gl745b,k,rk75.445,2452832.86059,3.06,2.621302,-1,26666.0
96155,gl745b,k,rk86.90,2453180.068391,-5.83,2.150509,-1,19611.0
