Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
97050,gl908,apf,race.167,2456648.666918,2.96,2.101199,-1,9140.0
97051,gl908,apf,race.167,2456648.666918,2.96,2.101199,-1,9140.0
97052,gl908,apf,racl.185,2456674.666328,7.64,2.043847,-1,8018.0
97053,gl908,apf,racl.185,2456674.666328,7.64,2.043847,-1,8018.0
97054,gl908,apf,racl.186,2456674.683503,2.68,2.11294,-1,7648.0
97055,gl908,apf,racl.186,2456674.683503,2.68,2.11294,-1,7648.0
97056,gl908,apf,racm.158,2456675.613351,3.60,2.067172,-1,7942.0
97057,gl908,apf,racm.158,2456675.613351,3.60,2.067172,-1,7942.0
97058,gl908,apf,racm.159,2456675.627181,3.76,1.977734,-1,7692.0
97059,gl908,apf,racm.159,2456675.627181,3.76,1.977734,-1,7692.0
97060,gl908,apf,racn.118,2456678.62824,4.82,2.207439,-1,8566.0
97061,gl908,apf,racn.118,2456678.62824,4.82,2.207439,-1,8566.0
97062,gl908,apf,racn.119,2456678.648504,7.23,2.149159,-1,8153.0
97063,gl908,apf,racn.119,2456678.648504,7.23,2.149159,-1,8153.0
97064,gl908,apf,racq.166,2456683.633183,4.82,2.480516,-1,3991.0
97065,gl908,apf,racq.166,2456683.633183,4.82,2.480516,-1,3991.0
97066,gl908,apf,racq.167,2456683.644942,9.10,2.630001,-1,3990.0
97067,gl908,apf,racq.167,2456683.644942,9.10,2.630001,-1,3990.0
97068,gl908,apf,raer.218,2456826.948199,7.95,2.557945,-1,4765.0
97069,gl908,apf,raer.218,2456826.948199,7.95,2.557945,-1,4765.0
97070,gl908,apf,raes.222,2456830.989658,3.89,2.009375,-1,7762.0
97071,gl908,apf,raes.222,2456830.989658,3.89,2.009375,-1,7762.0
97072,gl908,apf,raev.216,2456835.971543,4.04,2.655012,-1,4814.0
97073,gl908,apf,raev.216,2456835.971543,4.04,2.655012,-1,4814.0
97074,gl908,apf,raex.223,2456839.958154,6.28,2.174354,-1,6869.0
97075,gl908,apf,raex.223,2456839.958154,6.28,2.174354,-1,6869.0
97076,gl908,apf,raey.204,2456841.872596,10.60,2.973252,-1,3397.0
97077,gl908,apf,raey.204,2456841.872596,10.60,2.973252,-1,3397.0
97078,gl908,apf,raez.212,2456843.891016,7.56,2.425293,-1,4818.0
97079,gl908,apf,raez.212,2456843.891016,7.56,2.425293,-1,4818.0
97080,gl908,apf,rafa.200,2456845.901981,8.31,2.967359,-1,4091.0
97081,gl908,apf,rafa.200,2456845.901981,8.31,2.967359,-1,4091.0
97082,gl908,apf,rafb.219,2456847.902398,5.68,2.357016,-1,5388.0
97083,gl908,apf,rafb.219,2456847.902398,5.68,2.357016,-1,5388.0
97084,gl908,apf,rafb.228,2456847.979558,0.83,2.16285,-1,7215.0
97085,gl908,apf,rafb.228,2456847.979558,0.83,2.16285,-1,7215.0
97086,gl908,apf,rafc.228,2456850.958222,1.80,2.237169,-1,6448.0
97087,gl908,apf,rafc.228,2456850.958222,1.80,2.237169,-1,6448.0
97088,gl908,apf,rafd.226,2456852.961412,5.16,2.479664,-1,6417.0
97089,gl908,apf,rafd.226,2456852.961412,5.16,2.479664,-1,6417.0
97090,gl908,apf,rafe.208,2456854.968789,8.36,2.789228,-1,6561.0
97091,gl908,apf,rafe.208,2456854.968789,8.36,2.789228,-1,6561.0
