Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
97362,gl908,lick,rh21.23,2447046.8425,-8.88,18.531462,-1,4561.0
97363,gl908,lick,ra02.21,2448200.6711,-13.95,19.63617,-1,4133.0
97364,gl908,lick,ra18.11,2448645.6106,-8.95,19.984629,-1,3477.0
97365,gl908,lick,ra39.30,2448845.8528,-65.25,15.479639,-1,6591.0
97366,gl908,lick,ra49.35,2448905.8208,-9.48,21.033968,-1,5218.0
97367,gl908,lick,ra70.55,2449174.9644,4.80,15.017501,-1,10886.0
97368,gl908,lick,ra82.15,2449349.5975,10.30,15.719806,-1,7762.0
97369,gl908,lick,ra83.23,2449350.6696,14.93,17.087357,-1,9759.0
97370,gl908,lick,ra98.45,2449621.866,-52.71,14.248906,-1,11757.0
97371,gl908,lick,ra99.27,2449622.8138,-26.01,12.133745,-1,13983.0
97372,gl908,lick,rb03.15,2449679.6487,-4.81,7.637079,-1,3109.0
97373,gl908,lick,rb50.121,2450327.836914,-1.07,6.684067,-1,5146.0
97374,gl908,lick,rb97.204,2451447.801758,7.13,9.767739,-1,4407.0
