Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
101793,hip52942a,k,rk27.131,2451171.164306,-196.57,3.595182,-1,33813.0
101794,hip52942a,k,rk29.204,2451228.001308,-233.59,3.214564,-1,41971.0
101795,hip52942a,k,rk30.19,2451310.786111,-259.17,2.909536,-1,52496.0
101796,hip52942a,k,rk38.247,2451552.110845,-318.12,3.384861,-1,40617.0
101797,hip52942a,k,rk39.85,2451581.004039,-334.86,3.04979,-1,53698.0
101798,hip52942a,k,rk41.609,2451706.82206,-329.96,3.254046,-1,33926.0
101799,hip52942a,k,rk47.148,2451898.146644,-353.43,3.816171,-1,43634.0
101800,hip52942a,k,rk48.134,2451973.02941,-348.91,3.838101,-1,26120.0
101801,hip52942a,k,rk53.337,2452064.830891,-385.57,3.179856,-1,50792.0
101802,hip52942a,k,rk54.622,2452098.77265,-361.70,3.587098,-1,46271.0
101803,hip52942a,k,rk54.1021,2452100.752002,-365.63,3.519369,-1,48931.0
101804,hip52942a,k,rk60.115,2452307.975799,-382.90,3.350834,-1,75555.0
101805,hip52942a,k,rk69.148,2452601.147604,-378.68,3.253583,-1,82738.0
101806,hip52942a,k,rk70.307,2452653.990278,-381.73,3.408861,-1,65325.0
101807,hip52942a,k,rk74.425,2452805.780185,-395.83,2.87567,-1,67323.0
101808,hip52942a,k,rk81.197,2453015.10272,-397.35,3.098348,-1,87187.0
101809,hip52942a,k,rk81.782,2453017.10691,-393.08,2.835682,-1,88280.0
101810,hip52942a,k,rk85.44,2453153.808773,-406.67,3.033901,-1,71999.0
