Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
98886,hip70865,j,rj06.45,2453425.127025,1.15,2.022374,0.983,17994.0
98887,hip70865,j,rj18.675,2453841.944294,4.62,2.009403,0.869,21606.0
98888,hip70865,j,rj52.181,2454545.054074,-0.77,1.917212,0.994,21295.0
98889,hip70865,j,rj52.580,2454546.063252,1.72,1.952739,0.953,20116.0
98890,hip70865,j,rj67.548,2454929.108366,-0.24,1.920418,1.05,20380.0
98891,hip70865,j,rj67.700,2454929.836944,-12.24,3.010144,0.874,4327.0
98892,hip70865,j,rj70.181,2454983.929228,-1.89,2.163817,1.16,17590.0
98893,hip70865,j,rj70.442,2454984.942873,-0.72,1.997084,1.39,18222.0
98894,hip70865,j,rj70.747,2454985.940501,-2.40,1.936288,1.2,21040.0
98895,hip70865,j,rj70.1219,2454987.934143,4.45,2.564144,1.12,16756.0
98896,hip70865,j,rj840.187,2455260.082143,0.38,1.97488,1.046,22714.0
98897,hip70865,j,rj88.188,2455290.052009,-8.43,1.845754,1.07,18490.0
98898,hip70865,j,rj847.168,2455369.973213,-3.33,2.342812,1.097,12220.0
98899,hip70865,j,rj849.141,2455371.922139,-9.35,1.898166,1.072,23393.0
98900,hip70865,j,rj116.639,2455636.050295,-15.70,1.935758,1.08,18883.0
98901,hip70865,j,rj872.156,2455719.924931,-4.54,2.109688,1.118,21026.0
98902,hip70865,j,rj873.138,2455720.880925,1.25,2.1439,1.133,12697.0
98903,hip70865,j,rj124.93,2455733.806804,-0.61,1.923281,1.05,20399.0
98904,hip70865,j,rj875.139,2455749.851182,-7.90,2.595024,1.113,9613.0
98905,hip70865,j,rj884.235,2455911.13917,-7.81,2.048008,0.9975,21419.0
98906,hip70865,j,rj884.236,2455911.146509,-3.42,1.88945,0.9984,23267.0
98907,hip70865,j,rj885.217,2455912.138606,-9.96,1.860252,0.0,17333.0
98908,hip70865,j,rj885.218,2455912.146141,-3.69,1.773083,0.0,19091.0
98909,hip70865,j,rj886.220,2455913.13692,-2.79,1.929059,0.0,20634.0
98910,hip70865,j,rj886.221,2455913.144223,-0.14,2.031925,0.0,18870.0
98911,hip70865,j,rj141.189,2455932.154491,5.04,1.722478,1.02,20928.0
98912,hip70865,j,rj887.181,2455970.991674,-8.46,2.188472,1.031,14174.0
98913,hip70865,j,rj887.182,2455970.999105,-5.97,2.004216,1.026,15288.0
98914,hip70865,j,rj888.182,2455972.074053,-6.25,1.957552,1.045,18699.0
98915,hip70865,j,rj888.183,2455972.081322,-9.56,2.278797,1.035,17997.0
98916,hip70865,j,rj146.295,2455991.951569,-0.03,2.233828,1.0,15399.0
98917,hip70865,j,rj148.389,2456019.962237,-4.22,1.939197,1.09,22357.0
98918,hip70865,j,rj892.126,2456116.822787,-3.43,2.129646,1.167,16037.0
98919,hip70865,j,rj892.127,2456116.830286,-9.31,2.220043,1.175,13879.0
98920,hip70865,j,rj893.115,2456117.788794,-2.02,2.198876,1.211,18027.0
98921,hip70865,j,rj893.116,2456117.796097,-5.99,2.228992,1.206,16479.0
98922,hip70865,j,rj898.209,2456291.107907,11.91,2.123605,1.274,16083.0
98923,hip70865,j,rj898.210,2456291.115338,14.00,2.200024,1.286,17960.0
98924,hip70865,j,rj899.226,2456292.110478,11.62,2.040124,1.276,19060.0
98925,hip70865,j,rj899.227,2456292.118118,8.80,2.091012,1.273,19962.0
98926,hip70865,j,rj165.149,2456319.109524,2.98,2.374809,1.27,14155.0
98927,hip70865,j,rj901.195,2456329.032015,8.11,2.23028,1.345,17850.0
98928,hip70865,j,rj901.196,2456329.039376,11.93,2.076041,1.346,19944.0
98929,hip70865,j,rj902.206,2456330.10905,6.28,1.895857,1.386,24362.0
98930,hip70865,j,rj902.207,2456330.116435,10.03,1.835811,1.361,25535.0
98931,hip70865,j,rj167.301,2456345.017065,-4.25,1.970374,1.16,14476.0
98932,hip70865,j,rj167.303,2456345.030863,1.69,2.01568,1.29,12407.0
98933,hip70865,j,rj904.134,2456432.944604,-7.60,2.146377,1.119,22402.0
98934,hip70865,j,rj904.135,2456432.952092,-6.40,2.105996,1.125,22024.0
98935,hip70865,j,rj905.175,2456433.953507,-4.50,2.094327,1.127,21740.0
98936,hip70865,j,rj905.176,2456433.960937,-4.93,1.887354,1.192,23372.0
98937,hip70865,j,rj906.115,2456548.725358,5.33,2.038617,1.116,23305.0
98938,hip70865,j,rj906.116,2456548.732788,5.34,2.024021,1.129,22100.0
98939,hip70865,j,rj296.782,2458331.812245,3.72,2.281626,1.225,12560.0
